STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211029,061930,16723,15.52,33.13,46.66,49.37,14.4,59.9,66.71,104.98,122.80,125.88,126.41,1.19,0,0,3.62,10.4,76.8,488
1,0.000000,0.000000,0,-1.0,0.0,0,20211029,061931,17793,12.15,20.13,26.02,27.20,14.4,59.9,66.09,88.57,96.46,97.81,98.05,0.89,0,0,3.62,10.4,76.9,488
2,0.000000,0.000000,0,-1.0,0.0,0,20211029,061932,18866,11.69,16.51,19.88,20.55,14.4,60.0,70.42,88.37,92.99,93.77,93.92,0.78,0,0,3.62,10.4,76.9,488
3,0.000000,0.000000,0,-1.0,0.0,0,20211029,061933,19941,11.52,15.40,18.01,18.53,14.4,60.0,71.49,88.06,91.69,92.31,92.42,0.72,0,0,3.62,10.4,76.9,488
4,0.000000,0.000000,0,-1.0,0.0,0,20211029,061934,21016,11.38,14.39,16.30,16.68,14.4,60.0,72.64,87.95,90.67,91.13,91.22,0.68,0,0,3.62,10.4,76.9,488
5,0.000000,0.000000,0,-1.0,0.0,0,20211029,061935,22091,11.34,13.99,15.61,15.94,14.4,60.1,73.19,88.00,90.35,90.74,90.82,0.69,0,0,3.62,10.4,77.0,488
6,0.000000,0.000000,0,-1.0,0.0,0,20211029,061937,23162,11.32,13.86,15.39,15.70,14.4,60.1,73.36,88.00,90.24,90.61,90.68,0.70,0,0,3.61,10.4,77.0,488
7,0.000000,0.000000,0,-1.0,0.0,0,20211029,061938,24237,11.32,13.77,15.22,15.51,14.4,60.1,73.58,88.11,90.25,90.60,90.67,0.69,0,0,3.62,10.4,77.1,488
8,0.000000,0.000000,0,-1.0,0.0,0,20211029,061939,25312,11.28,13.41,14.61,14.85,14.4,60.2,74.04,88.12,89.93,90.23,90.29,0.68,0,0,3.62,10.4,77.1,488
9,0.000000,0.000000,0,-1.0,0.0,0,20211029,061940,26383,11.32,13.41,14.56,14.80,14.4,60.2,74.46,88.51,90.27,90.56,90.62,0.69,0,0,3.61,10.4,77.1,488
10,0.000000,0.000000,0,-1.0,0.0,0,20211029,061941,27458,11.35,13.42,14.56,14.79,14.4,60.2,74.71,88.77,90.51,90.80,90.86,0.70,0,0,3.62,10.4,77.2,488
11,0.000000,0.000000,0,-1.0,0.0,0,20211029,061942,28534,11.36,13.32,14.39,14.60,14.4,60.2,74.97,88.92,90.55,90.82,90.88,0.69,0,0,3.62,10.4,77.2,488
12,0.000000,0.000000,0,-1.0,0.0,0,20211029,061943,29610,11.34,13.11,14.02,14.20,14.4,60.3,75.29,88.96,90.40,90.63,90.68,0.69,0,0,3.61,10.4,77.3,488
13,0.000000,0.000000,0,-1.0,0.0,0,20211029,061944,30682,11.28,12.75,13.42,13.56,14.4,60.3,75.59,88.81,89.94,90.12,90.16,0.67,0,0,3.61,10.4,77.3,488
14,0.000000,0.000000,0,-1.0,0.0,0,20211029,061945,31758,11.26,12.77,13.47,13.61,14.4,60.3,75.40,88.66,89.82,90.01,90.05,0.66,0,0,3.61,10.4,77.3,488
15,0.000000,0.000000,0,-1.0,0.0,0,20211029,061946,32834,11.22,12.58,13.16,13.27,14.4,60.3,75.44,88.45,89.46,89.62,89.66,0.64,0,0,3.61,10.4,77.3,488
16,0.000000,0.000000,0,-1.0,0.0,0,20211029,061947,33906,11.22,12.54,13.08,13.19,14.4,60.3,75.53,88.50,89.47,89.62,89.65,0.63,0,0,3.61,10.4,77.3,488
17,0.000000,0.000000,0,-1.0,0.0,0,20211029,061948,34982,11.26,12.51,12.99,13.09,14.4,60.3,76.03,88.94,89.83,89.96,90.00,0.63,0,0,3.61,10.4,77.4,488
18,0.000000,0.000000,0,-1.0,0.0,0,20211029,061950,36058,11.38,12.60,13.06,13.15,14.4,60.3,76.91,89.91,90.77,90.90,90.93,0.62,0,0,3.62,10.4,77.4,488
19,0.000000,0.000000,0,-1.0,0.0,0,20211029,061951,37134,11.49,12.80,13.32,13.42,14.4,60.4,77.51,90.74,91.68,91.82,91.86,0.63,0,0,3.61,10.4,77.4,488
20,0.000000,0.000000,0,-1.0,0.0,0,20211029,061952,38205,11.57,12.88,13.40,13.50,14.4,60.4,78.07,91.37,92.31,92.46,92.49,0.63,0,0,3.61,10.4,77.4,488
21,0.000000,0.000000,0,-1.0,0.0,0,20211029,061953,39281,11.61,12.85,13.31,13.40,14.4,60.4,78.54,91.79,92.66,92.79,92.83,0.62,0,0,3.61,10.4,77.4,488
22,0.000000,0.000000,0,-1.0,0.0,0,20211029,061954,40357,11.65,12.90,13.36,13.46,14.4,60.4,78.80,92.10,92.97,93.11,93.14,0.62,0,0,3.61,10.4,77.4,488
23,0.000000,0.000000,0,-1.0,0.0,0,20211029,061955,41429,11.74,13.07,13.60,13.71,14.4,60.4,79.18,92.68,93.64,93.79,93.83,0.63,0,0,3.61,10.4,77.4,488
24,0.000000,0.000000,0,-1.0,0.0,0,20211029,061956,42505,11.83,13.19,13.75,13.86,14.4,60.4,79.77,93.41,94.40,94.55,94.59,0.64,0,0,3.61,10.4,77.4,488
25,0.000000,0.000000,0,-1.0,0.0,0,20211029,061957,43581,11.98,13.35,13.90,14.01,14.4,60.4,80.76,94.55,95.54,95.70,95.74,0.64,0,0,3.61,10.4,77.4,488
26,0.000000,0.000000,0,-1.0,0.0,0,20211029,061958,44653,12.01,13.38,13.93,14.04,14.4,60.3,80.96,94.79,95.78,95.94,95.98,0.63,0,0,3.61,10.4,77.4,488
27,0.000000,0.000000,0,-1.0,0.0,0,20211029,061959,45729,12.02,13.39,13.94,14.05,14.4,60.3,81.03,94.86,95.85,96.01,96.05,0.63,0,0,3.61,10.4,77.3,488
28,0.000000,0.000000,0,-1.0,0.0,0,20211029,062000,46805,12.00,13.37,13.92,14.03,14.4,60.3,80.93,94.75,95.74,95.89,95.93,0.64,0,0,3.61,10.4,77.3,488
29,0.000000,0.000000,0,-1.0,0.0,0,20211029,062001,47881,12.01,13.38,13.93,14.04,14.4,60.3,80.97,94.80,95.79,95.94,95.98,0.64,0,0,3.61,10.4,77.3,488
30,0.000000,0.000000,0,-1.0,0.0,0,20211029,062003,48953,12.04,13.41,13.95,14.06,14.4,60.3,81.17,95.03,96.02,96.17,96.21,0.63,0,0,3.61,10.4,77.3,488
31,0.000000,0.000000,0,-1.0,0.0,0,20211029,062004,50029,12.03,13.39,13.94,14.05,14.4,60.3,81.15,94.99,95.97,96.12,96.16,0.62,0,0,3.61,10.4,77.3,488
32,0.000000,0.000000,0,-1.0,0.0,0,20211029,062005,51105,12.03,13.39,13.92,14.03,14.4,60.3,81.16,94.98,95.96,96.11,96.15,0.62,0,0,3.61,10.4,77.3,488
