STM32_v0.10,,,SPS30_SN:71508A49351A556A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211029,061927,16717,8.47,25.88,39.58,42.32,17.3,51.0,17.97,48.79,66.48,69.50,69.99,1.63,0,0,3.77,13.3,65.1,56A
1,0.000000,0.000000,0,-1.0,0.0,0,20211029,061928,17793,10.03,18.84,25.50,26.84,17.2,50.9,49.47,70.77,79.51,80.99,81.24,0.99,0,0,3.77,13.2,64.9,56A
2,0.000000,0.000000,0,-1.0,0.0,0,20211029,061929,18866,9.29,12.82,15.24,15.72,17.2,50.8,56.90,70.66,73.96,74.52,74.62,0.79,0,0,3.77,13.2,64.8,56A
3,0.000000,0.000000,0,-1.0,0.0,0,20211029,061930,19941,9.25,12.04,13.86,14.23,17.2,50.8,58.35,71.12,73.67,74.09,74.17,0.75,0,0,3.77,13.2,64.8,56A
4,0.000000,0.000000,0,-1.0,0.0,0,20211029,061931,21015,9.33,12.18,14.05,14.42,17.3,50.8,58.74,71.67,74.28,74.71,74.79,0.75,0,0,3.76,13.3,64.7,56A
5,0.000000,0.000000,0,-1.0,0.0,0,20211029,061933,22089,9.25,11.25,12.44,12.67,17.2,50.7,60.27,72.03,73.76,74.04,74.10,0.67,0,0,3.76,13.2,64.7,56A
6,0.000000,0.000000,0,-1.0,0.0,0,20211029,061934,23158,9.29,11.26,12.42,12.65,17.2,50.7,60.63,72.40,74.08,74.36,74.42,0.66,0,0,3.76,13.2,64.6,56A
7,0.000000,0.000000,0,-1.0,0.0,0,20211029,061935,24231,9.33,11.14,12.18,12.38,17.2,50.7,61.22,72.82,74.35,74.60,74.65,0.66,0,0,3.76,13.2,64.6,56A
8,0.000000,0.000000,0,-1.0,0.0,0,20211029,061936,25304,9.43,11.12,12.05,12.23,17.2,50.7,62.28,73.83,75.22,75.45,75.50,0.66,0,0,3.76,13.2,64.7,56A
9,0.000000,0.000000,0,-1.0,0.0,0,20211029,061937,26373,9.51,11.20,12.14,12.32,17.2,50.7,62.75,74.39,75.79,76.02,76.07,0.67,0,0,3.76,13.2,64.7,56A
