STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210923,131340,16688,7.93,17.15,24.25,25.66,19.6,66.8,33.02,53.07,62.69,64.39,64.67,1.15,0,0,3.50,15.6,84.8,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20210923,131341,17757,6.19,15.01,21.87,23.24,19.6,67.2,21.78,39.56,48.82,50.46,50.73,1.29,0,0,3.50,15.6,85.3,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20210923,131342,18833,6.35,15.87,23.28,24.76,19.6,67.7,21.21,40.05,50.05,51.82,52.11,1.43,0,0,3.50,15.6,86.0,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20210923,131343,19901,6.17,14.55,21.05,22.35,19.6,68.4,22.73,39.90,48.69,50.24,50.49,1.37,0,0,3.50,15.6,86.9,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20210923,131344,20969,6.01,12.99,18.35,19.42,19.6,69.0,25.12,40.30,47.57,48.85,49.07,1.28,0,0,3.50,15.6,87.6,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20210923,131344,22037,6.41,14.09,20.01,21.19,19.7,69.6,26.15,42.66,50.67,52.09,52.32,1.28,0,0,3.50,15.7,88.3,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20210923,131346,23112,6.63,14.51,20.59,21.80,19.7,70.1,27.17,44.16,52.40,53.85,54.09,1.28,0,0,3.50,15.7,88.9,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20210923,131347,24180,6.96,15.57,22.21,23.54,19.7,70.5,27.74,46.02,55.01,56.60,56.86,1.28,0,0,3.50,15.7,89.5,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20210923,131348,25248,7.18,15.82,22.48,23.81,19.8,71.0,29.18,47.72,56.74,58.34,58.60,1.26,0,0,3.50,15.8,90.1,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20210923,131349,26323,7.44,16.49,23.47,24.87,19.8,71.5,30.01,49.34,58.80,60.47,60.74,1.27,0,0,3.50,15.8,90.7,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20210923,131350,27391,7.58,16.07,22.59,23.90,19.8,71.9,32.41,51.16,60.00,61.56,61.82,1.23,0,0,3.50,15.8,91.2,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20210923,131351,28460,7.89,16.56,23.21,24.54,19.8,72.3,34.14,53.44,62.46,64.06,64.32,1.21,0,0,3.50,15.8,91.7,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,20210923,131352,29529,8.29,17.63,24.80,26.24,19.8,72.6,35.25,55.83,65.56,67.28,67.56,1.21,0,0,3.50,15.8,92.2,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,20210923,131354,30605,8.62,18.27,25.68,27.16,19.8,72.9,36.83,58.14,68.20,69.97,70.26,1.21,0,0,3.50,15.8,92.5,B1F
14,0.000000,0.000000,0,-1.0,0.0,0,20210923,131355,31674,9.02,18.61,25.95,27.42,19.8,73.1,39.75,61.39,71.36,73.12,73.42,1.18,0,0,3.50,15.8,92.7,B1F
15,0.000000,0.000000,0,-1.0,0.0,0,20210923,131356,32743,9.18,18.82,26.20,27.67,19.9,73.2,40.77,62.64,72.66,74.43,74.72,1.17,0,0,3.50,15.9,92.8,B1F
16,0.000000,0.000000,0,-1.0,0.0,0,20210923,131357,33819,9.33,18.89,26.19,27.65,19.9,73.3,42.03,63.95,73.87,75.62,75.91,1.16,0,0,3.50,15.9,93.0,B1F
