STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211001,151226,16742,13.29,27.76,38.85,41.07,19.3,65.2,58.35,90.39,105.14,107.67,108.09,1.04,0,0,3.45,15.3,82.8,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20211001,151227,17816,17.50,56.86,87.90,94.11,19.3,65.4,28.66,96.23,137.14,144.15,145.31,1.49,0,0,3.45,15.3,83.0,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20211001,151228,18886,14.57,36.65,53.85,57.29,19.3,65.5,49.28,92.17,114.92,118.82,119.47,1.13,0,0,3.45,15.3,83.2,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20211001,151229,19959,14.60,36.80,54.09,57.55,19.3,65.7,49.18,92.26,115.13,119.05,119.70,1.19,0,0,3.45,15.3,83.5,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20211001,151230,21032,14.54,36.09,52.85,56.21,19.3,66.1,50.30,92.50,114.69,118.49,119.12,1.20,0,0,3.46,15.3,83.9,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20211001,151230,22105,14.22,33.88,49.13,52.18,19.4,66.4,52.58,92.08,112.29,115.74,116.32,1.13,0,0,3.45,15.4,84.3,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20211001,151232,23174,14.07,32.86,47.42,50.33,19.4,66.5,53.58,91.83,111.13,114.43,114.98,1.12,0,0,3.45,15.4,84.4,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20211001,151233,24247,14.06,33.06,47.79,50.74,19.4,66.5,52.99,91.50,111.02,114.36,114.91,1.13,0,0,3.45,15.4,84.4,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20211001,151235,25320,13.81,32.02,46.11,48.93,19.4,66.5,53.17,90.42,109.10,112.30,112.83,1.12,0,0,3.45,15.4,84.5,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20211001,151236,26389,13.63,31.83,45.92,48.74,19.5,66.5,51.95,89.00,107.68,110.88,111.41,1.13,0,0,3.45,15.5,84.4,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20211001,151237,27462,13.44,31.65,45.76,48.59,19.5,66.2,50.55,87.42,106.13,109.33,109.86,1.13,0,0,3.45,15.5,84.0,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20211001,151238,28536,13.10,30.41,43.81,46.49,19.5,65.5,50.35,85.73,103.50,106.54,107.05,1.12,0,0,3.45,15.5,83.2,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20211001,151239,29605,12.86,29.90,43.09,45.72,19.5,64.8,49.33,84.12,101.60,104.60,105.10,1.12,0,0,3.45,15.5,82.3,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20211001,151240,30679,12.58,29.58,42.76,45.39,19.5,64.2,47.44,81.89,99.36,102.34,102.84,1.14,0,0,3.45,15.5,81.5,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20211001,151241,31751,12.41,29.00,41.84,44.41,19.5,63.7,47.22,80.97,98.00,100.92,101.40,1.13,0,0,3.45,15.5,80.8,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,20211001,151242,32823,12.32,29.04,42.01,44.60,19.5,63.2,46.25,80.09,97.27,100.21,100.70,1.14,0,0,3.45,15.5,80.2,5A1
16,0.000000,0.000000,0,-1.0,0.0,0,20211001,151243,33891,12.19,28.84,41.75,44.33,19.5,62.8,45.54,79.15,96.25,99.18,99.67,1.14,0,0,3.45,15.5,79.7,5A1
