STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,0,000000,16738,25.38,55.99,79.59,84.30,21.2,55.4,104.76,169.67,200.70,206.07,206.98,1.09,0,0,3.69,17.2,70.1,286
1,0.000000,0.000000,0,-1.0,0.0,0,0,000000,17812,16.50,21.51,24.80,25.46,21.2,53.9,103.79,126.82,131.44,132.22,132.37,0.64,0,0,3.68,17.2,68.2,286
2,0.000000,0.000000,0,-1.0,0.0,0,0,000000,18882,16.43,29.53,39.37,41.34,21.2,53.2,83.90,117.27,130.35,132.60,132.99,0.89,0,0,3.69,17.2,67.3,286
3,0.000000,0.000000,0,-1.0,0.0,0,0,000000,19954,16.65,29.52,39.16,41.08,21.2,52.0,86.02,119.31,132.14,134.34,134.73,0.88,0,0,3.69,17.2,65.9,286
4,0.000000,0.000000,0,-1.0,0.0,0,0,000000,21026,16.61,29.66,39.45,41.41,21.3,51.6,85.28,118.77,131.78,134.03,134.42,0.87,0,0,3.69,17.3,65.3,286
5,0.000000,0.000000,0,-1.0,0.0,0,0,000000,22098,16.57,29.52,39.22,41.16,21.2,51.3,85.25,118.57,131.47,133.70,134.08,0.88,0,0,3.69,17.2,64.9,286
6,0.000000,0.000000,0,-1.0,0.0,0,0,000000,23166,16.47,29.79,39.81,41.81,21.3,51.0,83.65,117.35,130.66,132.95,133.35,0.88,0,0,3.68,17.3,64.5,286
7,0.000000,0.000000,0,-1.0,0.0,0,0,000000,24238,16.47,29.26,38.85,40.77,21.3,51.3,84.91,117.93,130.68,132.88,133.26,0.89,0,0,3.69,17.3,64.9,286
8,0.000000,0.000000,0,-1.0,0.0,0,0,000000,25310,16.46,28.76,37.94,39.78,21.3,51.8,86.06,118.43,130.66,132.77,133.13,0.88,0,0,3.68,17.3,65.6,286
9,0.000000,0.000000,0,-1.0,0.0,0,0,000000,26378,16.52,27.71,35.99,37.65,21.3,52.3,89.11,120.10,131.18,133.08,133.41,0.85,0,0,3.68,17.3,66.2,286
10,0.000000,0.000000,0,-1.0,0.0,0,0,000000,27450,16.57,27.09,34.83,36.38,21.3,52.5,91.02,121.21,131.58,133.37,133.68,0.83,0,0,3.69,17.3,66.5,286
11,0.000000,0.000000,0,-1.0,0.0,0,0,000000,28523,16.64,26.77,34.19,35.68,21.3,52.8,92.52,122.28,132.24,133.95,134.26,0.82,0,0,3.69,17.3,66.8,286
12,0.000000,0.000000,0,-1.0,0.0,0,0,000000,29596,16.70,26.97,34.51,36.01,21.4,53.9,92.55,122.55,132.67,134.40,134.71,0.82,0,0,3.68,17.4,68.1,286
13,0.000000,0.000000,0,-1.0,0.0,0,0,000000,30665,16.79,27.98,36.26,37.92,21.4,56.0,90.96,122.24,133.31,135.22,135.55,0.85,0,0,3.68,17.4,70.8,286
14,0.000000,0.000000,0,-1.0,0.0,0,0,000000,31738,16.89,28.64,37.37,39.11,21.4,58.0,90.39,122.48,134.13,136.14,136.49,0.86,0,0,3.68,17.4,73.4,286
15,0.000000,0.000000,0,-1.0,0.0,0,0,000000,32811,16.99,28.73,37.43,39.17,21.4,59.0,91.12,123.29,134.92,136.92,137.27,0.86,0,0,3.68,17.4,74.6,286
16,0.000000,0.000000,0,-1.0,0.0,0,0,000000,33880,17.01,29.00,37.91,39.70,21.4,58.4,90.59,123.11,135.01,137.06,137.42,0.86,0,0,3.68,17.4,73.8,286
17,0.000000,0.000000,0,-1.0,0.0,0,0,000000,34953,17.09,28.58,37.09,38.79,21.5,57.0,92.38,124.34,135.72,137.67,138.01,0.85,0,0,3.68,17.5,72.1,286
18,0.000000,0.000000,0,-1.0,0.0,0,0,000000,36026,17.17,28.62,37.08,38.78,21.4,55.7,93.03,125.02,136.34,138.29,138.63,0.86,0,0,3.68,17.4,70.5,286
19,0.000000,0.000000,0,-1.0,0.0,0,0,000000,37099,17.22,28.73,37.24,38.94,21.4,54.1,93.25,125.36,136.75,138.70,139.05,0.86,0,0,3.68,17.4,68.5,286
20,0.000000,0.000000,0,-1.0,0.0,0,0,000000,38168,17.31,28.78,37.27,38.96,21.4,52.4,93.93,126.09,137.44,139.39,139.73,0.86,0,0,3.68,17.4,66.3,286
21,0.000000,0.000000,0,-1.0,0.0,0,0,000000,39241,17.38,29.06,37.70,39.43,21.4,50.9,93.95,126.45,138.00,139.99,140.34,0.86,0,0,3.68,17.4,64.4,286
22,0.000000,0.000000,0,-1.0,0.0,0,0,000000,40314,17.50,29.29,38.01,39.76,21.5,49.6,94.57,127.33,138.99,140.99,141.35,0.87,0,0,3.68,17.5,62.7,286
23,0.000000,0.000000,0,-1.0,0.0,0,0,000000,41383,17.69,29.63,38.46,40.23,21.5,48.6,95.55,128.69,140.50,142.53,142.89,0.87,0,0,3.68,17.5,61.4,286
24,0.000000,0.000000,0,-1.0,0.0,0,0,000000,42456,17.88,29.93,38.85,40.64,21.5,47.8,96.58,130.06,141.99,144.04,144.40,0.86,0,0,3.68,17.5,60.4,286
25,0.000000,0.000000,0,-1.0,0.0,0,0,000000,43529,18.06,30.22,39.21,41.01,21.5,47.5,97.62,131.41,143.44,145.51,145.87,0.86,0,0,3.68,17.5,60.1,286
26,0.000000,0.000000,0,-1.0,0.0,0,0,000000,44602,18.25,30.48,39.53,41.34,21.6,48.1,98.74,132.82,144.92,147.00,147.36,0.85,0,0,3.68,17.6,60.9,286
27,0.000000,0.000000,0,-1.0,0.0,0,0,000000,45671,18.46,30.80,39.92,41.74,21.6,48.9,100.01,134.43,146.63,148.72,149.09,0.86,0,0,3.68,17.6,61.9,286
28,0.000000,0.000000,0,-1.0,0.0,0,0,000000,46745,18.53,30.88,40.02,41.85,21.6,49.5,100.38,134.90,147.13,149.23,149.60,0.85,0,0,3.68,17.6,62.6,286
29,0.000000,0.000000,0,-1.0,0.0,0,0,000000,47819,18.57,30.95,40.12,41.95,21.6,49.2,100.60,135.20,147.45,149.56,149.93,0.86,0,0,3.68,17.6,62.2,286
30,0.000000,0.000000,0,-1.0,0.0,0,0,000000,48889,18.63,31.07,40.27,42.11,21.6,48.9,100.92,135.65,147.95,150.07,150.44,0.86,0,0,3.68,17.6,61.8,286
31,0.000000,0.000000,0,-1.0,0.0,0,0,000000,49962,18.66,31.16,40.42,42.27,21.7,49.3,100.97,135.82,148.19,150.32,150.69,0.87,0,0,3.68,17.7,62.3,286
32,0.000000,0.000000,0,-1.0,0.0,0,0,000000,51035,18.64,31.18,40.46,42.32,21.7,49.7,100.75,135.63,148.04,150.17,150.54,0.87,0,0,3.68,17.7,62.8,286
33,0.000000,0.000000,0,-1.0,0.0,0,0,000000,52108,18.53,31.03,40.28,42.13,21.7,50.0,100.06,134.77,147.14,149.26,149.64,0.87,0,0,3.67,17.7,63.2,286
34,0.000000,0.000000,0,-1.0,0.0,0,0,000000,53177,18.45,30.87,40.07,41.91,21.8,50.0,99.67,134.20,146.49,148.61,148.98,0.85,0,0,3.67,17.8,63.2,286
35,0.000000,0.000000,0,-1.0,0.0,0,0,000000,54250,18.53,30.99,40.21,42.06,21.8,50.4,100.13,134.79,147.12,149.24,149.61,0.85,0,0,3.68,17.8,63.7,286
36,0.000000,0.000000,0,-1.0,0.0,0,0,000000,55324,18.58,31.06,40.29,42.14,21.8,51.4,100.49,135.22,147.56,149.68,150.06,0.85,0,0,3.68,17.8,65.0,286
37,0.000000,0.000000,0,-1.0,0.0,0,0,000000,56398,18.60,31.10,40.36,42.21,21.7,51.7,100.53,135.31,147.69,149.82,150.19,0.85,0,0,3.68,17.7,65.4,286
38,0.000000,0.000000,0,-1.0,0.0,0,0,000000,57466,18.57,31.09,40.36,42.22,21.8,50.4,100.28,135.05,147.45,149.58,149.95,0.86,0,0,3.68,17.8,63.7,286
39,0.000000,0.000000,0,-1.0,0.0,0,0,000000,58540,18.63,31.24,40.57,42.44,21.8,48.7,100.51,135.45,147.93,150.08,150.45,0.86,0,0,3.68,17.8,61.5,286
40,0.000000,0.000000,0,-1.0,0.0,0,0,000000,59614,18.72,31.47,40.93,42.82,21.8,47.5,100.75,135.97,148.61,150.78,151.16,0.87,0,0,3.68,17.8,60.1,286
41,0.000000,0.000000,0,-1.0,0.0,0,0,000000,60684,18.76,31.61,41.14,43.05,21.8,46.9,100.84,136.24,148.97,151.16,151.54,0.88,0,0,3.68,17.8,59.2,286
42,0.000000,0.000000,0,-1.0,0.0,0,0,000000,61758,18.80,31.75,41.36,43.28,21.8,46.1,100.89,136.45,149.29,151.49,151.88,0.88,0,0,3.68,17.8,58.2,286
43,0.000000,0.000000,0,-1.0,0.0,0,0,000000,62832,18.84,31.92,41.62,43.57,21.8,45.3,100.88,136.65,149.61,151.84,152.23,0.88,0,0,3.67,17.8,57.3,286
44,0.000000,0.000000,0,-1.0,0.0,0,0,000000,63905,18.91,32.08,41.86,43.82,21.8,44.5,101.09,137.04,150.11,152.35,152.75,0.88,0,0,3.68,17.8,56.2,286
