STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210907,154438,16718,5.99,8.00,9.34,9.61,23.1,49.2,37.25,45.85,47.73,48.04,48.10,0.70,0,0,3.65,19.1,62.0,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20210907,154439,17795,8.97,17.91,24.74,26.10,23.1,49.2,41.48,62.01,71.02,72.58,72.85,1.17,0,0,3.65,19.1,62.0,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20210907,154437,18867,8.52,15.01,19.87,20.85,23.1,49.1,44.20,61.12,67.59,68.70,68.90,1.03,0,0,3.65,19.1,62.0,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20210907,154438,19942,8.41,15.01,19.95,20.94,23.1,49.2,43.22,60.16,66.74,67.87,68.07,1.02,0,0,3.65,19.1,62.0,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20210907,154439,21016,8.11,13.76,17.97,18.81,23.1,49.1,43.33,58.75,64.36,65.33,65.49,0.96,0,0,3.65,19.1,62.0,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20210907,154441,22091,7.84,12.87,16.59,17.33,23.1,49.1,42.93,57.29,62.26,63.11,63.26,0.91,0,0,3.65,19.1,62.0,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,20210907,154442,23161,7.49,11.70,14.76,15.38,23.1,49.1,42.44,55.39,59.51,60.22,60.34,0.88,0,0,3.65,19.1,61.9,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20210907,154443,24235,7.17,10.62,13.08,13.57,23.1,49.1,42.04,53.68,57.02,57.59,57.69,0.82,0,0,3.65,19.1,62.0,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20210907,154444,25309,7.00,10.20,12.47,12.92,23.1,49.1,41.40,52.55,55.64,56.17,56.27,0.84,0,0,3.65,19.1,61.9,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20210907,154445,26379,6.79,9.38,11.16,11.52,23.1,49.1,41.46,51.62,54.07,54.49,54.57,0.82,0,0,3.65,19.1,61.9,1ED
10,0.000000,0.000000,0,-1.0,0.0,0,20210907,154446,27451,6.68,9.37,11.23,11.61,23.1,49.1,40.42,50.59,53.15,53.59,53.67,0.83,0,0,3.65,19.1,61.9,1ED
11,0.000000,0.000000,0,-1.0,0.0,0,20210907,154447,28524,6.51,8.85,10.44,10.76,23.1,49.1,40.04,49.59,51.80,52.17,52.24,0.80,0,0,3.65,19.1,61.9,1ED
12,0.000000,0.000000,0,-1.0,0.0,0,20210907,154448,29598,6.34,8.55,10.05,10.35,23.1,49.1,39.15,48.37,50.45,50.80,50.86,0.80,0,0,3.65,19.1,61.9,1ED
13,0.000000,0.000000,0,-1.0,0.0,0,20210907,154449,30668,6.01,8.02,9.37,9.64,23.1,49.1,37.35,45.98,47.86,48.18,48.24,0.81,0,0,3.64,19.1,61.9,1ED
14,0.000000,0.000000,0,-1.0,0.0,0,20210907,154450,31740,5.85,7.74,9.00,9.25,23.1,49.1,36.53,44.84,46.60,46.90,46.95,0.81,0,0,3.64,19.1,61.9,1ED
15,0.000000,0.000000,0,-1.0,0.0,0,20210907,154451,32812,5.70,7.47,8.64,8.88,23.1,49.1,35.76,43.77,45.41,45.69,45.74,0.80,0,0,3.65,19.1,61.9,1ED
16,0.000000,0.000000,0,-1.0,0.0,0,20210907,154452,33880,5.56,7.22,8.31,8.53,23.1,49.1,35.04,42.77,44.30,44.55,44.60,0.80,0,0,3.65,19.1,61.9,1ED
17,0.000000,0.000000,0,-1.0,0.0,0,20210907,154454,34951,5.43,7.02,8.05,8.25,23.1,49.0,34.29,41.78,43.24,43.49,43.53,0.79,0,0,3.65,19.1,61.9,1ED
18,0.000000,0.000000,0,-1.0,0.0,0,20210907,154455,36023,5.31,6.89,7.93,8.13,23.1,49.0,33.46,40.84,42.29,42.54,42.59,0.80,0,0,3.65,19.1,61.8,1ED
19,0.000000,0.000000,0,-1.0,0.0,0,20210907,154456,37095,5.20,6.80,7.85,8.06,23.1,49.0,32.64,39.92,41.40,41.65,41.69,0.80,0,0,3.65,19.1,61.8,1ED
20,0.000000,0.000000,0,-1.0,0.0,0,20210907,154457,38162,5.05,6.41,7.28,7.46,23.1,49.0,32.17,38.99,40.23,40.44,40.48,0.77,0,0,3.65,19.1,61.8,1ED
21,0.000000,0.000000,0,-1.0,0.0,0,20210907,154458,39233,4.92,6.19,6.99,7.15,23.1,49.0,31.49,38.07,39.22,39.41,39.45,0.76,0,0,3.64,19.1,61.8,1ED
22,0.000000,0.000000,0,-1.0,0.0,0,20210907,154459,40304,4.83,6.09,6.88,7.04,23.1,49.0,30.89,37.36,38.50,38.69,38.72,0.77,0,0,3.64,19.1,61.8,1ED
23,0.000000,0.000000,0,-1.0,0.0,0,20210907,154500,41371,4.73,5.91,6.64,6.79,23.1,49.0,30.35,36.61,37.67,37.84,37.88,0.76,0,0,3.64,19.1,61.8,1ED
24,0.000000,0.000000,0,-1.0,0.0,0,20210907,154501,42442,4.64,5.84,6.60,6.75,23.1,49.0,29.64,35.85,36.94,37.12,37.16,0.77,0,0,3.64,19.1,61.8,1ED
25,0.000000,0.000000,0,-1.0,0.0,0,20210907,154502,43513,4.52,5.66,6.38,6.52,23.1,49.0,29.01,35.02,36.04,36.21,36.25,0.77,0,0,3.65,19.1,61.8,1ED
26,0.000000,0.000000,0,-1.0,0.0,0,20210907,154503,44584,4.43,5.48,6.11,6.24,23.1,49.0,28.60,34.39,35.32,35.48,35.51,0.76,0,0,3.64,19.1,61.8,1ED
27,0.000000,0.000000,0,-1.0,0.0,0,20210907,154504,45651,4.30,5.23,5.78,5.89,23.1,49.0,27.97,33.48,34.29,34.43,34.45,0.74,0,0,3.64,19.1,61.8,1ED
28,0.000000,0.000000,0,-1.0,0.0,0,20210907,154505,46723,4.23,5.11,5.62,5.72,23.2,49.0,27.62,33.00,33.75,33.88,33.90,0.74,0,0,3.64,19.2,61.7,1ED
29,0.000000,0.000000,0,-1.0,0.0,0,20210907,154507,47795,4.18,4.98,5.43,5.52,23.2,48.9,27.45,32.68,33.35,33.47,33.49,0.73,0,0,3.64,19.2,61.7,1ED
30,0.000000,0.000000,0,-1.0,0.0,0,20210907,154508,48867,4.13,4.92,5.37,5.46,23.1,48.9,27.08,32.25,32.93,33.04,33.06,0.73,0,0,3.64,19.1,61.7,1ED
31,0.000000,0.000000,0,-1.0,0.0,0,20210907,154509,49944,4.08,4.87,5.32,5.41,23.1,48.9,26.72,31.84,32.52,32.63,32.65,0.74,0,0,3.65,19.1,61.7,1ED
32,0.000000,0.000000,0,-1.0,0.0,0,20210907,154510,51016,4.04,4.84,5.31,5.40,23.1,49.0,26.45,31.54,32.23,32.35,32.37,0.74,0,0,3.64,19.1,61.7,1ED
33,0.000000,0.000000,0,-1.0,0.0,0,20210907,154511,52088,4.02,4.78,5.20,5.28,23.1,48.9,26.43,31.44,32.08,32.18,32.20,0.73,0,0,3.64,19.1,61.7,1ED
34,0.000000,0.000000,0,-1.0,0.0,0,20210907,154512,53155,4.06,4.81,5.22,5.31,23.1,49.0,26.71,31.75,32.38,32.49,32.51,0.72,0,0,3.64,19.1,61.7,1ED
35,0.000000,0.000000,0,-1.0,0.0,0,20210907,154513,54226,4.07,4.77,5.14,5.22,23.1,49.0,26.90,31.89,32.47,32.56,32.58,0.71,0,0,3.64,19.1,61.8,1ED
36,0.000000,0.000000,0,-1.0,0.0,0,20210907,154514,55297,4.10,4.80,5.17,5.24,23.0,49.0,27.12,32.14,32.71,32.81,32.83,0.71,0,0,3.64,19.0,61.8,1ED
37,0.000000,0.000000,0,-1.0,0.0,0,20210907,154515,56368,4.10,4.80,5.18,5.25,22.9,49.0,27.11,32.13,32.70,32.80,32.82,0.71,0,0,3.64,18.9,61.8,1ED
38,0.000000,0.000000,0,-1.0,0.0,0,20210907,154516,57435,4.11,4.82,5.20,5.27,22.9,49.1,27.16,32.20,32.79,32.88,32.90,0.71,0,0,3.64,18.9,61.9,1ED
39,0.000000,0.000000,0,-1.0,0.0,0,20210907,154517,58506,4.10,4.79,5.15,5.23,22.9,49.2,27.09,32.09,32.66,32.75,32.77,0.71,0,0,3.64,18.9,62.1,1ED
40,0.000000,0.000000,0,-1.0,0.0,0,20210907,154518,59577,4.02,4.70,5.06,5.14,22.8,49.3,26.59,31.51,32.07,32.16,32.18,0.70,0,0,3.64,18.8,62.2,1ED
41,0.000000,0.000000,0,-1.0,0.0,0,20210907,154518,60645,3.99,4.62,4.94,5.00,22.8,49.4,26.46,31.28,31.79,31.87,31.89,0.69,0,0,3.64,18.8,62.3,1ED
42,0.000000,0.000000,0,-1.0,0.0,0,20210907,154520,61717,4.00,4.63,4.96,5.02,22.9,49.4,26.56,31.39,31.91,31.99,32.01,0.69,0,0,3.64,18.9,62.3,1ED
43,0.000000,0.000000,0,-1.0,0.0,0,20210907,154521,62788,4.06,4.68,5.00,5.06,23.0,49.5,26.95,31.83,32.34,32.42,32.44,0.69,0,0,3.64,19.0,62.4,1ED
44,0.000000,0.000000,0,-1.0,0.0,0,20210907,154523,63860,4.11,4.71,5.00,5.06,23.0,49.4,27.37,32.27,32.75,32.83,32.84,0.69,0,0,3.64,19.0,62.3,1ED
45,0.000000,0.000000,0,-1.0,0.0,0,20210907,154524,64928,4.16,4.75,5.03,5.08,23.1,49.4,27.78,32.71,33.17,33.25,33.26,0.68,0,0,3.64,19.1,62.3,1ED
46,0.000000,0.000000,0,-1.0,0.0,0,20210907,154525,66000,4.23,4.87,5.19,5.25,23.1,49.4,28.19,33.26,33.77,33.85,33.87,0.69,0,0,3.64,19.1,62.3,1ED
47,0.000000,0.000000,0,-1.0,0.0,0,20210907,154526,67072,4.29,4.93,5.25,5.31,23.1,49.3,28.59,33.72,34.23,34.31,34.33,0.69,0,0,3.64,19.1,62.2,1ED
48,0.000000,0.000000,0,-1.0,0.0,0,20210907,154527,68140,4.35,4.96,5.26,5.32,23.1,49.2,29.05,34.21,34.69,34.77,34.78,0.69,0,0,3.64,19.1,62.1,1ED
49,0.000000,0.000000,0,-1.0,0.0,0,20210907,154528,69211,4.40,4.99,5.27,5.33,23.1,49.2,29.43,34.61,35.08,35.15,35.17,0.68,0,0,3.64,19.1,62.1,1ED
