STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211008,080530,16681,19.59,48.25,70.53,74.99,19.4,65.9,67.28,124.47,154.58,159.90,160.77,1.08,0,0,3.59,15.4,83.7,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20211008,080531,17751,26.86,43.84,56.33,58.83,19.4,65.7,146.81,196.17,213.37,216.39,216.91,0.84,0,0,3.60,15.4,83.4,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20211008,080532,18828,26.71,41.70,52.60,54.77,19.3,65.5,150.63,197.26,212.32,214.96,215.41,0.85,0,0,3.59,15.3,83.2,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20211008,080533,19897,26.69,42.46,53.97,56.27,19.3,65.4,148.62,196.23,212.12,214.91,215.39,0.87,0,0,3.59,15.3,83.1,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20211008,080534,20967,26.67,42.27,53.66,55.94,19.3,65.4,148.80,196.18,211.90,214.66,215.13,0.88,0,0,3.59,15.3,83.0,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20211008,080535,22044,26.84,43.54,55.81,58.27,19.4,65.4,147.33,196.31,213.21,216.18,216.69,0.90,0,0,3.59,15.4,83.0,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20211008,080537,23113,26.98,43.60,55.79,58.23,19.4,65.4,148.55,197.57,214.37,217.32,217.83,0.89,0,0,3.59,15.4,83.1,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20211008,080538,24183,27.13,44.54,57.37,59.94,19.4,65.5,147.61,197.81,215.47,218.57,219.10,0.90,0,0,3.59,15.4,83.2,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20211008,080539,25253,27.36,45.72,59.30,62.02,19.4,65.5,146.91,198.58,217.24,220.53,221.08,0.92,0,0,3.59,15.4,83.2,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20211008,080540,26329,27.49,46.26,60.17,62.96,19.4,65.5,146.87,199.21,218.31,221.67,222.24,0.92,0,0,3.59,15.4,83.2,31A
10,0.000000,0.000000,0,-1.0,0.0,0,20211008,080541,27399,27.54,46.51,60.59,63.40,19.4,65.6,146.66,199.31,218.63,222.03,222.61,0.92,0,0,3.59,15.4,83.2,31A
11,0.000000,0.000000,0,-1.0,0.0,0,20211008,080542,28469,27.46,45.94,59.62,62.35,19.4,65.6,147.38,199.30,218.09,221.40,221.96,0.91,0,0,3.59,15.4,83.2,31A
12,0.000000,0.000000,0,-1.0,0.0,0,20211008,080543,29546,27.43,45.48,58.81,61.48,19.4,65.5,148.20,199.54,217.87,221.09,221.64,0.91,0,0,3.59,15.4,83.2,31A
13,0.000000,0.000000,0,-1.0,0.0,0,20211008,080544,30616,27.35,45.40,58.74,61.41,19.5,65.6,147.64,198.90,217.23,220.46,221.00,0.92,0,0,3.59,15.5,83.3,31A
14,0.000000,0.000000,0,-1.0,0.0,0,20211008,080545,31686,27.11,44.98,58.18,60.82,19.5,65.6,146.38,197.16,215.31,218.50,219.04,0.92,0,0,3.59,15.5,83.3,31A
15,0.000000,0.000000,0,-1.0,0.0,0,20211008,080546,32756,26.94,44.69,57.80,60.42,19.5,65.6,145.45,195.90,213.93,217.10,217.64,0.92,0,0,3.59,15.5,83.3,31A
16,0.000000,0.000000,0,-1.0,0.0,0,20211008,080547,33833,26.78,44.41,57.43,60.03,19.5,65.6,144.66,194.79,212.69,215.83,216.37,0.92,0,0,3.59,15.5,83.3,31A
17,0.000000,0.000000,0,-1.0,0.0,0,20211008,080548,34903,26.63,44.17,57.13,59.72,19.5,65.5,143.81,193.67,211.48,214.62,215.15,0.92,0,0,3.59,15.5,83.2,31A
18,0.000000,0.000000,0,-1.0,0.0,0,20211008,080548,35973,26.42,43.82,56.68,59.25,19.5,65.6,142.71,192.18,209.85,212.96,213.48,0.92,0,0,3.59,15.5,83.2,31A
19,0.000000,0.000000,0,-1.0,0.0,0,20211008,080550,37040,26.24,43.59,56.41,58.97,19.5,65.7,141.54,190.75,208.38,211.48,212.00,0.93,0,0,3.59,15.5,83.3,31A
20,0.000000,0.000000,0,-1.0,0.0,0,20211008,080551,38111,26.10,43.43,56.24,58.80,19.5,65.7,140.59,189.64,207.25,210.34,210.87,0.94,0,0,3.58,15.5,83.4,31A
21,0.000000,0.000000,0,-1.0,0.0,0,20211008,080552,39182,26.05,43.38,56.20,58.77,19.6,65.8,140.22,189.22,206.84,209.94,210.46,0.94,0,0,3.59,15.6,83.5,31A
22,0.000000,0.000000,0,-1.0,0.0,0,20211008,080554,40249,26.07,43.47,56.34,58.92,19.5,65.7,140.24,189.35,207.03,210.15,210.67,0.94,0,0,3.58,15.5,83.4,31A
23,0.000000,0.000000,0,-1.0,0.0,0,20211008,080555,41320,26.08,43.49,56.37,58.94,19.6,65.6,140.25,189.38,207.08,210.19,210.72,0.93,0,0,3.59,15.6,83.2,31A
24,0.000000,0.000000,0,-1.0,0.0,0,20211008,080556,42391,26.04,43.40,56.24,58.81,19.6,65.5,140.15,189.18,206.82,209.93,210.45,0.93,0,0,3.58,15.6,83.1,31A
25,0.000000,0.000000,0,-1.0,0.0,0,20211008,080557,43462,25.99,43.34,56.17,58.74,19.6,65.3,139.83,188.80,206.43,209.53,210.06,0.93,0,0,3.59,15.6,82.9,31A
26,0.000000,0.000000,0,-1.0,0.0,0,20211008,080558,44539,25.94,43.21,55.98,58.54,19.6,65.2,139.62,188.43,205.99,209.08,209.60,0.93,0,0,3.59,15.6,82.8,31A
27,0.000000,0.000000,0,-1.0,0.0,0,20211008,080559,45609,25.92,43.20,55.98,58.54,19.6,65.2,139.48,188.29,205.85,208.94,209.46,0.94,0,0,3.58,15.6,82.7,31A
28,0.000000,0.000000,0,-1.0,0.0,0,20211008,080600,46679,25.92,43.31,56.18,58.76,19.6,65.1,139.19,188.14,205.82,208.93,209.46,0.94,0,0,3.58,15.6,82.6,31A
29,0.000000,0.000000,0,-1.0,0.0,0,20211008,080601,47756,25.94,43.41,56.35,58.94,19.6,65.0,139.15,188.23,205.99,209.12,209.65,0.94,0,0,3.58,15.6,82.5,31A
30,0.000000,0.000000,0,-1.0,0.0,0,20211008,080601,48826,25.98,43.59,56.63,59.24,19.7,65.0,139.10,188.39,206.30,209.45,209.98,0.95,0,0,3.58,15.7,82.5,31A
31,0.000000,0.000000,0,-1.0,0.0,0,20211008,080603,49897,26.06,43.86,57.05,59.68,19.6,64.9,139.20,188.82,206.93,210.11,210.65,0.95,0,0,3.58,15.6,82.3,31A
32,0.000000,0.000000,0,-1.0,0.0,0,20211008,080604,50964,26.19,44.22,57.59,60.26,19.7,64.8,139.57,189.62,207.98,211.21,211.75,0.95,0,0,3.58,15.7,82.2,31A
33,0.000000,0.000000,0,-1.0,0.0,0,20211008,080605,52035,26.29,44.55,58.11,60.82,19.6,64.6,139.63,190.09,208.70,211.97,212.52,0.97,0,0,3.58,15.6,82.0,31A
34,0.000000,0.000000,0,-1.0,0.0,0,20211008,080606,53106,26.40,44.85,58.56,61.30,19.7,64.5,139.98,190.79,209.60,212.91,213.47,0.96,0,0,3.58,15.7,81.9,31A
35,0.000000,0.000000,0,-1.0,0.0,0,20211008,080607,54177,26.55,45.15,58.96,61.73,19.7,64.4,140.69,191.85,210.80,214.14,214.70,0.95,0,0,3.58,15.7,81.7,31A
36,0.000000,0.000000,0,-1.0,0.0,0,20211008,080608,55254,26.62,45.32,59.21,61.99,19.7,64.3,140.95,192.31,211.37,214.73,215.29,0.96,0,0,3.58,15.7,81.6,31A
37,0.000000,0.000000,0,-1.0,0.0,0,20211008,080609,56325,26.68,45.43,59.36,62.15,19.7,64.3,141.25,192.74,211.85,215.21,215.78,0.96,0,0,3.58,15.7,81.6,31A
38,0.000000,0.000000,0,-1.0,0.0,0,20211008,080610,57396,26.72,45.50,59.45,62.25,19.7,64.2,141.43,193.00,212.14,215.51,216.08,0.96,0,0,3.58,15.7,81.5,31A
39,0.000000,0.000000,0,-1.0,0.0,0,20211008,080612,58473,26.73,45.52,59.48,62.27,19.7,64.3,141.49,193.08,212.23,215.60,216.17,0.96,0,0,3.58,15.7,81.6,31A
40,0.000000,0.000000,0,-1.0,0.0,0,20211008,080613,59544,26.79,45.59,59.55,62.35,19.8,64.4,141.89,193.55,212.71,216.08,216.65,0.95,0,0,3.58,15.8,81.7,31A
41,0.000000,0.000000,0,-1.0,0.0,0,20211008,080614,60614,26.86,45.64,59.58,62.37,19.8,64.4,142.41,194.12,213.25,216.62,217.19,0.94,0,0,3.58,15.8,81.7,31A
42,0.000000,0.000000,0,-1.0,0.0,0,20211008,080614,61691,27.02,45.79,59.73,62.52,19.7,64.3,143.55,195.42,214.54,217.91,218.48,0.94,0,0,3.58,15.7,81.6,31A
43,0.000000,0.000000,0,-1.0,0.0,0,20211008,080616,62761,27.16,46.06,60.10,62.91,19.8,64.3,144.20,196.37,215.63,219.02,219.60,0.95,0,0,3.58,15.8,81.6,31A
44,0.000000,0.000000,0,-1.0,0.0,0,20211008,080617,63831,27.34,46.43,60.60,63.43,19.8,64.3,145.04,197.63,217.08,220.50,221.08,0.95,0,0,3.58,15.8,81.6,31A
45,0.000000,0.000000,0,-1.0,0.0,0,20211008,080618,64901,27.47,46.69,60.97,63.83,19.8,64.2,145.57,198.47,218.06,221.51,222.09,0.96,0,0,3.58,15.8,81.5,31A
46,0.000000,0.000000,0,-1.0,0.0,0,20211008,080619,65968,27.54,46.89,61.27,64.14,19.8,64.2,145.80,198.94,218.66,222.13,222.72,0.96,0,0,3.58,15.8,81.4,31A
47,0.000000,0.000000,0,-1.0,0.0,0,20211008,080620,67038,27.55,46.92,61.32,64.20,19.8,64.2,145.76,198.94,218.70,222.17,222.76,0.95,0,0,3.58,15.8,81.4,31A
48,0.000000,0.000000,0,-1.0,0.0,0,20211008,080621,68109,27.46,46.81,61.19,64.07,19.8,64.1,145.22,198.28,218.01,221.48,222.07,0.95,0,0,3.58,15.8,81.3,31A
49,0.000000,0.000000,0,-1.0,0.0,0,20211008,080622,69176,27.38,46.64,60.96,63.82,19.9,64.1,144.89,197.75,217.39,220.84,221.43,0.94,0,0,3.58,15.9,81.3,31A
50,0.000000,0.000000,0,-1.0,0.0,0,20211008,080623,70247,27.33,46.55,60.84,63.70,19.9,64.1,144.62,197.38,216.98,220.43,221.01,0.94,0,0,3.58,15.9,81.3,31A
51,0.000000,0.000000,0,-1.0,0.0,0,20211008,080624,71318,27.32,46.54,60.83,63.68,19.9,64.0,144.51,197.26,216.86,220.30,220.89,0.94,0,0,3.58,15.9,81.2,31A
52,0.000000,0.000000,0,-1.0,0.0,0,20211008,080625,72395,27.30,46.48,60.73,63.58,19.8,64.0,144.48,197.15,216.71,220.15,220.73,0.93,0,0,3.58,15.8,81.2,31A
53,0.000000,0.000000,0,-1.0,0.0,0,20211008,080626,73465,27.27,46.43,60.68,63.53,19.9,64.0,144.30,196.93,216.47,219.91,220.49,0.93,0,0,3.58,15.9,81.2,31A
54,0.000000,0.000000,0,-1.0,0.0,0,20211008,080627,74535,27.28,46.47,60.72,63.57,19.9,63.9,144.37,197.04,216.60,220.04,220.62,0.94,0,0,3.58,15.9,81.1,31A
55,0.000000,0.000000,0,-1.0,0.0,0,20211008,080629,75605,27.33,46.53,60.80,63.65,19.9,63.9,144.69,197.43,217.00,220.44,221.03,0.94,0,0,3.58,15.9,81.0,31A
56,0.000000,0.000000,0,-1.0,0.0,0,20211008,080630,76682,27.46,46.80,61.18,64.06,19.9,63.8,145.19,198.24,217.97,221.44,222.03,0.95,0,0,3.58,15.9,81.0,31A
