STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211008,080727,5230,22.87,41.02,54.65,57.38,20.1,63.7,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.65,16.1,80.7,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211008,080728,6306,22.87,41.02,54.65,57.38,20.1,63.6,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.66,16.1,80.7,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211008,080729,7377,22.87,41.02,54.65,57.38,20.1,63.6,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.65,16.1,80.7,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211008,080729,8451,22.87,41.02,54.65,57.38,20.1,63.6,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.66,16.1,80.6,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211008,080731,9525,22.87,41.02,54.65,57.38,20.1,63.6,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.65,16.1,80.6,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211008,080732,10599,22.87,41.02,54.65,57.38,20.1,63.6,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.66,16.1,80.6,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211008,080733,11670,22.87,41.02,54.65,57.38,20.1,63.6,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.66,16.1,80.7,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211008,080734,12746,22.87,41.02,54.65,57.38,20.1,63.7,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.65,16.1,80.8,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211008,080735,13822,22.87,41.02,54.65,57.38,20.1,63.7,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.65,16.1,80.8,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20211008,080736,14894,22.87,41.02,54.65,57.38,20.1,63.7,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.64,16.1,80.8,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20211008,080737,15970,22.87,41.02,54.65,57.38,20.2,64.0,116.95,163.29,181.41,184.53,185.07,0.94,0,0,3.65,16.2,81.1,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20211008,080738,17047,23.05,41.40,55.17,57.93,20.1,64.2,117.76,164.53,182.84,185.99,186.54,0.95,0,0,3.65,16.1,81.4,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20211008,080739,18120,23.14,41.58,55.43,58.20,20.2,64.6,118.17,165.16,183.57,186.74,187.29,0.94,0,0,3.65,16.2,81.8,2E4
