STM32_v0.10,,,SPS30_SN:3234639E241C990E
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,0,000000,16661,2.50,2.65,2.65,2.65,27.4,30.3,17.20,19.92,19.97,19.98,19.98,0.53,0,0,3.73,23.4,37.9,90E
1,0.000000,0.000000,0,-1.0,0.0,0,0,161802,18684,0.63,0.66,0.66,0.66,27.4,31.4,4.30,4.98,4.99,4.99,5.00,0.28,0,0,3.73,23.4,39.3,90E
2,0.000000,0.000000,0,-1.0,0.0,0,0,161803,19760,0.62,0.65,0.65,0.65,27.4,31.4,4.26,4.93,4.94,4.94,4.95,0.28,0,0,3.73,23.4,39.2,90E
3,0.000000,0.000000,0,-1.0,0.0,0,0,161803,20834,0.62,0.66,0.66,0.66,27.4,31.5,4.26,4.94,4.95,4.95,4.96,0.42,0,0,3.73,23.4,39.4,90E
4,0.000000,0.000000,0,-1.0,0.0,0,0,161804,21908,0.62,0.66,0.66,0.66,27.4,31.6,4.27,4.95,4.96,4.96,4.96,0.48,0,0,3.73,23.4,39.6,90E
5,0.000000,0.000000,0,-1.0,0.0,0,0,161806,22982,0.62,0.65,0.65,0.65,27.5,31.2,4.23,4.91,4.92,4.92,4.92,0.48,0,0,3.73,23.5,39.0,90E
6,0.000000,0.000000,0,-1.0,0.0,0,0,161807,24049,0.66,0.93,1.13,1.17,27.5,30.4,3.94,4.97,5.24,5.28,5.29,0.61,0,0,3.73,23.5,38.1,90E
7,0.000000,0.000000,0,-1.0,0.0,0,0,161808,25119,0.68,1.01,1.24,1.29,27.5,29.8,3.97,5.09,5.42,5.47,5.48,0.78,0,0,3.73,23.5,37.2,90E
8,0.000000,0.000000,0,-1.0,0.0,0,0,161810,26189,0.70,1.11,1.40,1.46,27.5,29.3,3.95,5.19,5.60,5.67,5.68,0.82,0,0,3.73,23.5,36.6,90E
9,0.000000,0.000000,0,-1.0,0.0,0,0,161811,27259,0.71,1.11,1.41,1.47,27.5,29.1,3.97,5.22,5.62,5.70,5.71,0.82,0,0,3.73,23.5,36.5,90E
10,0.000000,0.000000,0,-1.0,0.0,0,0,161812,28336,0.71,1.05,1.30,1.35,27.5,29.3,4.10,5.27,5.62,5.68,5.69,0.78,0,0,3.73,23.5,36.7,90E
11,0.000000,0.000000,0,-1.0,0.0,0,0,161812,29407,0.71,0.98,1.17,1.21,27.5,29.5,4.33,5.41,5.67,5.72,5.73,0.76,0,0,3.73,23.5,36.9,90E
12,0.000000,0.000000,0,-1.0,0.0,0,0,161813,30478,0.73,1.00,1.18,1.21,27.5,29.8,4.49,5.58,5.83,5.87,5.88,0.74,0,0,3.73,23.5,37.3,90E
13,0.000000,0.000000,0,-1.0,0.0,0,0,161815,31549,0.75,0.93,1.05,1.07,27.5,29.8,4.79,5.79,5.96,5.99,5.99,0.63,0,0,3.73,23.5,37.3,90E
14,0.000000,0.000000,0,-1.0,0.0,0,0,161816,32617,0.83,1.01,1.12,1.14,27.5,29.4,5.35,6.42,6.58,6.61,6.62,0.57,0,0,3.73,23.5,36.8,90E
15,0.000000,0.000000,0,-1.0,0.0,0,0,161816,33688,0.85,0.89,0.89,0.89,27.5,28.9,5.81,6.73,6.75,6.75,6.75,0.53,0,0,3.73,23.5,36.2,90E
16,0.000000,0.000000,0,-1.0,0.0,0,0,161817,34759,0.91,1.08,1.17,1.19,27.5,28.3,6.01,7.15,7.29,7.32,7.32,0.55,0,0,3.73,23.5,35.5,90E
17,0.000000,0.000000,0,-1.0,0.0,0,20210512,161819,35830,1.14,1.34,1.44,1.47,27.5,28.2,7.48,8.90,9.06,9.09,9.10,0.56,0,0,3.73,23.5,35.3,90E
18,0.000000,0.000000,0,-1.0,0.0,0,20210512,161820,36905,1.28,1.47,1.57,1.59,27.6,28.5,8.54,10.09,10.24,10.27,10.27,0.54,0,0,3.73,23.6,35.6,90E
19,0.000000,0.000000,0,-1.0,0.0,0,20210512,161821,37976,1.36,1.56,1.66,1.68,27.6,28.6,9.03,10.67,10.83,10.86,10.87,0.54,0,0,3.73,23.6,35.8,90E
20,0.000000,0.000000,0,-1.0,0.0,0,20210512,161821,39047,1.40,1.60,1.70,1.72,27.6,28.4,9.29,10.97,11.14,11.17,11.17,0.55,0,0,3.73,23.6,35.6,90E
21,0.000000,0.000000,0,-1.0,0.0,0,20210512,161823,40115,1.41,1.61,1.72,1.74,27.6,28.0,9.35,11.05,11.21,11.24,11.25,0.55,0,0,3.73,23.6,35.0,90E
22,0.000000,0.000000,0,-1.0,0.0,0,20210512,161824,41186,1.40,1.48,1.48,1.48,27.6,28.1,9.60,11.12,11.15,11.15,11.15,0.53,0,0,3.74,23.6,35.2,90E
23,0.000000,0.000000,0,-1.0,0.0,0,20210512,161825,42257,1.39,1.47,1.47,1.47,27.6,28.7,9.57,11.08,11.11,11.12,11.12,0.53,0,0,3.73,23.6,35.9,90E
24,0.000000,0.000000,0,-1.0,0.0,0,20210512,161826,43328,1.38,1.46,1.46,1.46,27.6,29.2,9.49,10.99,11.02,11.02,11.03,0.53,0,0,3.73,23.6,36.6,90E
25,0.000000,0.000000,0,-1.0,0.0,0,20210512,161828,44396,1.39,1.55,1.62,1.64,27.6,30.0,9.35,10.97,11.09,11.11,11.12,0.54,0,0,3.73,23.6,37.5,90E
