STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210929,051958,16673,8.09,14.77,19.81,20.81,18.3,54.2,40.72,57.45,64.14,65.29,65.49,0.82,0,0,3.52,14.3,68.9,488
1,0.000000,0.000000,0,-1.0,0.0,0,20210929,051959,17748,9.75,27.52,41.44,44.23,18.3,54.1,25.83,58.50,76.70,79.86,80.39,1.44,0,0,3.52,14.3,68.9,488
2,0.000000,0.000000,0,-1.0,0.0,0,20210929,052000,18819,8.09,14.82,19.89,20.91,18.3,54.1,40.66,57.46,64.19,65.35,65.55,0.93,0,0,3.52,14.3,68.8,488
3,0.000000,0.000000,0,-1.0,0.0,0,20210929,052001,19892,7.87,13.14,17.04,17.82,18.3,53.9,42.63,57.32,62.53,63.43,63.58,0.89,0,0,3.52,14.3,68.6,488
4,0.000000,0.000000,0,-1.0,0.0,0,20210929,052002,20965,7.79,12.55,16.04,16.74,18.3,53.9,43.21,57.17,61.86,62.66,62.81,0.89,0,0,3.52,14.3,68.6,488
5,0.000000,0.000000,0,-1.0,0.0,0,20210929,052003,22039,7.77,12.61,16.17,16.88,18.3,53.8,42.95,56.99,61.76,62.58,62.72,0.88,0,0,3.52,14.3,68.4,488
6,0.000000,0.000000,0,-1.0,0.0,0,20210929,052005,23109,7.64,11.85,14.89,15.50,18.3,53.7,43.54,56.63,60.74,61.44,61.57,0.83,0,0,3.52,14.3,68.4,488
7,0.000000,0.000000,0,-1.0,0.0,0,20210929,052006,24182,7.55,11.71,14.73,15.34,18.3,53.7,42.97,55.92,59.99,60.69,60.82,0.83,0,0,3.52,14.3,68.3,488
8,0.000000,0.000000,0,-1.0,0.0,0,20210929,052007,25255,7.43,11.31,14.11,14.67,18.3,53.6,42.82,55.28,59.07,59.71,59.83,0.83,0,0,3.52,14.3,68.2,488
9,0.000000,0.000000,0,-1.0,0.0,0,20210929,052008,26324,7.31,10.59,12.91,13.38,18.3,53.6,43.39,54.96,58.12,58.66,58.76,0.80,0,0,3.52,14.3,68.2,488
10,0.000000,0.000000,0,-1.0,0.0,0,20210929,052009,27398,7.22,10.23,12.34,12.76,18.3,53.6,43.40,54.53,57.42,57.91,58.00,0.79,0,0,3.52,14.3,68.3,488
11,0.000000,0.000000,0,-1.0,0.0,0,20210929,052010,28472,7.10,9.70,11.48,11.83,18.3,53.6,43.56,54.04,56.50,56.91,56.99,0.75,0,0,3.52,14.3,68.2,488
12,0.000000,0.000000,0,-1.0,0.0,0,20210929,052011,29544,7.00,9.41,11.03,11.35,18.3,53.6,43.34,53.47,55.73,56.11,56.19,0.76,0,0,3.52,14.3,68.2,488
13,0.000000,0.000000,0,-1.0,0.0,0,20210929,052012,30612,6.91,9.01,10.40,10.67,18.3,53.6,43.44,53.09,55.04,55.37,55.43,0.73,0,0,3.51,14.3,68.2,488
14,0.000000,0.000000,0,-1.0,0.0,0,20210929,052013,31684,6.82,8.74,9.97,10.22,18.3,53.9,43.29,52.61,54.36,54.65,54.71,0.71,0,0,3.51,14.3,68.6,488
15,0.000000,0.000000,0,-1.0,0.0,0,20210929,052014,32755,6.75,8.51,9.61,9.83,18.3,54.1,43.17,52.21,53.79,54.06,54.11,0.69,0,0,3.52,14.3,68.9,488
16,0.000000,0.000000,0,-1.0,0.0,0,20210929,052015,33830,6.68,8.37,9.42,9.63,18.3,54.1,42.85,51.73,53.25,53.50,53.55,0.68,0,0,3.51,14.3,68.9,488
17,0.000000,0.000000,0,-1.0,0.0,0,20210929,052016,34900,6.63,8.27,9.29,9.49,18.3,54.1,42.63,51.40,52.87,53.11,53.16,0.69,0,0,3.52,14.3,68.9,488
18,0.000000,0.000000,0,-1.0,0.0,0,20210929,052016,35971,6.58,8.11,9.04,9.23,18.3,54.1,42.50,51.08,52.43,52.66,52.70,0.68,0,0,3.51,14.3,68.8,488
19,0.000000,0.000000,0,-1.0,0.0,0,20210929,052018,37042,6.56,8.02,8.90,9.08,18.3,54.1,42.56,51.03,52.31,52.53,52.57,0.67,0,0,3.52,14.3,68.8,488
20,0.000000,0.000000,0,-1.0,0.0,0,20210929,052019,38109,6.55,8.03,8.93,9.11,18.3,54.0,42.37,50.85,52.17,52.39,52.43,0.67,0,0,3.52,14.3,68.7,488
21,0.000000,0.000000,0,-1.0,0.0,0,20210929,052021,39180,6.52,7.88,8.68,8.85,18.3,53.8,42.45,50.76,51.95,52.14,52.18,0.65,0,0,3.51,14.3,68.5,488
22,0.000000,0.000000,0,-1.0,0.0,0,20210929,052022,40251,6.52,7.84,8.61,8.76,18.4,53.8,42.55,50.80,51.94,52.13,52.17,0.65,0,0,3.51,14.4,68.4,488
23,0.000000,0.000000,0,-1.0,0.0,0,20210929,052023,41318,6.54,7.82,8.55,8.70,18.3,53.7,42.78,51.00,52.10,52.28,52.32,0.64,0,0,3.51,14.3,68.3,488
24,0.000000,0.000000,0,-1.0,0.0,0,20210929,052024,42389,6.57,7.81,8.50,8.64,18.4,53.6,43.18,51.37,52.42,52.59,52.62,0.63,0,0,3.52,14.4,68.2,488
25,0.000000,0.000000,0,-1.0,0.0,0,20210929,052025,43459,6.60,7.82,8.49,8.63,18.3,53.5,43.38,51.58,52.60,52.77,52.81,0.64,0,0,3.51,14.3,68.1,488
26,0.000000,0.000000,0,-1.0,0.0,0,20210929,052026,44529,6.62,7.75,8.35,8.47,18.4,53.7,43.79,51.89,52.82,52.98,53.01,0.63,0,0,3.51,14.4,68.3,488
27,0.000000,0.000000,0,-1.0,0.0,0,20210929,052027,45606,6.72,7.84,8.44,8.56,18.4,53.8,44.45,52.65,53.58,53.73,53.76,0.64,0,0,3.51,14.4,68.4,488
28,0.000000,0.000000,0,-1.0,0.0,0,20210929,052028,46676,6.75,7.89,8.50,8.62,18.4,53.7,44.61,52.86,53.80,53.96,53.99,0.64,0,0,3.51,14.4,68.3,488
29,0.000000,0.000000,0,-1.0,0.0,0,20210929,052029,47746,6.74,7.90,8.52,8.64,18.4,53.7,44.55,52.81,53.77,53.92,53.96,0.64,0,0,3.52,14.4,68.3,488
30,0.000000,0.000000,0,-1.0,0.0,0,20210929,052029,48823,6.75,7.95,8.60,8.74,18.4,53.5,44.49,52.81,53.82,53.98,54.02,0.65,0,0,3.51,14.4,68.1,488
31,0.000000,0.000000,0,-1.0,0.0,0,20210929,052031,49894,6.73,7.88,8.50,8.63,18.4,53.5,44.45,52.70,53.65,53.81,53.84,0.64,0,0,3.51,14.4,68.0,488
32,0.000000,0.000000,0,-1.0,0.0,0,20210929,052032,50965,6.71,7.85,8.47,8.59,18.4,53.4,44.33,52.54,53.49,53.65,53.68,0.64,0,0,3.51,14.4,67.9,488
33,0.000000,0.000000,0,-1.0,0.0,0,20210929,052033,52036,6.67,7.81,8.41,8.54,18.4,53.3,44.09,52.26,53.19,53.35,53.38,0.64,0,0,3.51,14.4,67.8,488
34,0.000000,0.000000,0,-1.0,0.0,0,20210929,052034,53103,6.61,7.74,8.34,8.46,18.4,53.2,43.72,51.81,52.74,52.89,52.92,0.64,0,0,3.51,14.4,67.7,488
35,0.000000,0.000000,0,-1.0,0.0,0,20210929,052035,54174,6.57,7.68,8.27,8.38,18.4,53.2,43.48,51.50,52.41,52.56,52.59,0.64,0,0,3.51,14.4,67.7,488
36,0.000000,0.000000,0,-1.0,0.0,0,20210929,052036,55245,6.54,7.66,8.26,8.38,18.4,53.1,43.20,51.20,52.13,52.28,52.31,0.64,0,0,3.51,14.4,67.6,488
37,0.000000,0.000000,0,-1.0,0.0,0,20210929,052037,56316,6.48,7.58,8.16,8.28,18.4,53.1,42.84,50.76,51.67,51.81,51.84,0.64,0,0,3.51,14.4,67.5,488
38,0.000000,0.000000,0,-1.0,0.0,0,20210929,052038,57383,6.39,7.47,8.05,8.16,18.4,53.0,42.24,50.05,50.94,51.09,51.12,0.64,0,0,3.51,14.4,67.4,488
