STM32_v0.10,,,SPS30_SN:71508A49351A556A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211012,054029,16620,2.35,8.24,12.90,13.83,16.2,45.8,2.50,12.41,18.41,19.43,19.60,1.63,0,0,3.84,12.2,58.5,56A
1,0.000000,0.000000,0,-1.0,0.0,0,20211012,054030,17692,4.59,15.58,24.26,26.00,16.2,45.9,6.02,24.71,35.90,37.82,38.12,1.63,0,0,3.84,12.2,58.7,56A
2,0.000000,0.000000,0,-1.0,0.0,0,20211012,054031,18762,4.54,15.42,24.02,25.74,16.3,46.1,5.96,24.47,35.55,37.44,37.74,1.63,0,0,3.85,12.3,58.9,56A
3,0.000000,0.000000,0,-1.0,0.0,0,20211012,054032,19835,4.46,15.14,23.58,25.27,16.3,46.4,5.85,24.02,34.90,36.76,37.06,1.63,0,0,3.84,12.3,59.2,56A
4,0.000000,0.000000,0,-1.0,0.0,0,20211012,054033,20908,4.16,13.32,20.54,21.99,16.3,47.2,7.38,23.30,32.62,34.21,34.47,1.63,0,0,3.85,12.3,60.2,56A
5,0.000000,0.000000,0,-1.0,0.0,0,20211012,054035,21981,3.68,10.14,15.20,16.21,16.3,47.8,10.45,22.41,28.96,30.07,30.25,1.37,0,0,3.85,12.3,61.1,56A
6,0.000000,0.000000,0,-1.0,0.0,0,20211012,054036,23051,3.58,9.89,14.83,15.82,16.3,48.1,10.14,21.82,28.21,29.30,29.47,1.38,0,0,3.85,12.3,61.4,56A
7,0.000000,0.000000,0,-1.0,0.0,0,20211012,054037,24123,3.56,10.19,15.38,16.42,16.4,48.2,9.25,21.30,28.02,29.16,29.35,1.42,0,0,3.84,12.4,61.6,56A
8,0.000000,0.000000,0,-1.0,0.0,0,20211012,054038,25195,3.48,9.95,15.02,16.03,16.4,48.4,9.02,20.80,27.36,28.48,28.66,1.44,0,0,3.85,12.4,61.8,56A
9,0.000000,0.000000,0,-1.0,0.0,0,20211012,054039,26262,3.38,9.65,14.58,15.56,16.4,48.6,8.76,20.19,26.55,27.63,27.81,1.44,0,0,3.85,12.4,62.1,56A
10,0.000000,0.000000,0,-1.0,0.0,0,20211012,054040,27333,3.22,8.91,13.36,14.26,16.4,48.8,9.09,19.61,25.37,26.35,26.51,1.45,0,0,3.85,12.4,62.3,56A
11,0.000000,0.000000,0,-1.0,0.0,0,20211012,054041,28405,3.14,8.66,12.98,13.84,16.4,48.8,8.89,19.11,24.70,25.65,25.81,1.46,0,0,3.84,12.4,62.3,56A
12,0.000000,0.000000,0,-1.0,0.0,0,20211012,054042,29477,2.97,7.75,11.49,12.23,16.4,48.7,9.45,18.55,23.39,24.21,24.35,1.39,0,0,3.84,12.4,62.1,56A
13,0.000000,0.000000,0,-1.0,0.0,0,20211012,054043,30545,2.76,6.93,10.17,10.82,16.5,48.5,9.48,17.59,21.79,22.51,22.62,1.34,0,0,3.85,12.5,62.0,56A
14,0.000000,0.000000,0,-1.0,0.0,0,20211012,054044,31617,2.68,6.73,9.88,10.51,16.5,48.4,9.21,17.08,21.16,21.86,21.97,1.34,0,0,3.84,12.5,61.8,56A
15,0.000000,0.000000,0,-1.0,0.0,0,20211012,054045,32688,2.62,6.63,9.76,10.38,16.5,48.3,8.86,16.63,20.68,21.37,21.48,1.35,0,0,3.84,12.5,61.7,56A
