STM32_v0.10,,,SPS30_SN:3C91C21B8BAF1A7A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,59.335254,18.077970,1,1.2,3.8,7,20211005,054802,16679,23.64,58.49,85.60,91.02,24.4,51.7,80.50,149.87,186.48,192.95,194.01,1.29,0,0,3.78,20.4,65.1,A7A
1,59.335246,18.077987,1,0.8,3.9,7,20211005,054803,17747,14.35,32.13,45.84,48.59,24.4,52.2,57.18,94.89,113.46,116.74,117.28,1.09,0,0,3.78,20.4,65.7,A7A
2,59.335246,18.078003,1,0.9,3.8,7,20211005,054804,18815,14.36,32.03,45.66,48.39,24.3,52.2,57.43,95.01,113.47,116.73,117.27,1.06,0,0,3.78,20.3,65.7,A7A
3,59.335246,18.078015,1,0.4,3.7,7,20211005,054805,19886,14.37,27.37,37.22,39.19,24.4,52.1,68.98,100.49,113.91,116.28,116.67,0.99,0,0,3.78,20.4,65.6,A7A
4,59.335238,18.078025,1,0.9,3.7,7,20211005,054806,20959,14.46,28.41,39.03,41.15,24.3,52.0,67.24,100.07,114.52,117.06,117.49,1.03,0,0,3.78,20.3,65.5,A7A
5,59.335238,18.078038,1,0.9,3.8,7,20211005,054807,22032,14.59,27.71,37.64,39.62,24.4,51.9,70.26,102.14,115.68,118.06,118.46,1.00,0,0,3.78,20.4,65.3,A7A
6,59.335229,18.078052,1,0.4,4.0,7,20211005,054809,23109,14.69,27.27,36.76,38.66,24.4,51.6,72.23,103.51,116.46,118.75,119.13,0.98,0,0,3.78,20.4,65.0,A7A
7,59.335229,18.078062,1,0.5,4.2,7,20211005,054810,24180,14.74,28.06,38.16,40.18,24.4,51.4,70.75,103.05,116.81,119.23,119.64,1.00,0,0,3.78,20.4,64.6,A7A
8,59.335221,18.078084,1,0.0,4.5,7,20211005,054811,25252,14.82,27.77,37.55,39.51,24.4,51.4,72.24,104.13,117.48,119.83,120.22,0.99,0,0,3.78,20.4,64.6,A7A
9,59.335221,18.078094,1,0.8,4.6,7,20211005,054812,26319,15.00,27.58,37.06,38.96,24.5,51.4,74.44,106.04,118.98,121.26,121.64,0.97,0,0,3.78,20.5,64.7,A7A
10,59.335221,18.078099,1,0.1,7.3,7,20211005,054813,27390,15.17,28.24,38.12,40.09,24.4,51.3,74.39,106.81,120.27,122.65,123.04,0.98,0,0,3.78,20.4,64.6,A7A
11,59.335229,18.078103,1,0.2,9.7,7,20211005,054814,28463,15.39,29.01,39.32,41.39,24.4,51.2,74.58,107.94,121.99,124.47,124.88,0.98,0,0,3.78,20.4,64.5,A7A
12,59.335229,18.078103,1,0.1,11.9,7,20211005,054815,29532,16.10,29.23,39.11,41.09,24.4,51.1,80.76,114.19,127.68,130.06,130.46,0.95,0,0,3.78,20.4,64.3,A7A
13,59.335229,18.078101,1,0.2,13.7,7,20211005,054816,30606,16.43,29.06,38.52,40.41,24.5,51.1,84.28,117.39,130.33,132.61,132.99,0.94,0,0,3.78,20.5,64.2,A7A
14,59.335229,18.078099,1,0.1,14.1,7,20211005,054817,31680,16.72,29.86,39.72,41.69,24.5,51.0,85.11,119.18,132.66,135.03,135.43,0.94,0,0,3.78,20.5,64.2,A7A
15,59.335238,18.078099,1,0.0,14.6,7,20211005,054818,32754,16.99,30.33,40.34,42.34,24.4,51.1,86.54,121.15,134.83,137.23,137.64,0.94,0,0,3.78,20.4,64.2,A7A
16,59.335238,18.078099,1,0.0,15.2,7,20211005,054819,33824,17.22,30.67,40.76,42.77,24.4,51.1,87.84,122.82,136.61,139.04,139.45,0.93,0,0,3.78,20.4,64.3,A7A
17,59.335238,18.078099,1,0.0,15.5,7,20211005,054820,34898,17.36,31.12,41.44,43.50,24.4,51.0,88.11,123.64,137.75,140.24,140.65,0.93,0,0,3.78,20.4,64.2,A7A
18,59.335238,18.078101,1,0.0,15.9,7,20211005,054822,35971,17.50,31.13,41.35,43.40,24.4,50.9,89.35,124.85,138.83,141.29,141.70,0.93,0,0,3.77,20.4,64.1,A7A
19,59.335238,18.078101,1,0.0,16.3,7,20211005,054823,37040,17.60,31.32,41.61,43.66,24.4,50.9,89.81,125.54,139.60,142.08,142.50,0.93,0,0,3.78,20.4,64.0,A7A
20,59.335238,18.078103,1,0.0,16.9,7,20211005,054824,38113,17.72,31.53,41.88,43.96,24.4,50.8,90.43,126.39,140.55,143.05,143.46,0.93,0,0,3.78,20.4,63.9,A7A
21,59.335238,18.078105,1,0.0,17.0,7,20211005,054825,39186,17.84,31.80,42.26,44.35,24.4,50.7,90.99,127.26,141.57,144.09,144.51,0.94,0,0,3.78,20.4,63.8,A7A
22,59.335238,18.078105,1,0.0,17.2,7,20211005,054826,40255,18.08,32.27,42.92,45.05,24.4,50.7,92.05,128.87,143.43,145.99,146.42,0.95,0,0,3.78,20.4,63.8,A7A
23,59.335238,18.078105,1,0.0,17.2,7,20211005,054827,41329,18.27,32.70,43.53,45.69,24.4,50.7,92.80,130.12,144.92,147.53,147.97,0.95,0,0,3.78,20.4,63.8,A7A
24,59.335238,18.078105,1,0.0,17.2,7,20211005,054828,42403,18.40,33.01,43.97,46.16,24.4,50.7,93.33,131.02,146.00,148.64,149.08,0.95,0,0,3.78,20.4,63.8,A7A
25,59.335238,18.078105,1,0.0,17.1,7,20211005,054829,43477,18.63,33.53,44.73,46.97,24.4,50.7,94.17,132.48,147.78,150.47,150.92,0.96,0,0,3.78,20.4,63.7,A7A
26,59.335238,18.078105,1,0.0,17.1,7,20211005,054830,44547,18.69,33.68,44.95,47.20,24.4,50.6,94.37,132.85,148.25,150.96,151.41,0.96,0,0,3.78,20.4,63.7,A7A
27,59.335238,18.078105,1,0.0,17.1,7,20211005,054831,45621,18.77,33.89,45.25,47.52,24.4,50.6,94.60,133.33,148.85,151.59,152.05,0.96,0,0,3.78,20.4,63.7,A7A
28,59.335238,18.078105,1,0.0,17.0,7,20211005,054832,46695,18.81,33.98,45.38,47.66,24.5,50.6,94.76,133.60,149.17,151.92,152.38,0.96,0,0,3.78,20.5,63.7,A7A
29,59.335238,18.078107,1,0.0,17.0,7,20211005,054833,47765,18.79,33.99,45.41,47.70,24.5,50.6,94.62,133.48,149.08,151.83,152.29,0.96,0,0,3.78,20.5,63.6,A7A
30,59.335238,18.078107,1,0.0,17.0,7,20211005,054835,48839,18.76,33.99,45.44,47.73,24.5,50.5,94.33,133.19,148.83,151.58,152.05,0.96,0,0,3.78,20.5,63.6,A7A
31,59.335238,18.078107,1,0.0,17.1,7,20211005,054836,49913,18.74,33.99,45.46,47.75,24.5,50.5,94.08,132.95,148.62,151.38,151.84,0.96,0,0,3.78,20.5,63.6,A7A
