STM32_v0.2,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,145337,16757,15.31,23.78,29.92,31.15,20.8,53.2,86.66,113.22,121.67,123.17,123.43,0.69,0,0,3.85,16.8,67.4,1D6
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,145338,17826,12.23,25.47,35.61,37.64,20.8,53.2,53.39,83.06,96.76,99.20,99.61,0.96,0,0,3.86,16.8,67.4,1D6
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,145339,18898,11.79,22.34,30.33,31.93,20.8,53.1,56.92,82.64,93.46,95.39,95.71,0.86,0,0,3.85,16.8,67.3,1D6
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,145340,19973,12.01,23.62,32.46,34.23,20.8,53.1,55.86,83.19,95.15,97.28,97.63,0.92,0,0,3.85,16.8,67.2,1D6
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,145341,21048,11.86,21.95,29.56,31.08,20.9,53.1,58.57,83.76,94.08,95.92,96.23,0.88,0,0,3.85,16.9,67.2,1D6
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,145341,22122,12.04,22.47,30.34,31.92,20.9,53.4,58.99,84.80,95.48,97.39,97.71,0.89,0,0,3.85,16.9,67.6,1D6
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,145344,23194,12.18,22.50,30.28,31.84,20.9,53.6,60.24,86.05,96.61,98.49,98.81,0.90,0,0,3.85,16.9,67.9,1D6
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,145345,24270,12.41,23.05,31.08,32.69,20.9,53.8,61.01,87.48,98.37,100.32,100.64,0.92,0,0,3.85,16.9,68.1,1D6
8,0.000000,0.000000,0,-1.0,0.0,0,20211011,145346,25347,12.63,23.61,31.91,33.58,20.9,53.8,61.71,88.84,100.10,102.11,102.45,0.92,0,0,3.85,16.9,68.1,1D6
9,0.000000,0.000000,0,-1.0,0.0,0,20211011,145347,26421,12.71,23.53,31.70,33.34,20.9,53.7,62.68,89.69,100.77,102.75,103.08,0.91,0,0,3.85,16.9,68.0,1D6
10,0.000000,0.000000,0,-1.0,0.0,0,20211011,145348,27488,12.80,23.26,31.13,32.71,20.9,53.6,64.19,90.81,101.50,103.41,103.73,0.91,0,0,3.85,16.9,67.8,1D6
11,0.000000,0.000000,0,-1.0,0.0,0,20211011,145349,28557,12.94,23.51,31.47,33.06,20.9,53.4,64.93,91.84,102.65,104.57,104.89,0.90,0,0,3.85,16.9,67.6,1D6
12,0.000000,0.000000,0,-1.0,0.0,0,20211011,145350,29632,13.09,23.67,31.63,33.22,20.9,53.3,65.99,93.06,103.87,105.79,106.12,0.91,0,0,3.85,16.9,67.5,1D6
