STM32_v0.1,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN
0,0.000000,0.000000,0,0.0,0.0,0,0,192110,614,11.58,20.89,27.89,29.29,21.94,41.71,58.46,82.35,91.86,93.55,93.84,0.79,0,0,3.63
1,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,16525,11.58,20.89,27.89,29.29,21.92,41.67,58.46,82.35,91.86,93.55,93.84,0.79,0,0,3.62
2,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,17535,7.53,15.75,22.05,23.31,21.91,41.50,32.76,51.13,59.63,61.14,61.40,0.95,0,0,3.62
3,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,18538,6.65,9.40,11.32,11.70,21.94,41.51,39.87,50.20,52.88,53.35,53.43,0.69,0,0,3.62
4,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,19543,6.58,8.88,10.43,10.74,21.92,41.51,40.56,50.23,52.42,52.80,52.87,0.64,0,0,3.62
5,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,20548,6.51,8.33,9.51,9.74,21.92,41.58,41.20,50.17,51.86,52.15,52.20,0.67,0,0,3.62
6,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,21551,6.52,8.21,9.28,9.49,21.95,41.56,41.60,50.41,51.96,52.23,52.28,0.69,0,0,3.62
7,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,22560,6.53,8.13,9.11,9.31,21.93,41.62,41.91,50.61,52.05,52.30,52.34,0.68,0,0,3.62
8,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,23563,6.55,7.96,8.80,8.96,21.96,41.75,42.51,50.99,52.23,52.44,52.48,0.66,0,0,3.62
9,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,24566,6.57,7.90,8.68,8.83,21.94,41.78,42.78,51.17,52.34,52.53,52.57,0.63,0,0,3.61
10,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,25575,6.54,7.87,8.64,8.79,21.96,41.80,42.65,51.01,52.16,52.36,52.40,0.63,0,0,3.62
11,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,26579,6.52,7.82,8.58,8.73,21.98,42.04,42.50,50.80,51.94,52.13,52.17,0.62,0,0,3.62
12,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,27583,6.49,7.80,8.56,8.71,22.01,42.36,42.29,50.57,51.71,51.90,51.94,0.60,0,0,3.61
13,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,28587,6.43,7.54,8.14,8.26,22.05,42.82,42.37,50.33,51.26,51.42,51.45,0.59,0,0,3.62
14,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,29597,6.44,7.50,8.05,8.17,22.03,43.07,42.57,50.47,51.34,51.48,51.51,0.60,0,0,3.62
15,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,30601,6.45,7.56,8.16,8.28,22.02,43.05,42.48,50.46,51.39,51.55,51.58,0.59,0,0,3.62
16,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,31605,6.44,7.50,8.06,8.17,22.02,42.98,42.53,50.44,51.31,51.46,51.49,0.59,0,0,3.62
17,0.000000,0.000000,0,0.0,0.0,0,20210329,192124,32609,6.41,7.43,7.95,8.06,22.03,42.94,42.47,50.29,51.11,51.25,51.28,0.59,0,0,3.62
