STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210924,073350,16657,1.56,3.37,4.77,5.05,20.0,45.2,6.60,10.50,12.34,12.66,12.71,0.68,0,0,3.72,16.0,57.3,488
1,0.000000,0.000000,0,-1.0,0.0,0,20210924,073353,19741,0.97,3.17,4.90,5.25,20.0,45.4,1.57,5.37,7.63,8.02,8.09,1.63,0,0,3.71,16.0,57.6,488
2,0.000000,0.000000,0,-1.0,0.0,0,20210924,073354,20813,0.97,3.17,4.90,5.25,19.9,45.4,1.57,5.37,7.63,8.02,8.09,1.63,0,0,3.71,15.9,57.6,488
3,0.000000,0.000000,0,-1.0,0.0,0,20210924,073355,21888,0.96,3.14,4.85,5.19,19.9,45.4,1.55,5.32,7.55,7.94,8.01,1.63,0,0,3.71,15.9,57.6,488
4,0.000000,0.000000,0,-1.0,0.0,0,20210924,073357,22963,0.95,3.08,4.76,5.10,19.9,45.4,1.52,5.22,7.42,7.80,7.86,1.63,0,0,3.71,15.9,57.5,488
5,0.000000,0.000000,0,-1.0,0.0,0,20210924,073358,24038,0.92,3.00,4.64,4.97,19.9,45.4,1.49,5.09,7.23,7.60,7.67,1.63,0,0,3.71,15.9,57.5,488
6,0.000000,0.000000,0,-1.0,0.0,0,20210924,073359,25109,0.75,1.75,2.53,2.69,19.9,45.4,2.85,4.89,5.91,6.09,6.12,1.03,0,0,3.71,15.9,57.5,488
7,0.000000,0.000000,0,-1.0,0.0,0,20210924,073400,26184,0.68,1.31,1.79,1.89,19.9,45.4,3.28,4.78,5.41,5.52,5.54,0.74,0,0,3.71,15.9,57.6,488
8,0.000000,0.000000,0,-1.0,0.0,0,20210924,073401,27259,0.67,1.28,1.75,1.84,19.9,45.4,3.21,4.67,5.29,5.39,5.41,0.74,0,0,3.71,15.9,57.6,488
9,0.000000,0.000000,0,-1.0,0.0,0,20210924,073402,28334,0.64,1.13,1.50,1.58,19.9,45.4,3.30,4.57,5.07,5.15,5.17,0.77,0,0,3.71,15.9,57.6,488
10,0.000000,0.000000,0,-1.0,0.0,0,20210924,073403,29405,0.62,1.11,1.47,1.54,19.9,45.4,3.21,4.46,4.94,5.03,5.04,0.77,0,0,3.71,15.9,57.6,488
11,0.000000,0.000000,0,-1.0,0.0,0,20210924,073404,30481,0.60,0.96,1.23,1.29,19.9,45.4,3.30,4.37,4.73,4.79,4.80,0.64,0,0,3.71,15.9,57.6,488
12,0.000000,0.000000,0,-1.0,0.0,0,20210924,073405,31558,0.58,0.94,1.20,1.25,19.8,45.4,3.21,4.25,4.61,4.67,4.68,0.64,0,0,3.71,15.8,57.6,488
13,0.000000,0.000000,0,-1.0,0.0,0,20210924,073406,32631,0.51,0.54,0.54,0.54,19.8,45.4,3.49,4.04,4.05,4.05,4.05,0.55,0,0,3.71,15.8,57.6,488
