STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210927,050605,16740,2.64,9.68,15.26,16.38,18.8,52.5,1.68,13.25,20.60,21.86,22.06,1.63,0,0,3.54,14.8,66.7,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20210927,050606,17812,1.32,4.84,7.63,8.19,18.7,52.4,0.84,6.63,10.30,10.93,11.03,1.63,0,0,3.54,14.7,66.7,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20210927,050607,18888,1.30,4.68,7.36,7.89,18.7,52.4,1.06,6.65,10.17,10.78,10.88,1.63,0,0,3.54,14.7,66.7,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20210927,050608,19956,1.05,2.88,4.30,4.59,18.7,52.4,3.01,6.39,8.28,8.60,8.65,1.22,0,0,3.54,14.7,66.6,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20210927,050609,21031,1.16,3.51,5.35,5.72,18.7,52.4,2.56,6.71,9.14,9.56,9.63,1.34,0,0,3.54,14.7,66.6,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20210927,050610,22106,1.18,3.57,5.44,5.81,18.7,52.4,2.60,6.82,9.29,9.71,9.78,1.34,0,0,3.54,14.7,66.6,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20210927,050612,23177,1.13,3.13,4.69,5.00,18.7,52.4,3.12,6.81,8.87,9.23,9.28,1.19,0,0,3.55,14.7,66.6,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20210927,050613,24252,1.13,3.12,4.69,5.00,18.7,52.4,3.12,6.80,8.87,9.22,9.28,1.19,0,0,3.54,14.7,66.7,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20210927,050614,25327,1.07,2.75,4.06,4.32,18.6,52.4,3.50,6.72,8.45,8.75,8.80,1.06,0,0,3.54,14.6,66.7,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20210927,050615,26402,1.05,2.62,3.83,4.08,18.6,52.4,3.62,6.68,8.30,8.57,8.62,1.08,0,0,3.54,14.6,66.7,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20210927,050616,27473,1.04,2.59,3.79,4.03,18.6,52.4,3.58,6.61,8.20,8.47,8.52,1.08,0,0,3.54,14.6,66.7,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20210927,050617,28549,1.02,2.48,3.62,3.85,18.6,52.5,3.63,6.53,8.03,8.29,8.33,1.09,0,0,3.54,14.6,66.7,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20210927,050618,29625,0.99,2.34,3.40,3.61,18.6,52.5,3.67,6.40,7.79,8.03,8.07,1.04,0,0,3.54,14.6,66.7,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20210927,050619,30698,0.97,2.24,3.23,3.43,18.6,52.5,3.73,6.34,7.65,7.87,7.91,1.04,0,0,3.54,14.6,66.7,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20210927,050620,31774,0.95,2.21,3.18,3.37,18.6,52.5,3.67,6.24,7.53,7.75,7.78,1.04,0,0,3.54,14.6,66.8,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,20210927,050621,32850,0.93,2.16,3.11,3.30,18.6,52.5,3.59,6.10,7.36,7.57,7.61,1.04,0,0,3.54,14.6,66.8,5A1
16,0.000000,0.000000,0,-1.0,0.0,0,20210927,050622,33927,0.90,2.10,3.02,3.20,18.6,52.5,3.48,5.92,7.14,7.35,7.39,1.04,0,0,3.54,14.6,66.8,5A1
17,0.000000,0.000000,0,-1.0,0.0,0,20210927,050623,35000,0.87,2.02,2.91,3.09,18.6,52.6,3.36,5.72,6.90,7.10,7.14,1.04,0,0,3.54,14.6,66.8,5A1
18,0.000000,0.000000,0,-1.0,0.0,0,20210927,050625,36068,0.84,1.92,2.75,2.91,18.6,52.6,3.32,5.55,6.65,6.84,6.87,1.04,0,0,3.54,14.6,66.9,5A1
19,0.000000,0.000000,0,-1.0,0.0,0,20210927,050626,37144,0.80,1.74,2.45,2.60,18.6,52.6,3.39,5.40,6.35,6.51,6.54,0.98,0,0,3.54,14.6,66.9,5A1
20,0.000000,0.000000,0,-1.0,0.0,0,20210927,050627,38220,0.82,1.83,2.62,2.77,18.6,52.6,3.31,5.44,6.48,6.66,6.69,1.02,0,0,3.54,14.6,66.9,5A1
21,0.000000,0.000000,0,-1.0,0.0,0,20210927,050628,39292,0.81,1.74,2.45,2.59,18.6,52.6,3.44,5.45,6.40,6.56,6.59,0.97,0,0,3.54,14.6,66.9,5A1
