STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210927,050602,16734,2.12,7.21,11.23,12.04,19.0,51.5,2.64,11.33,16.57,17.48,17.63,1.03,0,0,3.51,15.0,65.4,286
1,0.000000,0.000000,0,-1.0,0.0,0,20210927,050604,18654,0.59,3.63,6.07,6.55,19.0,51.3,0.00,1.40,4.55,5.10,5.19,1.63,0,0,3.51,15.0,65.1,286
2,0.000000,0.000000,0,-1.0,0.0,0,20210927,050605,19726,0.82,1.93,2.80,2.97,19.0,51.2,3.09,5.35,6.48,6.68,6.71,1.12,0,0,3.51,15.0,65.0,286
3,0.000000,0.000000,0,-1.0,0.0,0,20210927,050606,20801,0.84,1.98,2.87,3.04,19.0,51.1,3.17,5.49,6.65,6.85,6.89,1.12,0,0,3.51,15.0,64.9,286
4,0.000000,0.000000,0,-1.0,0.0,0,20210927,050608,21876,0.89,1.83,2.55,2.69,18.9,51.0,3.96,6.07,7.02,7.18,7.21,0.97,0,0,3.51,14.9,64.8,286
5,0.000000,0.000000,0,-1.0,0.0,0,20210927,050609,22951,0.90,1.91,2.68,2.83,18.9,50.9,3.89,6.09,7.11,7.28,7.31,1.00,0,0,3.51,14.9,64.7,286
6,0.000000,0.000000,0,-1.0,0.0,0,20210927,050610,24021,0.90,1.91,2.69,2.84,18.9,50.9,3.90,6.11,7.13,7.30,7.33,1.00,0,0,3.51,14.9,64.6,286
7,0.000000,0.000000,0,-1.0,0.0,0,20210927,050611,25095,0.92,1.78,2.42,2.55,18.9,50.8,4.43,6.46,7.31,7.46,7.49,0.93,0,0,3.50,14.9,64.6,286
8,0.000000,0.000000,0,-1.0,0.0,0,20210927,050612,26169,0.96,1.69,2.24,2.35,18.9,50.8,4.95,6.85,7.58,7.71,7.73,0.87,0,0,3.50,14.9,64.5,286
9,0.000000,0.000000,0,-1.0,0.0,0,20210927,050613,27243,0.99,1.66,2.17,2.27,18.9,50.8,5.29,7.15,7.83,7.94,7.96,0.84,0,0,3.51,14.9,64.5,286
10,0.000000,0.000000,0,-1.0,0.0,0,20210927,050614,28313,1.00,1.68,2.19,2.29,18.9,50.8,5.34,7.22,7.90,8.02,8.04,0.84,0,0,3.50,14.9,64.5,286
11,0.000000,0.000000,0,-1.0,0.0,0,20210927,050615,29388,0.99,1.68,2.18,2.28,18.9,50.8,5.33,7.21,7.88,8.00,8.02,0.84,0,0,3.51,14.9,64.5,286
12,0.000000,0.000000,0,-1.0,0.0,0,20210927,050616,30463,1.02,1.58,1.99,2.07,18.9,50.7,5.78,7.52,8.07,8.17,8.18,0.80,0,0,3.50,14.9,64.5,286
13,0.000000,0.000000,0,-1.0,0.0,0,20210927,050617,31535,1.02,1.58,1.99,2.07,18.9,50.8,5.78,7.52,8.07,8.17,8.18,0.80,0,0,3.51,14.9,64.5,286
14,0.000000,0.000000,0,-1.0,0.0,0,20210927,050618,32611,1.01,1.61,2.04,2.13,18.9,50.8,5.66,7.44,8.03,8.13,8.15,0.83,0,0,3.51,14.9,64.6,286
15,0.000000,0.000000,0,-1.0,0.0,0,20210927,050619,33687,1.04,1.51,1.84,1.90,18.9,51.0,6.14,7.78,8.24,8.31,8.33,0.77,0,0,3.51,14.9,64.8,286
16,0.000000,0.000000,0,-1.0,0.0,0,20210927,050621,34763,1.05,1.58,1.95,2.03,18.9,51.1,6.14,7.87,8.38,8.47,8.48,0.80,0,0,3.50,14.9,64.9,286
