[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.09.27]
[File start time: 17:27:54]

Time	Number	Size	LDSA	Filter	Diff	
4,5	1808	59,2	6,09	5,17	2,07
14,5	4228	37,5	8,57	6,06	4,14
24,5	3799	39,1	8,08	5,83	3,78
34,5	5689	33,3	10,11	6,72	5,31
44,5	11172	26,6	15,49	9,02	9,4
54,5	5581	40,2	12,24	8,96	5,61
64,5	4598	45,5	11,57	8,94	4,82
74,5	4872	43,4	11,63	8,81	5,03
84,5	4105	48,9	11,17	8,88	4,41
94,5	4079	47,7	10,82	8,52	4,35
104,5	3786	49,4	10,42	8,31	4,08
114,5	4115	47,6	10,88	8,56	4,38
124,5	3848	49,4	10,59	8,45	4,15
134,5	4004	47,4	10,53	8,26	4,26
144,5	3807	50,3	10,7	8,6	4,13
154,5	3984	49,1	10,91	8,69	4,29
164,5	3823	49,8	10,62	8,5	4,13
174,5	3762	50,2	10,55	8,47	4,08
184,5	3469	54,5	10,66	8,82	3,87
194,5	3545	53,2	10,6	8,69	3,92
204,5	3658	51	10,44	8,44	3,99
214,5	3447	54,1	10,51	8,67	3,84
224,5	3604	52,3	10,57	8,61	3,96
234,5	3514	53	10,46	8,57	3,88
244,5	3460	53	10,31	8,44	3,82
254,5	3481	52,6	10,28	8,39	3,83
264,5	3324	54,3	10,17	8,4	3,7
274,5	3293	53,5	9,91	8,15	3,65
284,5	3386	53,8	10,25	8,44	3,76
294,5	3447	53	10,27	8,42	3,81
304,5	3493	51,6	10,11	8,2	3,82
314,5	3572	50,1	10,01	8,03	3,87
324,5	3403	51,7	9,87	8,01	3,73
334,5	3335	51,5	9,63	7,81	3,65
344,5	3717	49,8	10,34	8,28	4,02
354,5	3450	52	10,05	8,18	3,79
364,5	3593	50,7	10,19	8,21	3,91
374,5	3704	50,4	10,44	8,4	4,02
384,5	3722	50,5	10,52	8,47	4,05
394,5	3954	48,2	10,59	8,37	4,23
404,5	3825	49,1	10,47	8,34	4,12
414,5	3992	48	10,65	8,41	4,27
424,5	3697	50,2	10,38	8,33	4,01
434,5	3976	47,6	10,51	8,27	4,24
444,5	3958	47,5	10,43	8,2	4,21
454,5	3826	48,4	10,31	8,17	4,1
464,5	3823	48,6	10,34	8,2	4,1
474,5	3976	47,1	10,4	8,15	4,22
484,5	3834	48,4	10,31	8,16	4,11
494,5	3792	48,6	10,25	8,13	4,07
504,5	3811	48,9	10,38	8,25	4,1
514,5	4015	48,3	10,79	8,53	4,3
524,5	3979	47,7	10,54	8,29	4,24
534,5	3721	50	10,38	8,32	4,03
544,5	3650	50,1	10,22	8,2	3,96
554,5	3962	47,4	10,43	8,19	4,22
564,5	3949	47,8	10,49	8,27	4,21
574,5	4450	44,2	10,84	8,28	4,62
