STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210928,050539,16719,3.92,4.15,4.15,4.15,19.6,45.2,26.95,31.23,31.30,31.31,31.32,0.58,0,0,3.67,15.6,57.4,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20210928,050540,17796,2.72,5.25,7.17,7.55,19.6,45.2,12.87,18.93,21.54,22.00,22.08,0.95,0,0,3.67,15.6,57.4,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20210928,050541,18869,2.71,5.12,6.95,7.31,19.6,45.3,13.07,18.96,21.45,21.89,21.97,1.03,0,0,3.67,15.6,57.5,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20210928,050542,19944,2.55,4.11,5.26,5.49,19.5,45.3,14.03,18.65,20.24,20.52,20.56,0.89,0,0,3.67,15.5,57.5,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20210928,050543,21020,2.56,4.11,5.24,5.47,19.5,45.3,14.13,18.75,20.31,20.59,20.63,0.89,0,0,3.67,15.5,57.6,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20210928,050544,22096,2.53,3.96,4.99,5.20,19.5,45.4,14.25,18.68,20.11,20.36,20.41,0.86,0,0,3.67,15.5,57.6,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20210928,050546,23167,2.46,3.56,4.33,4.49,19.5,45.4,14.59,18.52,19.60,19.79,19.82,0.77,0,0,3.67,15.5,57.7,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20210928,050547,24242,2.43,3.38,4.04,4.17,19.5,45.5,14.70,18.40,19.33,19.49,19.52,0.75,0,0,3.67,15.5,57.7,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20210928,050548,25317,2.40,3.13,3.62,3.72,19.5,45.5,15.00,18.39,19.09,19.21,19.23,0.75,0,0,3.67,15.5,57.7,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20210928,050549,26388,2.39,3.10,3.56,3.66,19.6,45.5,15.05,18.40,19.06,19.18,19.20,0.72,0,0,3.67,15.6,57.8,B1F
