STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210929,151301,16663,33.26,63.28,86.03,90.58,21.7,56.8,160.79,233.21,263.59,268.78,269.66,1.06,0,0,4.61,17.7,71.9,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20210929,151302,17734,26.78,52.67,72.37,76.31,21.7,56.8,125.39,185.85,212.13,216.62,217.37,1.00,0,0,4.61,17.7,71.9,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20210929,151303,18801,26.39,49.98,67.84,71.42,21.7,56.8,128.13,185.31,209.17,213.25,213.94,0.96,0,0,4.60,17.7,71.8,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20210929,151304,19871,26.22,48.59,65.46,68.84,21.7,56.8,129.90,185.37,207.94,211.79,212.45,0.94,0,0,4.60,17.7,71.8,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20210929,151305,20941,26.45,49.83,67.52,71.06,21.8,56.7,129.03,186.00,209.64,213.68,214.36,0.95,0,0,4.60,17.8,71.7,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20210929,151305,22018,26.40,49.33,66.67,70.14,21.8,56.7,129.73,186.10,209.27,213.23,213.90,0.96,0,0,4.61,17.8,71.7,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20210929,151307,23088,26.37,49.28,66.60,70.06,21.8,56.7,129.58,185.89,209.04,212.99,213.66,0.94,0,0,4.61,17.8,71.6,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20210929,151308,24159,26.26,48.87,65.95,69.37,21.8,56.7,129.55,185.36,208.20,212.09,212.76,0.95,0,0,4.61,17.8,71.6,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20210929,151309,25230,26.16,48.78,65.87,69.29,21.8,56.6,128.86,184.59,207.43,211.33,211.99,0.95,0,0,4.61,17.8,71.5,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20210929,151310,26307,26.15,48.54,65.45,68.84,21.8,56.6,129.29,184.72,207.33,211.19,211.84,0.94,0,0,4.61,17.8,71.5,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20210929,151311,27377,26.10,48.17,64.81,68.14,21.8,56.6,129.71,184.68,206.94,210.75,211.39,0.93,0,0,4.61,17.8,71.5,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20210929,151312,28448,26.06,47.74,64.08,67.34,21.8,56.5,130.40,184.85,206.71,210.44,211.07,0.93,0,0,4.61,17.8,71.4,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20210929,151313,29515,26.08,48.03,64.58,67.89,21.8,56.5,129.86,184.67,206.81,210.59,211.23,0.94,0,0,4.61,17.8,71.4,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20210929,151314,30586,26.18,48.60,65.53,68.92,21.8,56.5,129.43,184.93,207.56,211.43,212.08,0.95,0,0,4.61,17.8,71.4,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20210929,151316,31656,26.26,48.22,64.78,68.09,21.8,56.4,131.11,186.12,208.26,212.04,212.68,0.95,0,0,4.61,17.8,71.3,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,20210929,151317,32726,26.32,48.28,64.83,68.14,21.9,56.4,131.49,186.55,208.70,212.48,213.12,0.94,0,0,4.61,17.9,71.3,5A1
16,0.000000,0.000000,0,-1.0,0.0,0,20210929,151318,33803,26.36,48.32,64.87,68.18,21.9,56.4,131.78,186.89,209.04,212.82,213.46,0.94,0,0,4.61,17.9,71.3,5A1
17,0.000000,0.000000,0,-1.0,0.0,0,20210929,151318,34873,26.39,48.37,64.93,68.24,21.9,56.4,131.93,187.09,209.25,213.04,213.68,0.95,0,0,4.61,17.9,71.2,5A1
18,0.000000,0.000000,0,-1.0,0.0,0,20210929,151320,35943,26.46,48.57,65.23,68.56,21.9,56.4,132.15,187.55,209.84,213.65,214.29,0.95,0,0,4.61,17.9,71.2,5A1
19,0.000000,0.000000,0,-1.0,0.0,0,20210929,151321,37020,26.69,49.03,65.88,69.25,21.9,56.3,133.15,189.09,211.62,215.47,216.12,0.95,0,0,4.61,17.9,71.2,5A1
20,0.000000,0.000000,0,-1.0,0.0,0,20210929,151322,38090,26.97,49.65,66.75,70.17,21.9,56.3,134.37,191.02,213.90,217.80,218.46,0.96,0,0,4.61,17.9,71.1,5A1
21,0.000000,0.000000,0,-1.0,0.0,0,20210929,151323,39161,27.19,50.14,67.46,70.93,21.9,56.2,135.19,192.41,215.58,219.53,220.20,0.96,0,0,4.61,17.9,71.1,5A1
