STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211005,130246,16664,23.89,63.81,95.01,101.25,18.1,72.8,71.94,147.35,188.16,195.23,196.43,1.19,0,0,3.70,14.1,92.6,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20211005,130247,17740,10.52,13.20,14.88,15.22,18.1,73.0,67.37,81.39,83.81,84.21,84.29,0.62,0,0,3.70,14.1,92.9,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20211005,130248,18817,10.49,12.93,14.42,14.72,18.1,73.0,67.78,81.46,83.62,83.98,84.05,0.63,0,0,3.70,14.1,92.9,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20211005,130249,19886,10.77,15.02,17.96,18.55,18.1,72.9,65.35,81.64,85.69,86.37,86.50,0.71,0,0,3.70,14.1,92.8,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20211005,130250,20955,10.75,14.73,17.44,17.99,18.2,73.3,65.93,81.85,85.60,86.24,86.36,0.76,0,0,3.69,14.2,93.3,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20211005,130250,22024,10.80,14.87,17.66,18.22,18.2,73.6,66.02,82.11,85.96,86.62,86.74,0.78,0,0,3.69,14.2,93.7,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,20211005,130252,23100,10.82,14.56,17.07,17.58,18.3,74.4,66.99,82.66,86.16,86.76,86.87,0.77,0,0,3.70,14.3,94.6,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20211005,130253,24170,10.93,15.01,17.81,18.37,18.3,74.7,66.90,83.14,87.00,87.65,87.77,0.79,0,0,3.70,14.3,95.1,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20211005,130254,25240,11.19,16.30,19.91,20.63,18.3,74.8,66.25,84.06,88.99,89.83,89.98,0.83,0,0,3.69,14.3,95.2,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20211005,130255,26317,11.20,16.30,19.91,20.63,18.3,74.7,66.40,84.22,89.13,89.97,90.12,0.83,0,0,3.70,14.3,95.1,1ED
10,0.000000,0.000000,0,-1.0,0.0,0,20211005,130256,27387,11.25,16.42,20.08,20.82,18.3,74.6,66.57,84.53,89.52,90.37,90.52,0.82,0,0,3.69,14.3,94.9,1ED
11,0.000000,0.000000,0,-1.0,0.0,0,20211005,130257,28458,11.38,17.16,21.30,22.13,18.4,74.5,66.02,84.88,90.50,91.46,91.63,0.84,0,0,3.69,14.4,94.7,1ED
12,0.000000,0.000000,0,-1.0,0.0,0,20211005,130258,29528,11.50,17.79,22.34,23.25,18.3,74.4,65.60,85.24,91.39,92.44,92.63,0.85,0,0,3.69,14.3,94.6,1ED
13,0.000000,0.000000,0,-1.0,0.0,0,20211005,130259,30595,11.52,17.56,21.92,22.79,18.4,74.3,66.31,85.66,91.55,92.56,92.74,0.85,0,0,3.70,14.4,94.6,1ED
14,0.000000,0.000000,0,-1.0,0.0,0,20211005,130300,31666,11.54,17.38,21.57,22.41,18.4,74.2,66.94,86.05,91.73,92.70,92.87,0.84,0,0,3.69,14.4,94.3,1ED
15,0.000000,0.000000,0,-1.0,0.0,0,20211005,130302,32736,11.50,17.13,21.16,21.96,18.4,73.9,67.18,85.98,91.44,92.38,92.54,0.82,0,0,3.69,14.4,94.1,1ED
16,0.000000,0.000000,0,-1.0,0.0,0,20211005,130303,33813,11.58,17.65,22.02,22.89,18.5,73.7,66.73,86.18,92.08,93.09,93.27,0.83,0,0,3.69,14.5,93.8,1ED
17,0.000000,0.000000,0,-1.0,0.0,0,20211005,130303,34883,11.55,17.60,21.97,22.84,18.5,74.1,66.54,85.94,91.83,92.84,93.02,0.84,0,0,3.69,14.5,94.3,1ED
18,0.000000,0.000000,0,-1.0,0.0,0,20211005,130305,35953,11.49,17.31,21.49,22.32,18.5,74.9,66.63,85.67,91.33,92.30,92.47,0.83,0,0,3.69,14.5,95.3,1ED
19,0.000000,0.000000,0,-1.0,0.0,0,20211005,130306,37030,11.49,17.19,21.27,22.08,18.5,75.4,66.95,85.83,91.36,92.30,92.47,0.82,0,0,3.69,14.5,96.0,1ED
20,0.000000,0.000000,0,-1.0,0.0,0,20211005,130308,38100,11.56,17.37,21.53,22.36,18.6,75.6,67.21,86.30,91.94,92.90,93.07,0.83,0,0,3.69,14.6,96.2,1ED
21,0.000000,0.000000,0,-1.0,0.0,0,20211005,130309,39170,11.68,17.96,22.49,23.40,18.6,75.7,66.93,86.74,92.86,93.91,94.10,0.84,0,0,3.69,14.6,96.2,1ED
22,0.000000,0.000000,0,-1.0,0.0,0,20211005,130310,40241,11.75,18.07,22.64,23.55,18.6,75.9,67.27,87.21,93.38,94.43,94.62,0.84,0,0,3.69,14.6,96.5,1ED
23,0.000000,0.000000,0,-1.0,0.0,0,20211005,130311,41308,11.80,18.13,22.71,23.62,18.6,76.0,67.62,87.63,93.81,94.86,95.05,0.84,0,0,3.69,14.6,96.6,1ED
24,0.000000,0.000000,0,-1.0,0.0,0,20211005,130312,42379,11.94,18.65,23.51,24.49,18.7,75.9,67.74,88.37,94.93,96.05,96.25,0.85,0,0,3.69,14.7,96.5,1ED
25,0.000000,0.000000,0,-1.0,0.0,0,20211005,130313,43450,11.98,18.75,23.66,24.65,18.7,75.7,67.87,88.62,95.24,96.37,96.58,0.85,0,0,3.69,14.7,96.2,1ED
26,0.000000,0.000000,0,-1.0,0.0,0,20211005,130314,44517,11.97,18.76,23.70,24.69,18.7,75.4,67.73,88.50,95.15,96.29,96.49,0.85,0,0,3.69,14.7,95.8,1ED
27,0.000000,0.000000,0,-1.0,0.0,0,20211005,130315,45588,11.94,18.81,23.82,24.82,18.7,74.9,67.33,88.17,94.91,96.06,96.27,0.85,0,0,3.69,14.7,95.3,1ED
28,0.000000,0.000000,0,-1.0,0.0,0,20211005,130316,46659,11.94,18.79,23.79,24.79,18.7,74.5,67.32,88.14,94.86,96.02,96.22,0.85,0,0,3.69,14.7,94.7,1ED
29,0.000000,0.000000,0,-1.0,0.0,0,20211005,130317,47729,11.98,18.85,23.86,24.86,18.7,74.0,67.58,88.47,95.20,96.36,96.56,0.85,0,0,3.69,14.7,94.1,1ED
30,0.000000,0.000000,0,-1.0,0.0,0,20211005,130319,48806,12.05,18.96,24.00,25.00,18.7,73.5,67.97,88.97,95.75,96.91,97.11,0.86,0,0,3.69,14.7,93.5,1ED
31,0.000000,0.000000,0,-1.0,0.0,0,20211005,130320,49876,12.11,19.07,24.14,25.15,18.7,73.1,68.29,89.41,96.24,97.41,97.61,0.86,0,0,3.69,14.7,92.9,1ED
32,0.000000,0.000000,0,-1.0,0.0,0,20211005,130321,50946,12.22,19.27,24.41,25.44,18.7,72.7,68.80,90.16,97.08,98.27,98.48,0.87,0,0,3.69,14.7,92.4,1ED
33,0.000000,0.000000,0,-1.0,0.0,0,20211005,130322,52023,12.33,19.49,24.71,25.76,18.8,72.3,69.39,90.99,98.01,99.22,99.43,0.87,0,0,3.69,14.8,91.9,1ED
34,0.000000,0.000000,0,-1.0,0.0,0,20211005,130323,53093,12.42,19.66,24.93,25.99,18.8,72.0,69.83,91.63,98.72,99.94,100.15,0.87,0,0,3.69,14.8,91.5,1ED
35,0.000000,0.000000,0,-1.0,0.0,0,20211005,130324,54164,12.52,19.83,25.17,26.23,18.8,71.7,70.36,92.35,99.52,100.75,100.97,0.88,0,0,3.69,14.8,91.1,1ED
36,0.000000,0.000000,0,-1.0,0.0,0,20211005,130325,55237,12.64,20.03,25.42,26.50,18.8,71.4,70.98,93.19,100.44,101.68,101.90,0.87,0,0,3.69,14.8,90.8,1ED
37,0.000000,0.000000,0,-1.0,0.0,0,20211005,130326,56307,12.77,20.27,25.75,26.85,18.8,71.1,71.63,94.12,101.48,102.75,102.97,0.88,0,0,3.69,14.8,90.4,1ED
38,0.000000,0.000000,0,-1.0,0.0,0,20211005,130327,57381,12.88,20.49,26.06,27.17,18.9,70.9,72.11,94.85,102.33,103.61,103.84,0.88,0,0,3.69,14.9,90.1,1ED
39,0.000000,0.000000,0,-1.0,0.0,0,20211005,130328,58455,12.97,20.67,26.30,27.43,18.9,70.7,72.53,95.47,103.04,104.34,104.57,0.88,0,0,3.69,14.9,89.8,1ED
40,0.000000,0.000000,0,-1.0,0.0,0,20211005,130329,59525,13.00,20.76,26.44,27.58,18.9,70.5,72.59,95.64,103.27,104.58,104.81,0.88,0,0,3.69,14.9,89.6,1ED
41,0.000000,0.000000,0,-1.0,0.0,0,20211005,130330,60599,13.13,21.06,26.87,28.03,18.9,70.3,73.15,96.55,104.35,105.69,105.93,0.89,0,0,3.69,14.9,89.3,1ED
42,0.000000,0.000000,0,-1.0,0.0,0,20211005,130332,61673,13.25,21.30,27.21,28.39,18.9,70.1,73.65,97.33,105.25,106.61,106.85,0.89,0,0,3.69,14.9,89.1,1ED
43,0.000000,0.000000,0,-1.0,0.0,0,20211005,130333,62746,13.37,21.55,27.55,28.75,18.9,70.0,74.19,98.16,106.21,107.59,107.84,0.89,0,0,3.69,14.9,88.9,1ED
44,0.000000,0.000000,0,-1.0,0.0,0,20211005,130334,63815,13.48,21.80,27.92,29.14,18.9,69.8,74.62,98.88,107.08,108.48,108.73,0.90,0,0,3.69,14.9,88.7,1ED
45,0.000000,0.000000,0,-1.0,0.0,0,20211005,130335,64888,13.56,22.03,28.25,29.49,19.0,69.7,74.88,99.40,107.74,109.17,109.43,0.91,0,0,3.69,15.0,88.5,1ED
46,0.000000,0.000000,0,-1.0,0.0,0,20211005,130336,65962,13.67,22.31,28.66,29.93,19.0,69.6,75.26,100.11,108.63,110.09,110.35,0.92,0,0,3.69,15.0,88.4,1ED
47,0.000000,0.000000,0,-1.0,0.0,0,20211005,130337,67033,13.83,22.65,29.15,30.45,19.0,69.5,75.88,101.13,109.84,111.33,111.59,0.93,0,0,3.69,15.0,88.3,1ED
48,0.000000,0.000000,0,-1.0,0.0,0,20211005,130338,68108,13.96,22.96,29.60,30.93,19.0,69.4,76.35,101.97,110.86,112.38,112.65,0.93,0,0,3.69,15.0,88.1,1ED
49,0.000000,0.000000,0,-1.0,0.0,0,20211005,130339,69183,14.00,23.13,29.86,31.21,19.1,69.3,76.38,102.19,111.21,112.76,113.03,0.94,0,0,3.69,15.1,88.0,1ED
50,0.000000,0.000000,0,-1.0,0.0,0,20211005,130340,70254,14.01,23.24,30.06,31.42,19.0,69.1,76.22,102.18,111.30,112.86,113.14,0.95,0,0,3.69,15.0,87.9,1ED
51,0.000000,0.000000,0,-1.0,0.0,0,20211005,130341,71329,13.99,23.29,30.17,31.54,19.1,69.1,75.84,101.87,111.06,112.65,112.92,0.95,0,0,3.69,15.1,87.7,1ED
52,0.000000,0.000000,0,-1.0,0.0,0,20211005,130342,72404,13.98,23.36,30.30,31.69,19.1,69.0,75.60,101.72,111.01,112.60,112.88,0.95,0,0,3.69,15.1,87.7,1ED
53,0.000000,0.000000,0,-1.0,0.0,0,20211005,130343,73479,13.95,23.39,30.38,31.78,19.1,68.9,75.25,101.41,110.76,112.36,112.64,0.95,0,0,3.69,15.1,87.6,1ED
54,0.000000,0.000000,0,-1.0,0.0,0,20211005,130345,74550,13.83,23.32,30.35,31.76,19.1,68.9,74.26,100.37,109.77,111.39,111.67,0.96,0,0,3.69,15.1,87.5,1ED
55,0.000000,0.000000,0,-1.0,0.0,0,20211005,130346,75625,13.76,23.27,30.33,31.75,19.1,68.9,73.74,99.81,109.24,110.86,111.14,0.96,0,0,3.69,15.1,87.5,1ED
56,0.000000,0.000000,0,-1.0,0.0,0,20211005,130347,76699,13.73,23.29,30.38,31.80,19.1,68.8,73.44,99.54,109.01,110.64,110.92,0.96,0,0,3.69,15.1,87.4,1ED
57,0.000000,0.000000,0,-1.0,0.0,0,20211005,130348,77769,13.67,23.27,30.39,31.82,19.2,68.8,72.95,99.04,108.56,110.19,110.48,0.96,0,0,3.69,15.2,87.3,1ED
58,0.000000,0.000000,0,-1.0,0.0,0,20211005,130349,78843,13.62,23.24,30.40,31.83,19.1,68.7,72.51,98.58,108.12,109.76,110.05,0.97,0,0,3.69,15.1,87.3,1ED
59,0.000000,0.000000,0,-1.0,0.0,0,20211005,130350,79917,13.60,23.27,30.46,31.90,19.2,68.6,72.24,98.34,107.94,109.59,109.88,0.97,0,0,3.69,15.2,87.2,1ED
60,0.000000,0.000000,0,-1.0,0.0,0,20211005,130351,80987,13.61,23.32,30.55,31.99,19.2,68.6,72.23,98.40,108.04,109.70,109.99,0.96,0,0,3.69,15.2,87.1,1ED
61,0.000000,0.000000,0,-1.0,0.0,0,20211005,130352,82061,13.62,23.36,30.60,32.05,19.2,68.5,72.27,98.49,108.15,109.81,110.10,0.96,0,0,3.69,15.2,87.0,1ED
62,0.000000,0.000000,0,-1.0,0.0,0,20211005,130353,83135,13.68,23.48,30.77,32.23,19.3,68.4,72.51,98.86,108.59,110.26,110.56,0.96,0,0,3.69,15.3,86.9,1ED
63,0.000000,0.000000,0,-1.0,0.0,0,20211005,130354,84209,13.63,23.42,30.70,32.16,19.3,68.4,72.19,98.48,108.20,109.87,110.17,0.96,0,0,3.69,15.3,86.8,1ED
64,0.000000,0.000000,0,-1.0,0.0,0,20211005,130355,85279,13.60,23.38,30.67,32.12,19.3,68.3,71.96,98.22,107.93,109.60,109.90,0.96,0,0,3.69,15.3,86.7,1ED
65,0.000000,0.000000,0,-1.0,0.0,0,20211005,130356,86353,13.59,23.40,30.70,32.16,19.3,68.2,71.87,98.15,107.89,109.57,109.86,0.96,0,0,3.69,15.3,86.6,1ED
66,0.000000,0.000000,0,-1.0,0.0,0,20211005,130358,87427,13.64,23.49,30.83,32.30,19.3,68.1,72.07,98.45,108.24,109.93,110.22,0.96,0,0,3.69,15.3,86.5,1ED
67,0.000000,0.000000,0,-1.0,0.0,0,20211005,130359,88497,13.73,23.66,31.06,32.54,19.3,68.0,72.58,99.16,109.02,110.72,111.02,0.95,0,0,3.69,15.3,86.4,1ED
68,0.000000,0.000000,0,-1.0,0.0,0,20211005,130400,89571,13.77,23.71,31.12,32.61,19.4,67.9,72.75,99.39,109.27,110.97,111.26,0.96,0,0,3.69,15.4,86.3,1ED
69,0.000000,0.000000,0,-1.0,0.0,0,20211005,130401,90645,13.76,23.70,31.10,32.58,19.4,67.9,72.77,99.39,109.26,110.96,111.25,0.95,0,0,3.69,15.4,86.2,1ED
70,0.000000,0.000000,0,-1.0,0.0,0,20211005,130402,91719,13.74,23.64,31.02,32.50,19.4,67.8,72.67,99.23,109.06,110.76,111.05,0.95,0,0,3.69,15.4,86.1,1ED
71,0.000000,0.000000,0,-1.0,0.0,0,20211005,130403,92789,13.67,23.51,30.84,32.30,19.4,68.0,72.32,98.72,108.49,110.17,110.46,0.95,0,0,3.69,15.4,86.3,1ED
72,0.000000,0.000000,0,-1.0,0.0,0,20211005,130404,93863,13.56,23.31,30.57,32.02,19.4,68.2,71.76,97.93,107.61,109.28,109.57,0.96,0,0,3.69,15.4,86.5,1ED
73,0.000000,0.000000,0,-1.0,0.0,0,20211005,130405,94937,13.43,23.09,30.27,31.71,19.5,68.2,71.11,97.03,106.62,108.27,108.56,0.96,0,0,3.69,15.5,86.6,1ED
74,0.000000,0.000000,0,-1.0,0.0,0,20211005,130406,96007,13.29,22.84,29.94,31.36,19.5,68.2,70.41,96.06,105.53,107.16,107.45,0.96,0,0,3.69,15.5,86.6,1ED
75,0.000000,0.000000,0,-1.0,0.0,0,20211005,130407,97081,13.17,22.61,29.65,31.06,19.5,68.2,69.73,95.13,104.51,106.12,106.40,0.97,0,0,3.69,15.5,86.6,1ED
