STM32_v0.10,,,SPS30_SN:3234639E241C990E
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211006,053028,16661,12.93,16.20,18.24,18.65,21.6,50.4,82.70,100.07,103.06,103.57,103.67,0.69,0,0,4.61,17.6,63.8,90E
1,0.000000,0.000000,0,-1.0,0.0,0,20211006,053029,17730,6.26,6.62,6.62,6.62,21.6,50.5,42.99,49.80,49.93,49.95,49.95,0.38,0,0,4.61,17.6,63.9,90E
2,0.000000,0.000000,0,-1.0,0.0,0,20211006,053030,18805,6.45,7.79,8.57,8.73,21.6,50.5,41.95,50.23,51.41,51.61,51.65,0.59,0,0,4.61,17.6,63.9,90E
3,0.000000,0.000000,0,-1.0,0.0,0,20211006,053031,19881,6.44,7.44,7.95,8.05,21.6,50.6,42.68,50.52,51.33,51.47,51.50,0.56,0,0,4.61,17.6,63.9,90E
4,0.000000,0.000000,0,-1.0,0.0,0,20211006,053032,20957,6.41,6.78,6.78,6.78,21.6,50.6,44.04,51.03,51.16,51.17,51.18,0.53,0,0,4.61,17.6,64.0,90E
5,0.000000,0.000000,0,-1.0,0.0,0,20211006,053034,22032,6.57,7.30,7.59,7.65,21.6,50.7,44.27,51.88,52.40,52.49,52.51,0.57,0,0,4.61,17.6,64.1,90E
6,0.000000,0.000000,0,-1.0,0.0,0,20211006,053035,23103,6.67,7.34,7.57,7.62,21.5,50.7,45.10,52.74,53.19,53.26,53.28,0.54,0,0,4.61,17.5,64.1,90E
7,0.000000,0.000000,0,-1.0,0.0,0,20211006,053036,24177,6.74,7.12,7.12,7.12,21.6,50.9,46.28,53.62,53.75,53.77,53.78,0.53,0,0,4.61,17.6,64.4,90E
8,0.000000,0.000000,0,-1.0,0.0,0,20211006,053037,25251,6.94,7.74,8.07,8.13,21.5,51.0,46.67,54.75,55.33,55.42,55.44,0.55,0,0,4.61,17.5,64.5,90E
9,0.000000,0.000000,0,-1.0,0.0,0,20211006,053038,26322,7.07,7.87,8.19,8.25,21.5,51.0,47.64,55.86,56.42,56.52,56.54,0.55,0,0,4.61,17.5,64.5,90E
10,0.000000,0.000000,0,-1.0,0.0,0,20211006,053039,27396,7.27,8.02,8.29,8.35,21.5,51.0,49.13,57.48,57.99,58.07,58.09,0.55,0,0,4.60,17.5,64.5,90E
11,0.000000,0.000000,0,-1.0,0.0,0,20211006,053040,28471,7.41,8.11,8.33,8.38,21.5,51.0,50.28,58.71,59.16,59.23,59.25,0.55,0,0,4.61,17.5,64.5,90E
12,0.000000,0.000000,0,-1.0,0.0,0,20211006,053041,29546,7.58,8.26,8.46,8.50,21.4,51.0,51.45,60.03,60.45,60.52,60.54,0.56,0,0,4.61,17.4,64.6,90E
13,0.000000,0.000000,0,-1.0,0.0,0,20211006,053042,30618,7.85,8.51,8.68,8.71,21.4,51.1,53.45,62.28,62.66,62.72,62.73,0.54,0,0,4.61,17.4,64.6,90E
14,0.000000,0.000000,0,-1.0,0.0,0,20211006,053043,31694,8.06,8.52,8.52,8.52,21.4,51.1,55.36,64.13,64.29,64.31,64.33,0.53,0,0,4.61,17.4,64.7,90E
15,0.000000,0.000000,0,-1.0,0.0,0,20211006,053044,32770,8.31,8.96,9.11,9.14,21.4,51.1,56.66,65.94,66.30,66.36,66.38,0.53,0,0,4.61,17.4,64.7,90E
16,0.000000,0.000000,0,-1.0,0.0,0,20211006,053045,33843,8.46,8.95,8.95,8.95,21.4,51.2,58.16,67.38,67.55,67.57,67.58,0.53,0,0,4.61,17.4,64.7,90E
17,0.000000,0.000000,0,-1.0,0.0,0,20211006,053047,34919,8.68,9.35,9.49,9.52,21.4,51.2,59.24,68.91,69.27,69.33,69.35,0.54,0,0,4.61,17.4,64.8,90E
18,0.000000,0.000000,0,-1.0,0.0,0,20211006,053048,35994,8.80,9.46,9.59,9.62,21.3,51.4,60.05,69.84,70.19,70.25,70.27,0.54,0,0,4.61,17.3,65.0,90E
19,0.000000,0.000000,0,-1.0,0.0,0,20211006,053049,37070,8.91,9.56,9.67,9.69,21.3,51.4,60.91,70.79,71.12,71.16,71.18,0.54,0,0,4.61,17.3,65.0,90E
20,0.000000,0.000000,0,-1.0,0.0,0,20211006,053050,38143,8.99,9.66,9.78,9.80,21.3,51.4,61.42,71.41,71.75,71.80,71.82,0.54,0,0,4.61,17.3,65.1,90E
21,0.000000,0.000000,0,-1.0,0.0,0,20211006,053051,39218,9.07,9.72,9.82,9.84,21.3,51.4,62.03,72.08,72.40,72.44,72.46,0.54,0,0,4.61,17.3,65.1,90E
22,0.000000,0.000000,0,-1.0,0.0,0,20211006,053052,40293,9.16,9.79,9.88,9.90,21.3,51.5,62.68,72.80,73.10,73.14,73.16,0.53,0,0,4.61,17.3,65.1,90E
