STM32_v0.10,,,SPS30_SN:71508A49351A556A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211006,161620,16668,13.27,29.00,41.12,43.55,20.4,67.2,55.70,89.12,104.90,107.58,108.02,1.09,0,0,3.67,16.4,85.1,56A
1,0.000000,0.000000,0,-1.0,0.0,0,20211006,161621,17743,12.12,29.83,43.59,46.35,20.4,67.1,42.98,77.80,95.66,98.70,99.20,1.40,0,0,3.67,16.4,85.1,56A
2,0.000000,0.000000,0,-1.0,0.0,0,20211006,161622,18817,11.10,22.21,30.69,32.38,20.4,67.0,51.51,76.83,87.90,89.79,90.10,1.10,0,0,3.67,16.4,85.0,56A
3,0.000000,0.000000,0,-1.0,0.0,0,20211006,161623,19893,11.27,23.36,32.63,34.48,20.4,66.9,50.33,77.09,89.18,91.24,91.58,1.11,0,0,3.67,16.4,84.8,56A
4,0.000000,0.000000,0,-1.0,0.0,0,20211006,161624,20969,11.53,25.38,36.05,38.18,20.5,66.9,48.00,77.26,91.15,93.52,93.91,1.17,0,0,3.67,16.5,84.8,56A
5,0.000000,0.000000,0,-1.0,0.0,0,20211006,161626,22045,11.63,26.34,37.71,39.98,20.5,67.3,46.62,77.10,91.88,94.39,94.81,1.18,0,0,3.67,16.5,85.3,56A
6,0.000000,0.000000,0,-1.0,0.0,0,20211006,161627,23117,11.18,23.01,32.08,33.89,20.5,67.8,50.30,76.64,88.46,90.48,90.81,1.10,0,0,3.67,16.5,86.0,56A
7,0.000000,0.000000,0,-1.0,0.0,0,20211006,161628,24193,11.19,23.49,32.93,34.81,20.5,68.0,49.31,76.25,88.56,90.65,90.99,1.10,0,0,3.67,16.5,86.2,56A
8,0.000000,0.000000,0,-1.0,0.0,0,20211006,161629,25269,11.23,23.70,33.26,35.17,20.5,68.1,49.19,76.38,88.86,90.98,91.33,1.10,0,0,3.67,16.5,86.3,56A
9,0.000000,0.000000,0,-1.0,0.0,0,20211006,161630,26341,11.32,24.12,33.94,35.91,20.5,68.1,49.05,76.76,89.56,91.74,92.10,1.10,0,0,3.67,16.5,86.3,56A
