STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211007,053050,16720,5.45,5.77,5.77,5.77,21.6,47.4,37.52,43.40,43.52,43.54,43.55,0.51,0,0,4.61,17.6,60.0,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211007,053052,17797,7.03,15.00,21.13,22.35,21.6,47.6,30.21,47.54,55.61,57.00,57.24,1.01,0,0,4.61,17.6,60.2,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211007,053053,18874,6.99,10.52,13.06,13.57,21.6,47.8,40.56,52.13,55.56,56.15,56.26,0.78,0,0,4.61,17.6,60.5,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211007,053054,19942,6.92,10.63,13.30,13.84,21.6,47.8,39.71,51.43,55.05,55.66,55.77,0.74,0,0,4.61,17.6,60.4,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211007,053055,21010,6.84,9.24,10.87,11.19,21.6,47.9,42.23,52.20,54.45,54.84,54.91,0.61,0,0,4.61,17.6,60.6,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211007,053055,22087,6.76,8.66,9.88,10.13,21.5,48.2,42.87,52.10,53.84,54.13,54.18,0.59,0,0,4.61,17.5,60.9,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211007,053057,23159,6.69,8.24,9.17,9.36,21.5,48.1,43.28,51.99,53.35,53.58,53.63,0.58,0,0,4.61,17.5,60.9,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211007,053058,24234,6.64,7.79,8.42,8.54,21.4,48.0,43.82,51.97,52.93,53.09,53.12,0.56,0,0,4.61,17.4,60.8,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211007,053059,25310,6.64,7.95,8.70,8.85,21.4,47.8,43.43,51.79,52.91,53.10,53.13,0.60,0,0,4.61,17.4,60.5,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20211007,053100,26382,6.69,8.11,8.94,9.11,21.4,47.7,43.58,52.13,53.36,53.56,53.60,0.61,0,0,4.61,17.4,60.3,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20211007,053101,27458,6.70,8.03,8.79,8.94,21.4,47.5,43.87,52.31,53.44,53.63,53.67,0.61,0,0,4.61,17.4,60.1,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20211007,053102,28525,6.67,7.90,8.59,8.73,21.4,47.4,43.83,52.12,53.16,53.34,53.37,0.60,0,0,4.61,17.4,60.0,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20211007,053103,29602,6.63,7.67,8.21,8.31,21.5,47.3,44.00,52.00,52.85,52.99,53.01,0.56,0,0,4.61,17.5,59.8,2E4
13,0.000000,0.000000,0,-1.0,0.0,0,20211007,053104,30675,6.47,7.37,7.80,7.88,21.5,47.2,43.21,50.87,51.57,51.68,51.71,0.54,0,0,4.61,17.5,59.7,2E4
14,0.000000,0.000000,0,-1.0,0.0,0,20211007,053105,31752,6.38,7.19,7.55,7.62,21.5,47.0,42.85,50.31,50.92,51.02,51.04,0.55,0,0,4.61,17.5,59.5,2E4
15,0.000000,0.000000,0,-1.0,0.0,0,20211007,053106,32828,6.29,7.09,7.44,7.51,21.5,46.9,42.18,49.53,50.13,50.23,50.25,0.55,0,0,4.61,17.5,59.3,2E4
16,0.000000,0.000000,0,-1.0,0.0,0,20211007,053108,33900,6.20,6.96,7.29,7.36,21.6,46.8,41.65,48.86,49.43,49.52,49.54,0.54,0,0,4.61,17.6,59.2,2E4
17,0.000000,0.000000,0,-1.0,0.0,0,20211007,053108,34977,6.13,6.86,7.16,7.22,21.6,46.8,41.29,48.39,48.92,49.00,49.03,0.52,0,0,4.57,17.6,59.1,2E4
18,0.000000,0.000000,0,-1.0,0.0,0,20211007,053110,36054,6.07,6.75,7.02,7.07,21.6,46.7,41.00,47.97,48.46,48.53,48.55,0.52,0,0,4.59,17.6,59.1,2E4
19,0.000000,0.000000,0,-1.0,0.0,0,20211007,053111,37131,6.03,6.37,6.37,6.37,21.6,46.6,41.47,47.97,48.11,48.13,48.13,0.51,0,0,4.57,17.6,59.0,2E4
20,0.000000,0.000000,0,-1.0,0.0,0,20211007,053112,38203,5.99,6.61,6.83,6.88,21.6,46.6,40.58,47.39,47.82,47.88,47.90,0.52,0,0,4.56,17.6,58.9,2E4
21,0.000000,0.000000,0,-1.0,0.0,0,20211007,053113,39279,5.97,6.56,6.76,6.80,21.6,46.5,40.46,47.22,47.61,47.67,47.69,0.52,0,0,4.39,17.6,58.8,2E4
22,0.000000,0.000000,0,-1.0,0.0,0,20211007,053114,40356,5.95,6.29,6.29,6.29,21.6,46.4,40.92,47.34,47.48,47.49,47.50,0.51,0,0,4.38,17.6,58.7,2E4
23,0.000000,0.000000,0,-1.0,0.0,0,20211007,053115,41433,5.93,6.46,6.61,6.64,21.6,46.3,40.35,46.98,47.31,47.36,47.38,0.51,0,0,3.98,17.6,58.6,2E4
24,0.000000,0.000000,0,-1.0,0.0,0,20211007,053116,42506,5.91,6.25,6.25,6.25,21.6,46.3,40.65,47.02,47.16,47.17,47.18,0.51,0,0,3.95,17.6,58.5,2E4
25,0.000000,0.000000,0,-1.0,0.0,0,20211007,053117,43573,5.88,6.22,6.22,6.22,21.6,46.2,40.45,46.79,46.92,46.94,46.95,0.51,0,0,3.91,17.6,58.4,2E4
26,0.000000,0.000000,0,-1.0,0.0,0,20211007,053118,44640,5.78,6.11,6.11,6.11,21.7,46.1,39.73,45.96,46.09,46.11,46.11,0.51,0,0,3.91,17.7,58.3,2E4
27,0.000000,0.000000,0,-1.0,0.0,0,20211007,053119,45713,5.71,6.03,6.03,6.03,21.6,46.1,39.25,45.40,45.54,45.55,45.56,0.51,0,0,3.95,17.6,58.3,2E4
28,0.000000,0.000000,0,-1.0,0.0,0,20211007,053120,46790,5.64,5.96,5.96,5.96,21.7,46.1,38.79,44.87,45.00,45.02,45.03,0.51,0,0,3.91,17.7,58.2,2E4
29,0.000000,0.000000,0,-1.0,0.0,0,20211007,053121,47866,5.58,5.90,5.90,5.90,21.7,46.1,38.35,44.37,44.50,44.51,44.52,0.51,0,0,3.92,17.7,58.2,2E4
