STM32_v0.2,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211008,052718,16790,4.43,7.86,10.44,10.95,20.6,49.1,22.68,31.65,35.15,35.77,35.87,0.61,0,0,3.74,16.6,62.2,1D6
1,0.000000,0.000000,0,-1.0,0.0,0,20211008,052719,17863,5.98,9.42,11.93,12.43,20.6,49.1,33.51,44.06,47.50,48.11,48.22,0.55,0,0,3.73,16.6,62.2,1D6
2,0.000000,0.000000,0,-1.0,0.0,0,20211008,052720,18932,5.47,5.79,5.79,5.79,20.5,48.8,37.60,43.55,43.66,43.67,43.68,0.42,0,0,3.74,16.5,61.9,1D6
3,0.000000,0.000000,0,-1.0,0.0,0,20211008,052721,20002,5.49,5.81,5.81,5.81,20.6,48.5,37.75,43.73,43.84,43.85,43.86,0.40,0,0,3.74,16.6,61.5,1D6
4,0.000000,0.000000,0,-1.0,0.0,0,20211008,052722,21071,5.49,5.81,5.81,5.81,20.6,48.2,37.77,43.74,43.85,43.86,43.87,0.42,0,0,3.73,16.6,61.1,1D6
5,0.000000,0.000000,0,-1.0,0.0,0,20211008,052724,22140,5.49,5.80,5.80,5.80,20.5,47.9,37.72,43.69,43.80,43.81,43.82,0.40,0,0,3.73,16.5,60.6,1D6
6,0.000000,0.000000,0,-1.0,0.0,0,20211008,052725,23216,5.49,5.81,5.81,5.81,20.5,47.6,37.73,43.71,43.82,43.83,43.83,0.41,0,0,3.73,16.5,60.3,1D6
7,0.000000,0.000000,0,-1.0,0.0,0,20211008,052726,24285,5.50,5.82,5.82,5.82,20.4,47.4,37.80,43.78,43.89,43.90,43.91,0.45,0,0,3.73,16.4,60.0,1D6
8,0.000000,0.000000,0,-1.0,0.0,0,20211008,052727,25354,5.48,5.79,5.79,5.79,20.4,47.2,37.63,43.59,43.70,43.71,43.72,0.44,0,0,3.73,16.4,59.8,1D6
9,0.000000,0.000000,0,-1.0,0.0,0,20211008,052728,26430,5.46,5.77,5.77,5.77,20.4,47.0,37.50,43.43,43.54,43.55,43.56,0.42,0,0,3.73,16.4,59.6,1D6
