[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.10.08]
[File start time: 07:24:49]

Time	Number	Size	LDSA	Filter	Diff	
4,5	7782	36,2	15,17	10,53	7,51
14,5	7081	38,7	14,87	10,68	7,01
24,5	7624	37,4	15,41	10,88	7,45
34,5	7717	38,3	16,01	11,44	7,61
44,5	7792	37,4	15,78	11,14	7,62
54,5	7481	38,4	15,56	11,13	7,38
64,5	7595	37,7	15,49	10,97	7,44
74,5	8392	35,8	16,14	11,14	8,06
84,5	8120	36,8	16,15	11,32	7,89
94,5	7837	37,2	15,77	11,11	7,65
104,5	7963	36,9	15,87	11,13	7,74
114,5	3393	51,5	9,8	7,94	3,71
124,5	2483	58,1	8,19	6,92	2,83
134,5	3121	52,7	9,25	7,56	3,44
144,5	3860	48	10,29	8,12	4,12
154,5	5137	43	12,13	9,15	5,29
164,5	5011	43,6	12,02	9,12	5,18
174,5	3899	48,8	10,61	8,43	4,19
184,5	3846	48,5	10,39	8,24	4,12
194,5	3926	48,1	10,49	8,28	4,2
204,5	3779	48,9	10,28	8,17	4,06
214,5	3610	50,4	10,17	8,18	3,92
224,5	3607	50,2	10,11	8,12	3,91
234,5	3530	50,5	9,97	8,02	3,84
244,5	3679	49,4	10,14	8,09	3,97
254,5	3635	50,9	10,35	8,36	3,96
264,5	3722	51	10,62	8,57	4,06
274,5	8255	44,4	20,2	15,44	8,59
284,5	8317	47,6	21,99	17,28	8,86
294,5	8465	47,9	22,52	17,74	9,03
304,5	8215	50,7	23,3	18,76	8,94
314,5	8555	48,4	23,02	18,21	9,16
324,5	8732	48,6	23,61	18,7	9,36
334,5	8800	50,2	24,65	19,76	9,54
344,5	8868	48,8	24,12	19,15	9,53
354,5	8942	49,1	24,46	19,45	9,62
364,5	8955	47,2	23,44	18,35	9,51
374,5	8992	46,6	23,2	18,07	9,5
384,5	9549	45,5	23,98	18,49	10,01
394,5	9258	47,6	24,5	19,26	9,86
404,5	9046	48,2	24,23	19,13	9,67
414,5	8938	47	23,29	18,21	9,48
424,5	9171	45,6	23,14	17,88	9,63
434,5	5681	50,4	16	12,86	6,17
444,5	3238	53,8	9,8	8,06	3,59
454,5	2928	55,9	9,25	7,71	3,29
464,5	2791	58,6	9,3	7,87	3,19
474,5	3029	54,7	9,35	7,75	3,38
484,5	3083	56,1	9,78	8,16	3,47
494,5	3018	58,1	9,95	8,4	3,44
504,5	3028	59	10,16	8,61	3,47
514,5	3260	55,7	10,27	8,56	3,66
524,5	6836	48,7	18,53	14,69	7,34
534,5	6685	51,1	19,13	15,45	7,29
544,5	6594	51,9	19,2	15,6	7,23
554,5	6551	51,5	18,9	15,3	7,16
564,5	6416	51,2	18,41	14,88	7
574,5	6676	49,7	18,53	14,82	7,22
584,5	6628	50,3	18,61	14,94	7,19
594,5	6642	51,3	19,09	15,44	7,26
604,5	6512	51,9	18,94	15,38	7,14
614,5	6639	51,1	19,01	15,36	7,24
624,5	6445	51,6	18,64	15,11	7,05
634,5	6282	52,4	18,46	15,04	6,91
644,5	6501	51,4	18,73	15,16	7,11
654,5	6456	52	18,81	15,28	7,08
664,5	6452	52,3	18,92	15,4	7,09
674,5	6036	53,3	18,08	14,82	6,68
684,5	6174	52,9	18,36	15,02	6,81
694,5	6268	52,8	18,6	15,2	6,91
704,5	6122	52,8	18,16	14,84	6,75
714,5	6231	52,1	18,22	14,82	6,84
724,5	6320	52,3	18,55	15,11	6,95
734,5	6218	53,1	18,56	15,2	6,87
744,5	6419	51,9	18,67	15,16	7,04
754,5	6739	50	18,79	15,05	7,29
764,5	6642	51,3	19,1	15,45	7,26
774,5	6428	52,5	18,96	15,47	7,08
784,5	6311	52,5	18,61	15,18	6,95
794,5	6350	53	18,92	15,48	7,01
804,5	5828	53,6	17,56	14,42	6,46
814,5	4878	54,1	14,86	12,25	5,42
824,5	3825	57,3	12,42	10,43	4,34
834,5	3050	61,5	10,72	9,21	3,55
844,5	4217	55	13,08	10,84	4,71
854,5	3540	59,5	11,99	10,2	4,07
864,5	3020	63,6	11,01	9,55	3,55
874,5	3021	61,7	10,66	9,16	3,52
884,5	3058	61,4	10,73	9,21	3,55
894,5	3051	63,1	11,02	9,53	3,58
904,5	2988	61,6	10,51	9,03	3,47
914,5	5024	52,3	14,75	12,02	5,52
924,5	5685	55,1	17,69	14,68	6,36
934,5	5597	55,8	17,66	14,71	6,29
944,5	5484	56,3	17,45	14,57	6,18
954,5	5430	55,8	17,12	14,26	6,1
964,5	5401	56,7	17,35	14,53	6,1
974,5	5259	57,6	17,18	14,46	5,97
984,5	5241	57,5	17,1	14,38	5,95
994,5	5226	57,4	17	14,29	5,93
1004,5	5326	56,4	17	14,21	6,01
1014,5	5194	57,2	16,84	14,13	5,89
1024,5	5485	55,4	17,16	14,25	6,15
1034,5	5167	57,4	16,82	14,13	5,86
1044,5	5226	56	16,55	13,8	5,88
1054,5	5157	57	16,65	13,96	5,84
1064,5	5056	57,7	16,56	13,94	5,75
1074,5	5060	57,4	16,48	13,85	5,74
1084,5	5096	56,5	16,3	13,64	5,75
1094,5	5048	57,1	16,32	13,69	5,72
1104,5	5140	57,1	16,64	13,96	5,82
1114,5	5015	57,4	16,32	13,72	5,69
1124,5	4866	58,8	16,26	13,77	5,57
1134,5	2041	77,5	9,26	8,43	2,59
1144,5	2227	63,1	8,05	6,97	2,61
1154,5	2561	61,5	9	7,73	2,98
1164,5	1978	71,6	8,23	7,35	2,43
1174,5	1908	69,5	7,67	6,81	2,32
1184,5	2181	61,3	7,63	6,55	2,53
1194,5	2168	61,6	7,63	6,55	2,52
1204,5	2134	63,5	7,77	6,73	2,51
1214,5	1965	64,2	7,25	6,3	2,32
1224,5	1909	66	7,25	6,35	2,28
1234,5	7054	38,4	14,68	10,5	6,96
1244,5	6904	41	15,47	11,42	6,98
1254,5	6574	41,9	15,09	11,25	6,7
1264,5	6942	41,2	15,65	11,57	7,03
1274,5	7612	39,7	16,43	11,94	7,61
1284,5	8605	38,1	17,79	12,68	8,47
1294,5	8081	39,4	17,33	12,55	8,06
1304,5	7616	39,7	16,44	11,94	7,61
1314,5	7030	41,6	15,99	11,87	7,14
1324,5	7021	41,3	15,85	11,73	7,12
1334,5	7249	41,2	16,32	12,06	7,34
1344,5	6727	42	15,5	11,56	6,87
1354,5	3975	53,7	12,01	9,87	4,41
1364,5	3500	57,5	11,42	9,61	3,98
1374,5	2972	62,2	10,57	9,11	3,47
1384,5	3235	57,5	10,54	8,87	3,67
1394,5	3110	59,2	10,47	8,89	3,57
1404,5	3362	56,3	10,7	8,94	3,79
1414,5	3135	59,5	10,61	9,02	3,6
1424,5	3362	56,4	10,74	8,98	3,79
1434,5	3085	59,1	10,38	8,81	3,54
1444,5	3050	59,8	10,39	8,85	3,51
1454,5	2846	64,6	10,57	9,2	3,37
1464,5	3099	58,1	10,23	8,63	3,53
1474,5	3364	54,4	10,31	8,52	3,75
1484,5	4695	49,5	12,95	10,34	5,07
1494,5	4829	50,5	13,63	10,97	5,25
1504,5	4446	53,5	13,38	10,99	4,93
1514,5	4206	55,1	13,07	10,84	4,71
1524,5	4436	53	13,22	10,83	4,9
1534,5	4383	53,3	13,14	10,78	4,85
1544,5	4921	49,7	13,64	10,9	5,32
1554,5	5026	49,3	13,82	11,02	5,42
1564,5	5096	48,8	13,86	11,01	5,48
1574,5	4598	51,7	13,33	10,81	5,04
1584,5	5037	48,2	13,5	10,66	5,39
1594,5	3430	54,7	10,59	8,77	3,83
1604,5	4328	51,2	12,42	10,05	4,73
1614,5	3342	54,9	10,35	8,57	3,74
1624,5	2921	56	9,25	7,72	3,29
1634,5	2265	60,7	7,85	6,71	2,62
1644,5	2032	62,5	7,26	6,27	2,38
1654,5	2126	59,6	7,21	6,14	2,44
1664,5	2800	54,8	8,66	7,18	3,13
1674,5	4122	51,4	11,86	9,6	4,51
1684,5	3572	56,3	11,37	9,5	4,03
1694,5	3298	59,9	11,26	9,59	3,8
1704,5	3651	57,5	11,91	10,02	4,15
1714,5	3484	59,2	11,73	9,96	4
1724,5	3369	59,8	11,47	9,77	3,88
1734,5	3529	58	11,61	9,8	4,02
1744,5	3385	59,7	11,52	9,8	3,89
1754,5	3583	58,9	11,99	10,16	4,1
1764,5	3346	61,4	11,73	10,06	3,89
1774,5	3453	59,8	11,75	10,01	3,97
1784,5	3738	57	12,08	10,13	4,23
1794,5	3859	56,2	12,26	10,23	4,35
1804,5	3786	57,1	12,26	10,29	4,29
1814,5	4539	52,1	13,26	10,79	4,98
1824,5	2414	62,6	8,66	7,47	2,82
1834,5	2164	57,8	7,1	5,99	2,46
1844,5	1923	56,2	6,11	5,11	2,17
1854,5	1614	63,1	5,83	5,05	1,89
1864,5	1584	58,1	5,22	4,41	1,81
1874,5	1439	59,4	4,86	4,14	1,65
1884,5	1533	56,6	4,92	4,12	1,73
1894,5	1444	59,4	4,88	4,15	1,66
1904,5	1389	59,9	4,74	4,04	1,6
1914,5	1383	57,7	4,53	3,82	1,57
1924,5	4599	49,5	12,7	10,15	4,96
1934,5	4781	55,3	14,92	12,38	5,35
1944,5	4779	55,3	14,93	12,4	5,35
1954,5	4967	55,5	15,58	12,96	5,57
1964,5	5233	55,4	16,38	13,61	5,87
1974,5	5030	56,2	15,98	13,34	5,67
1984,5	5404	54,9	16,75	13,88	6,04
1994,5	5010	56,4	16	13,38	5,65
2004,5	4570	57,8	14,99	12,63	5,2
2014,5	3303	63,6	12,05	10,45	3,89
2024,5	2420	63,9	8,88	7,71	2,85
2034,5	2174	66,2	8,29	7,27	2,6
2044,5	1700	67,2	6,6	5,81	2,04
2054,5	1486	68,1	5,85	5,17	1,79
2064,5	1466	65,7	5,54	4,85	1,75
2074,5	1379	66,7	5,3	4,66	1,65
2084,5	1255	72,8	5,32	4,78	1,56
2094,5	1469	64,4	5,43	4,73	1,74
2104,5	1299	68,8	5,17	4,58	1,57
2114,5	1215	72,1	5,09	4,56	1,5
2124,5	1225	69,7	4,94	4,39	1,49
2134,5	1177	70,4	4,81	4,28	1,44
2144,5	1738	59,1	5,85	4,97	1,99
2154,5	3365	58,3	11,15	9,42	3,84
