STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211012,055034,16765,0.86,3.47,5.55,5.96,19.0,37.5,0.00,3.92,6.71,7.20,7.28,1.63,0,0,3.71,15.0,47.7,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20211012,055036,18690,1.43,2.58,3.44,3.62,18.9,37.8,7.23,10.18,11.36,11.57,11.60,0.68,0,0,3.71,14.9,48.1,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20211012,055037,19767,1.42,2.55,3.41,3.58,18.9,38.0,7.16,10.08,11.24,11.45,11.48,0.68,0,0,3.71,14.9,48.3,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20211012,055038,20836,1.39,2.51,3.35,3.51,18.9,38.1,7.03,9.89,11.04,11.24,11.28,0.68,0,0,3.71,14.9,48.4,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20211012,055039,21904,1.41,2.91,4.06,4.29,18.9,38.1,6.19,9.57,11.13,11.41,11.46,0.85,0,0,3.71,14.9,48.4,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20211012,055041,22971,1.37,2.65,3.62,3.81,18.9,38.1,6.52,9.57,10.89,11.12,11.16,0.87,0,0,3.71,14.9,48.5,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20211012,055042,24045,1.37,2.89,4.06,4.29,18.8,38.1,5.91,9.28,10.86,11.14,11.18,0.96,0,0,3.71,14.8,48.5,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20211012,055043,25112,1.33,2.63,3.61,3.81,18.8,38.1,6.20,9.23,10.57,10.81,10.85,0.97,0,0,3.71,14.8,48.4,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20211012,055044,26179,1.30,2.56,3.52,3.71,18.8,38.0,6.05,9.01,10.32,10.55,10.58,0.97,0,0,3.71,14.8,48.3,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20211012,055045,27246,1.29,2.64,3.67,3.87,18.8,38.0,5.71,8.78,10.18,10.43,10.47,1.04,0,0,3.71,14.8,48.3,31A
10,0.000000,0.000000,0,-1.0,0.0,0,20211012,055046,28320,1.26,2.55,3.54,3.74,18.8,38.1,5.66,8.62,9.96,10.20,10.24,1.06,0,0,3.71,14.8,48.5,31A
11,0.000000,0.000000,0,-1.0,0.0,0,20211012,055047,29387,1.22,2.48,3.45,3.64,18.8,38.5,5.51,8.39,9.70,9.93,9.97,1.06,0,0,3.71,14.8,48.9,31A
12,0.000000,0.000000,0,-1.0,0.0,0,20211012,055048,30463,1.19,2.31,3.17,3.34,18.8,38.8,5.56,8.23,9.39,9.60,9.63,1.06,0,0,3.71,14.8,49.3,31A
