,Time,Number,Size,LDSA,Filter,Diff,Timestamp,Station,Date,Sensor,Session Id
0,684.5,2734,"54,5","8,4","6,94","3,05",2021-10-07 07:54:07,Alvik,2021-10-07,DiSC,20211007-1
1,694.5,2773,"54,9","8,59","7,12","3,1",2021-10-07 07:54:17,Alvik,2021-10-07,DiSC,20211007-1
2,704.5,2655,"56,5","8,49","7,1",3,2021-10-07 07:54:27,Alvik,2021-10-07,DiSC,20211007-1
3,714.5,2488,"58,2","8,23","6,95","2,84",2021-10-07 07:54:37,Alvik,2021-10-07,DiSC,20211007-1
4,724.5,2610,"56,7","8,38","7,02","2,95",2021-10-07 07:54:47,Alvik,2021-10-07,DiSC,20211007-1
5,734.5,3078,"51,2","8,83","7,14","3,36",2021-10-07 07:54:57,Alvik,2021-10-07,DiSC,20211007-1
6,744.5,2578,"58,7","8,6","7,28","2,95",2021-10-07 07:55:07,Alvik,2021-10-07,DiSC,20211007-1
7,754.5,2760,58,"9,09","7,67","3,14",2021-10-07 07:55:17,Alvik,2021-10-07,DiSC,20211007-1
8,1454.5,2413,61,"8,41","7,2","2,8",2021-10-07 08:06:57,Fridhemsplan,2021-10-07,DiSC,20211007-1
9,1464.5,2564,"59,5","8,69","7,39","2,95",2021-10-07 08:07:07,Fridhemsplan,2021-10-07,DiSC,20211007-1
10,1474.5,2708,"58,4","8,99","7,6","3,09",2021-10-07 08:07:17,Fridhemsplan,2021-10-07,DiSC,20211007-1
11,1484.5,3100,"54,7","9,56","7,91","3,46",2021-10-07 08:07:27,Fridhemsplan,2021-10-07,DiSC,20211007-1
12,1494.5,2554,"60,9","8,88","7,61","2,96",2021-10-07 08:07:37,Fridhemsplan,2021-10-07,DiSC,20211007-1
13,1504.5,2450,"60,7","8,48","7,25","2,83",2021-10-07 08:07:47,Fridhemsplan,2021-10-07,DiSC,20211007-1
14,1514.5,2332,"61,9","8,25","7,09","2,72",2021-10-07 08:07:57,Fridhemsplan,2021-10-07,DiSC,20211007-1
15,1524.5,2474,"59,7","8,41","7,16","2,85",2021-10-07 08:08:07,Fridhemsplan,2021-10-07,DiSC,20211007-1
16,1534.5,2468,"60,4","8,49","7,25","2,85",2021-10-07 08:08:17,Fridhemsplan,2021-10-07,DiSC,20211007-1
17,1544.5,2402,61,"8,36","7,17","2,78",2021-10-07 08:08:27,Fridhemsplan,2021-10-07,DiSC,20211007-1
18,1554.5,2492,"59,7","8,47","7,21","2,87",2021-10-07 08:08:37,Fridhemsplan,2021-10-07,DiSC,20211007-1
19,1564.5,2438,"60,6","8,43","7,21","2,82",2021-10-07 08:08:47,Fridhemsplan,2021-10-07,DiSC,20211007-1
20,1574.5,2613,"58,3","8,64","7,3","2,98",2021-10-07 08:08:57,Fridhemsplan,2021-10-07,DiSC,20211007-1
21,1584.5,2545,"59,7","8,64","7,36","2,93",2021-10-07 08:09:07,Fridhemsplan,2021-10-07,DiSC,20211007-1
22,1594.5,2519,"59,7","8,56","7,28","2,9",2021-10-07 08:09:17,Fridhemsplan,2021-10-07,DiSC,20211007-1
23,1604.5,2392,"62,1","8,5","7,32","2,79",2021-10-07 08:09:27,Fridhemsplan,2021-10-07,DiSC,20211007-1
24,1614.5,2665,57,"8,6","7,22","3,02",2021-10-07 08:09:37,Fridhemsplan,2021-10-07,DiSC,20211007-1
25,1624.5,2418,"62,8","8,7","7,52","2,83",2021-10-07 08:09:47,Fridhemsplan,2021-10-07,DiSC,20211007-1
26,984.5,6986,"33,1","12,35","8,19","6,5",2021-10-07 07:59:07,Kristineberg,2021-10-07,DiSC,20211007-1
27,994.5,11187,"25,7","14,95","8,52","9,26",2021-10-07 07:59:17,Kristineberg,2021-10-07,DiSC,20211007-1
28,1004.5,8771,"29,2","13,5","8,33","7,73",2021-10-07 07:59:27,Kristineberg,2021-10-07,DiSC,20211007-1
29,1014.5,6893,"32,6","11,96","7,86","6,37",2021-10-07 07:59:37,Kristineberg,2021-10-07,DiSC,20211007-1
30,1024.5,5298,"37,6","10,78","7,63","5,19",2021-10-07 07:59:47,Kristineberg,2021-10-07,DiSC,20211007-1
31,1034.5,4855,"39,1","10,33","7,46","4,83",2021-10-07 07:59:57,Kristineberg,2021-10-07,DiSC,20211007-1
32,1044.5,4373,"41,3","9,87","7,31","4,44",2021-10-07 08:00:07,Kristineberg,2021-10-07,DiSC,20211007-1
33,1054.5,3612,"46,7","9,35","7,3","3,82",2021-10-07 08:00:17,Kristineberg,2021-10-07,DiSC,20211007-1
34,1064.5,4351,42,"10,01","7,47","4,44",2021-10-07 08:00:27,Kristineberg,2021-10-07,DiSC,20211007-1
35,1074.5,4786,"39,8","10,37","7,54","4,79",2021-10-07 08:00:37,Kristineberg,2021-10-07,DiSC,20211007-1
36,1994.5,3284,"58,8","10,97","9,3","3,76",2021-10-07 08:15:57,Odenplan,2021-10-07,DiSC,20211007-1
37,2004.5,3308,"58,5",11,"9,3","3,78",2021-10-07 08:16:07,Odenplan,2021-10-07,DiSC,20211007-1
38,2014.5,3143,"61,9","11,13","9,57","3,66",2021-10-07 08:16:17,Odenplan,2021-10-07,DiSC,20211007-1
39,2024.5,3147,62,"11,15","9,6","3,67",2021-10-07 08:16:27,Odenplan,2021-10-07,DiSC,20211007-1
40,2034.5,3082,"62,4","11,01","9,5","3,6",2021-10-07 08:16:37,Odenplan,2021-10-07,DiSC,20211007-1
41,2044.5,3143,"61,5","11,03","9,47","3,65",2021-10-07 08:16:47,Odenplan,2021-10-07,DiSC,20211007-1
42,1784.5,2736,"63,7","9,99","8,67","3,22",2021-10-07 08:12:27,St Eriksplan,2021-10-07,DiSC,20211007-1
43,1794.5,2723,"64,3","10,05","8,74","3,22",2021-10-07 08:12:37,St Eriksplan,2021-10-07,DiSC,20211007-1
44,1804.5,3072,"58,4","10,2","8,62","3,51",2021-10-07 08:12:47,St Eriksplan,2021-10-07,DiSC,20211007-1
45,1814.5,2815,"61,7","9,93","8,53","3,28",2021-10-07 08:12:57,St Eriksplan,2021-10-07,DiSC,20211007-1
46,1824.5,3211,"55,7","10,11","8,42","3,61",2021-10-07 08:13:07,St Eriksplan,2021-10-07,DiSC,20211007-1
47,1834.5,2825,"60,9","9,81","8,4","3,27",2021-10-07 08:13:17,St Eriksplan,2021-10-07,DiSC,20211007-1
48,1844.5,2627,"63,6","9,58","8,3","3,09",2021-10-07 08:13:27,St Eriksplan,2021-10-07,DiSC,20211007-1
49,1204.5,3939,"47,1","10,29","8,06","4,18",2021-10-07 08:02:47,Thorildsplan,2021-10-07,DiSC,20211007-1
50,1214.5,3699,"48,2","9,92","7,84","3,96",2021-10-07 08:02:57,Thorildsplan,2021-10-07,DiSC,20211007-1
51,1224.5,3564,"49,3","9,8","7,81","3,84",2021-10-07 08:03:07,Thorildsplan,2021-10-07,DiSC,20211007-1
52,1234.5,3553,"48,9","9,67","7,69","3,82",2021-10-07 08:03:17,Thorildsplan,2021-10-07,DiSC,20211007-1
53,1244.5,3610,"48,2","9,68","7,66","3,86",2021-10-07 08:03:27,Thorildsplan,2021-10-07,DiSC,20211007-1
54,1254.5,3798,"47,1","9,92","7,77","4,03",2021-10-07 08:03:37,Thorildsplan,2021-10-07,DiSC,20211007-1
55,1264.5,3752,"47,9","9,99","7,88","4,01",2021-10-07 08:03:47,Thorildsplan,2021-10-07,DiSC,20211007-1
56,1274.5,3945,"46,6","10,19","7,94","4,17",2021-10-07 08:03:57,Thorildsplan,2021-10-07,DiSC,20211007-1
57,1284.5,3969,"46,9","10,32","8,07","4,21",2021-10-07 08:04:07,Thorildsplan,2021-10-07,DiSC,20211007-1
58,1294.5,3928,"47,3","10,3","8,08","4,17",2021-10-07 08:04:17,Thorildsplan,2021-10-07,DiSC,20211007-1
