STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220113,132238,16699,2.43,6.28,9.28,9.88,19.6,40.0,7.60,15.08,19.13,19.85,19.96,1.03,0,0,3.44,15.6,50.8,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20220113,132239,17774,0.56,0.59,0.59,0.59,19.6,39.9,3.85,4.46,4.47,4.47,4.47,0.28,0,0,3.44,15.6,50.7,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20220113,132240,18841,0.55,0.59,0.59,0.59,19.6,39.8,3.81,4.42,4.43,4.43,4.43,0.28,0,0,3.44,15.6,50.5,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20220113,132242,19910,0.56,0.59,0.59,0.59,19.6,39.7,3.82,4.43,4.44,4.44,4.44,0.42,0,0,3.44,15.6,50.4,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20220113,132242,20980,0.55,0.58,0.58,0.58,19.6,39.6,3.79,4.39,4.40,4.40,4.40,0.42,0,0,3.44,15.6,50.3,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20220113,132244,22050,0.54,0.57,0.57,0.57,19.6,39.4,3.72,4.31,4.33,4.33,4.33,0.42,0,0,3.44,15.6,50.0,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20220113,132245,23126,0.53,0.56,0.56,0.56,19.6,39.3,3.64,4.21,4.22,4.22,4.22,0.42,0,0,3.44,15.6,49.8,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20220113,132246,24196,0.51,0.54,0.54,0.54,19.6,39.1,3.53,4.09,4.10,4.10,4.10,0.42,0,0,3.44,15.6,49.6,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20220113,132247,25265,0.50,0.52,0.52,0.52,19.7,38.9,3.40,3.94,3.95,3.95,3.96,0.42,0,0,3.44,15.7,49.4,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20220113,132248,26335,0.48,0.50,0.50,0.50,19.7,38.8,3.27,3.79,3.80,3.80,3.80,0.42,0,0,3.44,15.7,49.2,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20220113,132220,27402,0.62,1.40,2.01,2.13,19.7,38.7,2.41,4.06,4.88,5.02,5.05,0.78,0,0,3.44,15.7,49.1,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20220113,132221,28473,0.63,1.54,2.24,2.38,19.7,38.5,2.24,4.06,5.01,5.17,5.20,0.90,0,0,3.43,15.7,48.8,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,20220113,132222,29544,0.62,1.51,2.19,2.33,19.7,38.4,2.19,3.97,4.90,5.06,5.09,0.90,0,0,3.44,15.7,48.7,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,20220113,132223,30611,0.60,1.46,2.13,2.27,19.7,38.3,2.13,3.86,4.76,4.92,4.95,0.90,0,0,3.43,15.7,48.6,B1F
14,0.000000,0.000000,0,-1.0,0.0,0,20220113,132224,31682,0.55,1.23,1.76,1.86,19.8,38.2,2.17,3.62,4.33,4.45,4.48,0.76,0,0,3.44,15.8,48.4,B1F
15,0.000000,0.000000,0,-1.0,0.0,0,20220113,132225,32753,0.53,1.19,1.70,1.80,19.8,38.0,2.10,3.50,4.19,4.31,4.33,0.76,0,0,3.43,15.8,48.3,B1F
16,0.000000,0.000000,0,-1.0,0.0,0,20220113,132226,33823,0.40,0.42,0.42,0.42,19.8,38.0,2.75,3.18,3.19,3.19,3.19,0.59,0,0,3.43,15.8,48.2,B1F
17,0.000000,0.000000,0,-1.0,0.0,0,20220113,132228,34890,0.51,1.05,1.47,1.55,19.8,37.9,2.23,3.45,4.02,4.12,4.13,0.67,0,0,3.43,15.8,48.1,B1F
18,0.000000,0.000000,0,-1.0,0.0,0,20220113,132229,35960,0.51,1.02,1.41,1.49,19.8,37.8,2.30,3.47,4.01,4.10,4.11,0.61,0,0,3.44,15.8,48.0,B1F
19,0.000000,0.000000,0,-1.0,0.0,0,20220113,132230,37030,0.51,1.02,1.41,1.49,19.8,37.7,2.29,3.47,4.00,4.10,4.11,0.61,0,0,3.44,15.8,47.9,B1F
20,0.000000,0.000000,0,-1.0,0.0,0,20220113,132231,38100,0.50,0.96,1.32,1.39,19.8,37.7,2.35,3.46,3.95,4.03,4.04,0.62,0,0,3.43,15.8,47.8,B1F
21,0.000000,0.000000,0,-1.0,0.0,0,20220113,132232,39167,0.49,0.93,1.26,1.33,19.8,37.6,2.40,3.47,3.92,4.00,4.02,0.62,0,0,3.44,15.8,47.8,B1F
22,0.000000,0.000000,0,-1.0,0.0,0,20220113,132233,40238,0.51,0.99,1.35,1.42,19.8,37.6,2.38,3.52,4.02,4.10,4.12,0.67,0,0,3.43,15.8,47.7,B1F
23,0.000000,0.000000,0,-1.0,0.0,0,20220113,132234,41309,0.51,0.98,1.35,1.42,19.9,37.5,2.38,3.51,4.01,4.09,4.11,0.67,0,0,3.43,15.9,47.6,B1F
24,0.000000,0.000000,0,-1.0,0.0,0,20220113,132235,42376,0.53,1.09,1.53,1.61,19.9,37.5,2.33,3.60,4.19,4.29,4.31,0.75,0,0,3.43,15.9,47.6,B1F
25,0.000000,0.000000,0,-1.0,0.0,0,20220113,132236,43447,0.53,1.10,1.53,1.62,19.8,37.4,2.33,3.60,4.19,4.30,4.31,0.75,0,0,3.43,15.8,47.5,B1F
26,0.000000,0.000000,0,-1.0,0.0,0,20220113,132237,44518,0.53,1.09,1.52,1.60,19.9,37.4,2.31,3.57,4.16,4.26,4.28,0.75,0,0,3.43,15.9,47.5,B1F
27,0.000000,0.000000,0,-1.0,0.0,0,20220113,132238,45589,0.52,1.04,1.44,1.52,19.9,37.4,2.34,3.54,4.09,4.19,4.20,0.71,0,0,3.43,15.9,47.4,B1F
28,0.000000,0.000000,0,-1.0,0.0,0,20220113,132239,46656,0.51,0.96,1.30,1.37,19.9,37.4,2.51,3.61,4.07,4.16,4.17,0.73,0,0,3.43,15.9,47.4,B1F
29,0.000000,0.000000,0,-1.0,0.0,0,20220113,132241,47727,0.52,0.98,1.32,1.39,19.9,37.3,2.54,3.66,4.13,4.21,4.23,0.73,0,0,3.43,15.9,47.3,B1F
30,0.000000,0.000000,0,-1.0,0.0,0,20220113,132242,48798,0.52,0.96,1.29,1.36,19.9,37.3,2.60,3.70,4.15,4.23,4.25,0.70,0,0,3.43,15.9,47.3,B1F
31,0.000000,0.000000,0,-1.0,0.0,0,20220113,132243,49869,0.52,0.96,1.29,1.36,19.9,37.2,2.61,3.71,4.16,4.24,4.25,0.70,0,0,3.43,15.9,47.2,B1F
