STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220113,132239,16749,1.32,4.84,7.63,8.19,19.7,38.2,0.84,6.63,10.30,10.93,11.03,1.63,0,0,3.66,15.7,48.4,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20220113,132242,19727,1.35,5.05,7.99,8.58,19.7,37.9,0.62,6.67,10.53,11.19,11.30,1.63,0,0,3.65,15.7,48.1,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20220113,132243,20804,1.34,5.00,7.91,8.49,19.7,37.9,0.62,6.60,10.43,11.08,11.19,1.63,0,0,3.65,15.7,48.1,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20220113,132244,21872,1.23,4.29,6.72,7.20,19.8,37.8,1.29,6.41,9.60,10.15,10.24,1.63,0,0,3.65,15.8,48.0,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20220113,132246,22939,1.21,4.22,6.60,7.08,19.8,37.8,1.27,6.31,9.45,9.98,10.07,1.63,0,0,3.66,15.8,47.9,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20220113,132247,24016,1.22,4.30,6.73,7.22,19.8,37.7,1.18,6.31,9.51,10.07,10.16,1.63,0,0,3.65,15.8,47.8,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20220113,132248,25090,1.20,4.24,6.65,7.13,19.8,37.6,1.16,6.23,9.40,9.94,10.03,1.63,0,0,3.65,15.8,47.8,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20220113,132249,26167,1.18,4.16,6.52,6.99,19.8,37.6,1.14,6.10,9.21,9.74,9.83,1.63,0,0,3.65,15.8,47.7,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20220113,132250,27243,1.15,4.05,6.34,6.80,19.8,37.5,1.11,5.94,8.96,9.48,9.57,1.63,0,0,3.65,15.8,47.6,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20220113,132251,28319,1.11,3.92,6.14,6.58,19.8,37.5,1.07,5.75,8.67,9.17,9.26,1.63,0,0,3.65,15.8,47.6,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20220113,132252,29391,0.95,2.94,4.49,4.81,19.8,37.5,1.95,5.43,7.48,7.83,7.89,1.30,0,0,3.65,15.8,47.5,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20220113,132253,30468,0.92,2.84,4.35,4.66,19.8,37.4,1.89,5.26,7.25,7.59,7.65,1.30,0,0,3.65,15.8,47.5,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20220113,132254,31545,0.89,2.74,4.20,4.49,19.9,37.4,1.82,5.07,6.99,7.32,7.37,1.30,0,0,3.65,15.9,47.5,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20220113,132255,32618,0.85,2.63,4.03,4.31,19.8,37.4,1.74,4.86,6.70,7.02,7.07,1.30,0,0,3.65,15.8,47.4,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20220113,132256,33695,0.78,2.40,3.67,3.92,19.9,37.4,1.59,4.43,6.11,6.39,6.44,1.30,0,0,3.65,15.9,47.4,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,20220113,132257,34772,0.74,2.27,3.48,3.73,19.9,37.4,1.51,4.20,5.80,6.07,6.12,1.30,0,0,3.65,15.9,47.4,5A1
16,0.000000,0.000000,0,-1.0,0.0,0,20220113,132259,35849,0.70,2.15,3.30,3.53,19.9,37.3,1.43,3.98,5.49,5.75,5.79,1.30,0,0,3.65,15.9,47.4,5A1
17,0.000000,0.000000,0,-1.0,0.0,0,20220113,132300,36922,0.66,2.04,3.12,3.33,19.9,37.3,1.35,3.76,5.19,5.43,5.47,1.30,0,0,3.65,15.9,47.3,5A1
18,0.000000,0.000000,0,-1.0,0.0,0,20220113,132301,37999,0.62,1.92,2.94,3.14,19.9,37.3,1.27,3.55,4.89,5.12,5.16,1.30,0,0,3.65,15.9,47.3,5A1
19,0.000000,0.000000,0,-1.0,0.0,0,20220113,132302,39076,0.58,1.65,2.50,2.67,19.9,37.3,1.47,3.42,4.53,4.73,4.76,1.15,0,0,3.65,15.9,47.3,5A1
20,0.000000,0.000000,0,-1.0,0.0,0,20220113,132303,40152,0.55,1.49,2.22,2.37,19.9,37.2,1.60,3.35,4.32,4.49,4.52,1.15,0,0,3.65,15.9,47.2,5A1
21,0.000000,0.000000,0,-1.0,0.0,0,20220113,132304,41224,0.54,1.46,2.18,2.32,19.9,37.2,1.57,3.29,4.24,4.40,4.43,1.15,0,0,3.65,15.9,47.2,5A1
22,0.000000,0.000000,0,-1.0,0.0,0,20220113,132305,42300,0.52,1.42,2.12,2.26,19.9,37.2,1.53,3.20,4.13,4.29,4.32,1.15,0,0,3.65,15.9,47.2,5A1
23,0.000000,0.000000,0,-1.0,0.0,0,20220113,132306,43376,0.53,1.50,2.26,2.41,19.9,37.2,1.41,3.18,4.19,4.36,4.39,1.20,0,0,3.65,15.9,47.2,5A1
24,0.000000,0.000000,0,-1.0,0.0,0,20220113,132307,44448,0.52,1.42,2.12,2.26,20.0,37.2,1.50,3.17,4.09,4.25,4.28,1.21,0,0,3.65,16.0,47.1,5A1
25,0.000000,0.000000,0,-1.0,0.0,0,20220113,132308,45525,0.51,1.40,2.10,2.23,19.9,37.2,1.48,3.13,4.05,4.21,4.23,1.21,0,0,3.64,15.9,47.2,5A1
26,0.000000,0.000000,0,-1.0,0.0,0,20220113,132309,46602,0.50,1.38,2.06,2.19,20.0,37.2,1.46,3.08,3.98,4.13,4.16,1.21,0,0,3.65,16.0,47.1,5A1
27,0.000000,0.000000,0,-1.0,0.0,0,20220113,132243,47679,0.48,1.30,1.94,2.07,20.0,37.1,1.38,2.91,3.76,3.90,3.93,1.21,0,0,3.65,16.0,47.1,5A1
28,0.000000,0.000000,0,-1.0,0.0,0,20220113,132245,48751,0.46,1.25,1.87,2.00,20.0,37.2,1.33,2.80,3.62,3.76,3.78,1.21,0,0,3.65,16.0,47.1,5A1
29,0.000000,0.000000,0,-1.0,0.0,0,20220113,132246,49827,0.43,1.09,1.61,1.71,20.0,37.1,1.44,2.72,3.40,3.52,3.54,1.09,0,0,3.65,16.0,47.1,5A1
30,0.000000,0.000000,0,-1.0,0.0,0,20220113,132247,50903,0.43,1.08,1.59,1.70,20.0,37.1,1.45,2.72,3.39,3.51,3.53,1.11,0,0,3.64,16.0,47.0,5A1
31,0.000000,0.000000,0,-1.0,0.0,0,20220113,132248,51979,0.43,1.05,1.54,1.64,20.0,37.1,1.50,2.74,3.38,3.49,3.51,1.12,0,0,3.64,16.0,47.0,5A1
32,0.000000,0.000000,0,-1.0,0.0,0,20220113,132249,53051,0.43,1.05,1.54,1.64,20.1,37.0,1.50,2.73,3.38,3.49,3.51,1.12,0,0,3.65,16.1,47.0,5A1
33,0.000000,0.000000,0,-1.0,0.0,0,20220113,132250,54127,0.45,1.08,1.56,1.66,20.1,37.0,1.62,2.88,3.53,3.64,3.66,1.08,0,0,3.65,16.1,47.0,5A1
34,0.000000,0.000000,0,-1.0,0.0,0,20220113,132251,55203,0.48,1.19,1.74,1.85,20.1,37.0,1.66,3.05,3.78,3.90,3.92,1.11,0,0,3.65,16.1,46.9,5A1
35,0.000000,0.000000,0,-1.0,0.0,0,20220113,132252,56276,0.50,1.15,1.66,1.77,20.1,37.0,1.90,3.24,3.92,4.03,4.05,1.05,0,0,3.64,16.1,46.9,5A1
36,0.000000,0.000000,0,-1.0,0.0,0,20220113,132253,57353,0.53,1.28,1.86,1.97,20.1,37.0,1.97,3.46,4.22,4.35,4.38,1.07,0,0,3.64,16.1,46.9,5A1
37,0.000000,0.000000,0,-1.0,0.0,0,20220113,132254,58430,0.56,1.33,1.93,2.05,20.1,37.0,2.04,3.59,4.38,4.52,4.54,1.07,0,0,3.64,16.1,46.9,5A1
38,0.000000,0.000000,0,-1.0,0.0,0,20220113,132255,59507,0.57,1.35,1.97,2.09,20.1,36.9,2.08,3.66,4.47,4.61,4.63,1.07,0,0,3.64,16.1,46.8,5A1
39,0.000000,0.000000,0,-1.0,0.0,0,20220113,132256,60580,0.57,1.35,1.97,2.09,20.2,36.9,2.08,3.66,4.47,4.61,4.63,1.07,0,0,3.64,16.2,46.8,5A1
40,0.000000,0.000000,0,-1.0,0.0,0,20220113,132258,61657,0.56,1.33,1.94,2.06,20.1,36.9,2.05,3.61,4.41,4.54,4.57,1.07,0,0,3.64,16.1,46.8,5A1
41,0.000000,0.000000,0,-1.0,0.0,0,20220113,132259,62734,0.54,1.25,1.80,1.91,20.1,36.9,2.12,3.58,4.30,4.42,4.44,1.02,0,0,3.64,16.1,46.7,5A1
42,0.000000,0.000000,0,-1.0,0.0,0,20220113,132300,63810,0.54,1.23,1.77,1.88,20.2,36.8,2.09,3.53,4.24,4.36,4.38,1.02,0,0,3.65,16.2,46.7,5A1
