STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220113,132732,16746,0.59,3.63,6.07,6.55,19.5,40.7,0.00,1.40,4.55,5.10,5.19,1.63,0,0,3.66,15.5,51.7,286
1,0.000000,0.000000,0,-1.0,0.0,0,20220113,132733,17817,1.48,4.02,6.01,6.41,19.6,40.4,4.31,9.07,11.67,12.12,12.19,0.68,0,0,3.65,15.6,51.3,286
2,0.000000,0.000000,0,-1.0,0.0,0,20220113,132734,18888,1.47,3.98,5.95,6.34,19.5,40.1,4.26,8.98,11.55,12.00,12.07,0.68,0,0,3.66,15.5,50.9,286
3,0.000000,0.000000,0,-1.0,0.0,0,20220113,132735,19962,1.44,3.91,5.84,6.23,19.6,39.9,4.19,8.81,11.34,11.78,11.85,0.68,0,0,3.66,15.6,50.6,286
4,0.000000,0.000000,0,-1.0,0.0,0,20220113,132736,21035,1.60,1.70,1.70,1.70,19.5,39.6,11.03,12.76,12.80,12.81,12.81,0.47,0,0,3.65,15.5,50.3,286
5,0.000000,0.000000,0,-1.0,0.0,0,20220113,132737,22110,1.59,1.68,1.68,1.68,19.6,39.4,10.92,12.63,12.66,12.67,12.67,0.37,0,0,3.65,15.6,50.0,286
6,0.000000,0.000000,0,-1.0,0.0,0,20220113,132739,23181,1.58,1.67,1.67,1.67,19.6,39.2,10.89,12.59,12.63,12.63,12.64,0.51,0,0,3.65,15.6,49.8,286
7,0.000000,0.000000,0,-1.0,0.0,0,20220113,132740,24256,1.56,1.65,1.65,1.65,19.5,39.0,10.75,12.44,12.47,12.48,12.48,0.51,0,0,3.65,15.5,49.5,286
8,0.000000,0.000000,0,-1.0,0.0,0,20220113,132741,25331,1.53,1.62,1.62,1.62,19.6,38.8,10.54,12.19,12.22,12.23,12.23,0.51,0,0,3.65,15.6,49.3,286
9,0.000000,0.000000,0,-1.0,0.0,0,20220113,132742,26402,1.49,1.58,1.58,1.58,19.6,38.7,10.26,11.86,11.90,11.90,11.90,0.51,0,0,3.65,15.6,49.1,286
