STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220113,132707,16681,1.01,3.47,5.42,5.80,19.8,41.2,1.22,5.41,7.94,8.38,8.45,1.63,0,0,3.65,15.8,52.3,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20220113,132711,20726,3.87,12.48,19.27,20.63,19.7,40.6,6.48,21.46,30.31,31.84,32.10,1.63,0,0,3.65,15.7,51.5,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20220113,132711,21796,3.83,12.36,19.08,20.42,19.8,40.3,6.41,21.24,30.01,31.53,31.78,1.63,0,0,3.65,15.8,51.2,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20220113,132713,22869,3.76,12.13,18.73,20.05,19.8,40.1,6.30,20.86,29.46,30.95,31.20,1.63,0,0,3.65,15.8,50.9,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20220113,132714,23942,3.66,11.83,18.26,19.55,19.8,39.9,6.14,20.33,28.72,30.18,30.42,1.63,0,0,3.65,15.8,50.6,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20220113,132716,25014,3.52,11.20,17.25,18.47,19.8,39.6,6.30,19.73,27.62,28.99,29.22,1.63,0,0,3.65,15.8,50.3,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,20220113,132717,26083,3.40,10.83,16.68,17.85,19.8,39.4,6.09,19.07,26.69,28.02,28.24,1.63,0,0,3.65,15.8,50.0,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20220113,132718,27156,2.84,7.08,10.38,11.04,19.8,39.2,9.77,18.09,22.41,23.16,23.29,1.38,0,0,3.65,15.8,49.7,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20220113,132220,28226,2.74,6.84,10.02,10.66,19.8,39.0,9.43,17.46,21.64,22.36,22.48,1.38,0,0,3.65,15.8,49.5,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20220113,132220,29293,2.51,5.63,8.03,8.51,19.8,38.8,10.18,16.71,19.87,20.42,20.51,1.23,0,0,3.64,15.8,49.3,1ED
10,0.000000,0.000000,0,-1.0,0.0,0,20220113,132221,30362,2.44,5.57,7.99,8.48,19.8,38.7,9.62,16.11,19.29,19.84,19.93,1.25,0,0,3.64,15.8,49.1,1ED
11,0.000000,0.000000,0,-1.0,0.0,0,20220113,132223,31431,2.34,5.34,7.66,8.13,19.8,38.5,9.23,15.44,18.49,19.02,19.11,1.25,0,0,3.64,15.8,48.9,1ED
12,0.000000,0.000000,0,-1.0,0.0,0,20220113,132224,32500,2.24,5.10,7.32,7.76,19.8,38.4,8.81,14.75,17.66,18.17,18.25,1.25,0,0,3.65,15.8,48.7,1ED
13,0.000000,0.000000,0,-1.0,0.0,0,20220113,132224,33577,2.13,4.86,6.97,7.39,19.9,38.3,8.39,14.04,16.81,17.29,17.37,1.25,0,0,3.64,15.9,48.6,1ED
14,0.000000,0.000000,0,-1.0,0.0,0,20220113,132225,34647,1.91,4.36,6.26,6.64,19.9,38.2,7.54,12.61,15.10,15.53,15.61,1.25,0,0,3.64,15.9,48.5,1ED
15,0.000000,0.000000,0,-1.0,0.0,0,20220113,132227,35717,1.80,4.12,5.91,6.27,19.9,38.1,7.12,11.91,14.26,14.67,14.74,1.25,0,0,3.65,15.9,48.3,1ED
16,0.000000,0.000000,0,-1.0,0.0,0,20220113,132228,36794,1.70,3.88,5.57,5.91,19.9,38.0,6.70,11.22,13.44,13.82,13.89,1.25,0,0,3.64,15.9,48.2,1ED
17,0.000000,0.000000,0,-1.0,0.0,0,20220113,132229,37864,1.60,3.65,5.24,5.55,19.9,37.9,6.30,10.55,12.63,12.99,13.06,1.25,0,0,3.64,15.9,48.1,1ED
18,0.000000,0.000000,0,-1.0,0.0,0,20220113,132231,38934,1.50,3.43,4.91,5.21,19.9,37.9,5.92,9.90,11.86,12.20,12.25,1.25,0,0,3.64,15.9,48.0,1ED
19,0.000000,0.000000,0,-1.0,0.0,0,20220113,132232,40002,1.41,3.21,4.60,4.88,19.9,37.8,5.54,9.28,11.11,11.43,11.48,1.25,0,0,3.64,15.9,48.0,1ED
20,0.000000,0.000000,0,-1.0,0.0,0,20220113,132233,41077,1.28,2.67,3.73,3.95,20.0,37.7,5.62,8.69,10.10,10.34,10.38,1.13,0,0,3.64,16.0,47.9,1ED
21,0.000000,0.000000,0,-1.0,0.0,0,20220113,132233,42145,1.20,2.51,3.51,3.71,20.0,37.7,5.28,8.16,9.48,9.71,9.75,1.13,0,0,3.64,16.0,47.8,1ED
22,0.000000,0.000000,0,-1.0,0.0,0,20220113,132234,43221,1.14,2.46,3.47,3.67,20.0,37.7,4.88,7.72,9.04,9.27,9.31,1.16,0,0,3.64,16.0,47.8,1ED
23,0.000000,0.000000,0,-1.0,0.0,0,20220113,132236,44297,1.08,2.27,3.18,3.36,20.0,37.6,4.70,7.31,8.52,8.73,8.76,1.17,0,0,3.64,16.0,47.7,1ED
24,0.000000,0.000000,0,-1.0,0.0,0,20220113,132237,45369,1.02,2.15,3.01,3.18,20.0,37.6,4.44,6.92,8.06,8.26,8.29,1.17,0,0,3.64,16.0,47.7,1ED
25,0.000000,0.000000,0,-1.0,0.0,0,20220113,132238,46445,0.96,2.03,2.84,3.01,20.1,37.6,4.20,6.53,7.61,7.79,7.83,1.17,0,0,3.64,16.1,47.6,1ED
26,0.000000,0.000000,0,-1.0,0.0,0,20220113,132239,47521,0.92,1.99,2.82,2.98,20.0,37.5,3.91,6.21,7.30,7.48,7.52,1.19,0,0,3.64,16.0,47.6,1ED
27,0.000000,0.000000,0,-1.0,0.0,0,20220113,132239,48593,0.87,1.89,2.67,2.83,20.1,37.5,3.70,5.88,6.91,7.09,7.12,1.19,0,0,3.64,16.1,47.5,1ED
28,0.000000,0.000000,0,-1.0,0.0,0,20220113,132240,49669,0.80,1.73,2.44,2.59,20.1,37.5,3.39,5.39,6.33,6.49,6.52,1.21,0,0,3.64,16.1,47.5,1ED
29,0.000000,0.000000,0,-1.0,0.0,0,20220113,132243,50745,0.76,1.65,2.34,2.47,20.1,37.4,3.24,5.15,6.05,6.20,6.23,1.21,0,0,3.64,16.1,47.4,1ED
30,0.000000,0.000000,0,-1.0,0.0,0,20220113,132244,51821,0.73,1.57,2.23,2.36,20.1,37.3,3.09,4.91,5.76,5.91,5.94,1.21,0,0,3.64,16.1,47.4,1ED
31,0.000000,0.000000,0,-1.0,0.0,0,20220113,132245,52893,0.71,1.56,2.23,2.36,20.1,37.3,2.91,4.72,5.59,5.74,5.77,1.23,0,0,3.64,16.1,47.3,1ED
32,0.000000,0.000000,0,-1.0,0.0,0,20220113,132246,53969,0.67,1.40,1.97,2.08,20.1,37.3,2.94,4.55,5.30,5.43,5.45,1.16,0,0,3.64,16.1,47.3,1ED
33,0.000000,0.000000,0,-1.0,0.0,0,20220113,132247,55045,0.64,1.35,1.90,2.00,20.1,37.3,2.83,4.39,5.10,5.22,5.25,1.16,0,0,3.64,16.1,47.3,1ED
34,0.000000,0.000000,0,-1.0,0.0,0,20220113,132248,56121,0.63,1.28,1.77,1.87,20.1,37.2,2.89,4.35,5.00,5.12,5.14,1.12,0,0,3.64,16.1,47.2,1ED
35,0.000000,0.000000,0,-1.0,0.0,0,20220113,132249,57193,0.64,1.32,1.84,1.94,20.1,37.2,2.83,4.35,5.03,5.15,5.17,1.14,0,0,3.64,16.1,47.2,1ED
36,0.000000,0.000000,0,-1.0,0.0,0,20220113,132250,58269,0.64,1.30,1.80,1.90,20.1,37.2,2.95,4.44,5.10,5.22,5.24,1.11,0,0,3.64,16.1,47.1,1ED
