STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220113,132848,16685,1.72,6.95,11.09,11.92,19.7,37.9,0.00,7.85,13.41,14.40,14.56,1.63,0,0,3.67,15.7,48.1,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20220113,132852,20729,0.68,0.72,0.72,0.72,19.8,37.7,4.66,5.40,5.41,5.41,5.41,0.28,0,0,3.67,15.8,47.8,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20220113,132852,21796,0.75,1.75,2.53,2.69,19.8,37.6,2.78,4.84,5.90,6.08,6.11,0.68,0,0,3.67,15.8,47.7,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20220113,132854,22865,0.74,1.73,2.51,2.66,19.8,37.5,2.75,4.79,5.84,6.02,6.05,0.68,0,0,3.67,15.8,47.6,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20220113,132855,23934,0.73,1.62,2.31,2.45,19.8,37.5,2.90,4.81,5.74,5.91,5.94,0.78,0,0,3.67,15.8,47.6,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20220113,132856,25004,0.74,1.81,2.65,2.82,19.8,37.4,2.52,4.67,5.80,6.00,6.03,0.91,0,0,3.67,15.8,47.5,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20220113,132857,26081,0.72,1.78,2.61,2.77,19.8,37.4,2.48,4.60,5.71,5.91,5.94,0.91,0,0,3.67,15.8,47.4,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20220113,132858,27151,0.70,1.48,2.08,2.20,19.8,37.3,2.97,4.70,5.51,5.65,5.68,0.71,0,0,3.67,15.8,47.3,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20220113,132859,28221,0.70,1.46,2.05,2.17,19.8,37.3,3.00,4.71,5.51,5.65,5.67,0.81,0,0,3.67,15.8,47.3,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20220113,132900,29292,0.69,1.45,2.03,2.15,19.8,37.3,2.98,4.67,5.46,5.60,5.62,0.81,0,0,3.67,15.8,47.3,31A
