STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220113,133911,16771,0.79,3.67,5.96,6.42,21.6,55.7,0.00,3.11,6.09,6.60,6.69,1.63,0,0,3.70,17.6,70.5,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20220113,133915,20700,2.34,2.47,2.47,2.47,21.6,58.8,16.08,18.60,18.65,18.66,18.66,0.42,0,0,3.70,17.6,74.4,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20220113,133915,21769,2.31,2.45,2.45,2.45,21.6,58.6,15.92,18.41,18.47,18.47,18.48,0.42,0,0,3.69,17.6,74.0,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20220113,133917,22841,2.27,2.40,2.40,2.40,21.6,57.9,15.63,18.08,18.13,18.14,18.14,0.42,0,0,3.69,17.6,73.2,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20220113,133918,23913,2.21,2.34,2.34,2.34,21.7,57.3,15.24,17.63,17.68,17.68,17.69,0.42,0,0,3.70,17.7,72.5,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20220113,133919,24985,2.15,2.28,2.28,2.28,21.7,57.2,14.82,17.15,17.20,17.20,17.20,0.48,0,0,3.70,17.7,72.3,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20220113,133921,26053,2.08,2.20,2.20,2.20,21.7,57.3,14.34,16.59,16.63,16.64,16.64,0.48,0,0,3.69,17.7,72.5,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20220113,133922,27124,2.01,2.12,2.12,2.12,21.7,57.7,13.80,15.97,16.01,16.02,16.02,0.48,0,0,3.69,17.7,73.0,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20220113,133923,28195,1.93,3.27,4.27,4.47,21.7,58.4,10.36,14.02,15.35,15.58,15.62,0.52,0,0,3.69,17.7,73.8,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20220113,133924,29262,1.85,3.14,4.09,4.28,21.7,58.2,9.93,13.44,14.71,14.93,14.97,0.52,0,0,3.70,17.7,73.5,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20220113,133925,30331,1.77,3.00,3.91,4.09,21.8,58.2,9.48,12.83,14.05,14.26,14.29,0.52,0,0,3.69,17.8,73.6,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20220113,133926,31402,1.70,1.79,1.79,1.79,21.8,58.8,11.67,13.51,13.54,13.55,13.55,0.50,0,0,3.69,17.8,74.3,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20220113,133927,32473,1.62,1.72,1.72,1.72,21.8,59.0,11.17,12.92,12.96,12.96,12.96,0.50,0,0,3.69,17.8,74.6,2E4
13,0.000000,0.000000,0,-1.0,0.0,0,20220113,133928,33540,1.55,1.64,1.64,1.64,21.9,59.0,10.65,12.32,12.35,12.36,12.36,0.50,0,0,3.70,17.9,74.6,2E4
14,0.000000,0.000000,0,-1.0,0.0,0,20220113,133928,34611,1.49,2.68,3.57,3.75,21.9,58.9,7.60,10.63,11.81,12.02,12.05,0.62,0,0,3.69,17.9,74.5,2E4
15,0.000000,0.000000,0,-1.0,0.0,0,20220113,133420,35682,1.37,2.60,3.52,3.71,21.9,59.0,6.70,9.65,10.88,11.09,11.13,0.67,0,0,3.70,17.9,74.6,2E4
16,0.000000,0.000000,0,-1.0,0.0,0,20220113,133421,36752,1.31,2.48,3.36,3.54,21.9,59.1,6.39,9.21,10.38,10.58,10.62,0.67,0,0,3.69,17.9,74.7,2E4
17,0.000000,0.000000,0,-1.0,0.0,0,20220113,133422,37829,1.25,2.36,3.20,3.37,22.0,59.1,6.08,8.76,9.88,10.07,10.10,0.67,0,0,3.69,18.0,74.7,2E4
18,0.000000,0.000000,0,-1.0,0.0,0,20220113,133423,38898,1.19,2.38,3.29,3.47,22.0,58.9,5.50,8.23,9.42,9.63,9.67,0.72,0,0,3.69,18.0,74.4,2E4
19,0.000000,0.000000,0,-1.0,0.0,0,20220113,133424,39965,1.14,2.34,3.26,3.44,22.0,58.6,5.12,7.81,9.03,9.24,9.27,0.75,0,0,3.69,18.0,74.1,2E4
20,0.000000,0.000000,0,-1.0,0.0,0,20220113,133426,41039,1.09,2.23,3.11,3.29,22.0,58.4,4.89,7.46,8.62,8.82,8.85,0.75,0,0,3.69,18.0,73.8,2E4
21,0.000000,0.000000,0,-1.0,0.0,0,20220113,133427,42106,1.04,2.13,2.96,3.13,22.0,58.4,4.65,7.10,8.20,8.39,8.42,0.75,0,0,3.69,18.0,73.8,2E4
22,0.000000,0.000000,0,-1.0,0.0,0,20220113,133427,43173,0.98,2.02,2.81,2.97,22.0,58.4,4.42,6.74,7.78,7.96,7.99,0.75,0,0,3.69,18.0,73.8,2E4
