STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210923,132132,16737,9.25,19.36,27.12,28.67,21.8,66.9,40.63,62.94,73.17,74.94,75.24,0.99,0,0,3.74,17.8,84.6,488
1,0.000000,0.000000,0,-1.0,0.0,0,20210923,132133,17812,5.86,14.87,21.89,23.29,21.8,66.9,19.53,37.01,46.20,47.80,48.07,1.28,0,0,3.75,17.8,84.6,488
2,0.000000,0.000000,0,-1.0,0.0,0,20210923,132135,18883,6.09,16.38,24.44,26.05,21.8,67.0,18.02,37.39,47.92,49.75,50.06,1.44,0,0,3.75,17.8,84.7,488
3,0.000000,0.000000,0,-1.0,0.0,0,20210923,132136,19957,5.91,14.74,21.61,22.98,21.8,67.0,20.31,37.62,46.62,48.18,48.44,1.31,0,0,3.75,17.8,84.6,488
4,0.000000,0.000000,0,-1.0,0.0,0,20210923,132136,21031,5.84,14.01,20.34,21.61,21.8,67.0,21.41,37.79,46.10,47.54,47.79,1.29,0,0,3.75,17.8,84.6,488
5,0.000000,0.000000,0,-1.0,0.0,0,20210923,132138,22105,6.03,15.01,22.00,23.39,21.8,66.9,20.79,38.41,47.56,49.15,49.42,1.32,0,0,3.75,17.8,84.6,488
6,0.000000,0.000000,0,-1.0,0.0,0,20210923,132139,23174,5.97,14.16,20.51,21.78,21.8,66.9,22.22,38.76,47.10,48.54,48.79,1.25,0,0,3.75,17.8,84.6,488
7,0.000000,0.000000,0,-1.0,0.0,0,20210923,132140,24247,5.91,13.23,18.88,20.01,21.8,66.9,23.95,39.31,46.74,48.03,48.25,1.18,0,0,3.75,17.8,84.6,488
8,0.000000,0.000000,0,-1.0,0.0,0,20210923,132141,25321,5.81,11.98,16.70,17.64,21.8,66.9,26.02,39.80,46.02,47.10,47.29,1.08,0,0,3.75,17.8,84.6,488
9,0.000000,0.000000,0,-1.0,0.0,0,20210923,132142,26390,5.82,11.77,16.31,17.22,21.8,66.9,26.57,40.07,46.07,47.11,47.29,1.06,0,0,3.75,17.8,84.5,488
10,0.000000,0.000000,0,-1.0,0.0,0,20210923,132143,27464,5.84,11.78,16.31,17.22,21.8,66.8,26.77,40.28,46.26,47.30,47.48,1.05,0,0,3.75,17.8,84.5,488
11,0.000000,0.000000,0,-1.0,0.0,0,20210923,132144,28539,5.90,11.99,16.65,17.59,21.8,66.8,26.76,40.53,46.68,47.74,47.93,1.06,0,0,3.74,17.8,84.4,488
12,0.000000,0.000000,0,-1.0,0.0,0,20210923,132145,29614,5.97,11.98,16.57,17.49,21.8,66.7,27.47,41.21,47.27,48.32,48.50,1.05,0,0,3.75,17.8,84.3,488
13,0.000000,0.000000,0,-1.0,0.0,0,20210923,132146,30685,5.97,11.52,15.73,16.57,21.9,66.7,28.63,41.78,47.35,48.31,48.48,1.01,0,0,3.75,17.9,84.4,488
14,0.000000,0.000000,0,-1.0,0.0,0,20210923,132147,31760,6.07,11.63,15.84,16.68,21.9,66.7,29.28,42.53,48.11,49.07,49.24,1.00,0,0,3.74,17.9,84.3,488
15,0.000000,0.000000,0,-1.0,0.0,0,20210923,132148,32835,6.23,12.07,16.50,17.39,21.8,66.7,29.69,43.47,49.34,50.35,50.52,1.02,0,0,3.75,17.8,84.3,488
16,0.000000,0.000000,0,-1.0,0.0,0,20210923,132149,33906,6.39,12.42,17.01,17.92,21.9,66.6,30.38,44.57,50.63,51.68,51.86,1.02,0,0,3.75,17.9,84.2,488
17,0.000000,0.000000,0,-1.0,0.0,0,20210923,132151,34981,6.58,12.79,17.51,18.46,21.9,66.6,31.24,45.85,52.10,53.18,53.36,1.01,0,0,3.74,17.9,84.2,488
18,0.000000,0.000000,0,-1.0,0.0,0,20210923,132152,36056,6.71,12.86,17.52,18.45,21.9,66.6,32.38,47.04,53.21,54.27,54.46,1.01,0,0,3.75,17.9,84.2,488
19,0.000000,0.000000,0,-1.0,0.0,0,20210923,132153,37131,6.85,13.02,17.70,18.64,21.9,66.6,33.23,48.06,54.25,55.32,55.51,1.00,0,0,3.75,17.9,84.1,488
20,0.000000,0.000000,0,-1.0,0.0,0,20210923,132154,38202,6.96,13.25,18.02,18.97,21.9,66.5,33.79,48.88,55.19,56.28,56.47,1.01,0,0,3.75,17.9,84.1,488
21,0.000000,0.000000,0,-1.0,0.0,0,20210923,132155,39277,7.04,13.44,18.29,19.26,21.9,66.5,34.07,49.38,55.80,56.91,57.10,1.01,0,0,3.75,17.9,84.0,488
22,0.000000,0.000000,0,-1.0,0.0,0,20210923,132156,40352,7.11,13.64,18.59,19.58,21.9,66.5,34.21,49.76,56.32,57.45,57.65,1.02,0,0,3.75,17.9,84.1,488
23,0.000000,0.000000,0,-1.0,0.0,0,20210923,132157,41423,7.13,13.64,18.58,19.57,21.9,66.5,34.38,49.93,56.47,57.60,57.80,1.01,0,0,3.75,17.9,84.0,488
24,0.000000,0.000000,0,-1.0,0.0,0,20210923,132158,42498,7.13,13.52,18.36,19.33,21.9,66.5,34.69,50.08,56.49,57.60,57.79,1.01,0,0,3.75,17.9,84.1,488
25,0.000000,0.000000,0,-1.0,0.0,0,20210923,132159,43573,7.15,13.27,17.89,18.82,21.9,66.5,35.48,50.54,56.67,57.73,57.91,0.99,0,0,3.75,17.9,84.0,488
26,0.000000,0.000000,0,-1.0,0.0,0,20210923,132200,44648,7.18,13.38,18.05,18.99,21.9,66.4,35.56,50.75,56.95,58.02,58.21,0.99,0,0,3.75,17.9,84.0,488
27,0.000000,0.000000,0,-1.0,0.0,0,20210923,132201,45720,7.22,13.46,18.18,19.12,22.0,66.4,35.74,51.03,57.28,58.36,58.55,0.99,0,0,3.75,18.0,83.9,488
28,0.000000,0.000000,0,-1.0,0.0,0,20210923,132202,46796,7.21,13.28,17.86,18.78,21.9,66.4,36.04,51.10,57.18,58.23,58.41,0.98,0,0,3.75,17.9,83.9,488
29,0.000000,0.000000,0,-1.0,0.0,0,20210923,132204,47871,7.21,13.10,17.54,18.43,21.9,66.3,36.43,51.27,57.16,58.18,58.35,0.97,0,0,3.75,17.9,83.8,488
30,0.000000,0.000000,0,-1.0,0.0,0,20210923,132205,48942,7.20,13.06,17.47,18.35,22.0,66.3,36.49,51.27,57.12,58.13,58.31,0.97,0,0,3.75,18.0,83.8,488
31,0.000000,0.000000,0,-1.0,0.0,0,20210923,132206,50017,7.15,12.94,17.29,18.16,22.0,66.3,36.32,50.96,56.74,57.74,57.91,0.97,0,0,3.75,18.0,83.8,488
32,0.000000,0.000000,0,-1.0,0.0,0,20210923,132207,51092,7.14,12.87,17.17,18.03,22.0,66.3,36.39,50.93,56.65,57.64,57.81,0.97,0,0,3.75,18.0,83.8,488
33,0.000000,0.000000,0,-1.0,0.0,0,20210923,132208,52167,7.14,12.86,17.15,18.01,22.0,66.3,36.39,50.93,56.63,57.62,57.79,0.97,0,0,3.74,18.0,83.8,488
34,0.000000,0.000000,0,-1.0,0.0,0,20210923,132209,53238,7.10,12.69,16.89,17.73,22.0,66.3,36.38,50.72,56.30,57.26,57.43,0.96,0,0,3.75,18.0,83.8,488
35,0.000000,0.000000,0,-1.0,0.0,0,20210923,132210,54313,7.10,12.82,17.12,17.98,22.0,66.3,36.09,50.58,56.30,57.28,57.45,0.97,0,0,3.74,18.0,83.7,488
36,0.000000,0.000000,0,-1.0,0.0,0,20210923,132211,55388,7.09,12.77,17.04,17.89,22.0,66.2,36.14,50.58,56.25,57.23,57.40,0.97,0,0,3.75,18.0,83.6,488
37,0.000000,0.000000,0,-1.0,0.0,0,20210923,132212,56459,7.09,12.76,17.01,17.86,22.0,66.2,36.18,50.60,56.25,57.22,57.39,0.96,0,0,3.75,18.0,83.6,488
