[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.09.29]
[File start time: 07:20:20]

Time	Number	Size	LDSA	Filter	Diff	
4,5	3945	46,5	10,17	7,92	4,17
14,5	3966	47,5	10,46	8,22	4,22
24,5	5201	39,8	11,26	8,19	5,2
34,5	4112	45,5	10,35	8	4,32
44,5	3793	46,9	9,87	7,72	4,02
54,5	4107	45,3	10,28	7,92	4,3
64,5	4259	44	10,31	7,84	4,42
74,5	4175	44,8	10,31	7,91	4,36
84,5	4237	45,4	10,62	8,19	4,44
94,5	4197	44,9	10,4	7,99	4,38
104,5	4319	44,3	10,53	8,04	4,49
114,5	4694	44,7	11,56	8,86	4,89
124,5	4391	48,5	11,84	9,38	4,71
134,5	4149	47,8	11,01	8,67	4,43
144,5	4103	46,5	10,58	8,24	4,34
154,5	4406	44,3	10,77	8,23	4,58
164,5	4470	44,6	10,99	8,41	4,66
174,5	4185	45,9	10,64	8,25	4,41
184,5	4540	43,7	10,92	8,29	4,7
194,5	4241	44,8	10,49	8,05	4,43
204,5	4189	45,1	10,44	8,04	4,38
214,5	4279	44,7	10,54	8,08	4,46
224,5	3945	45,9	10,01	7,76	4,15
234,5	3559	48,7	9,64	7,65	3,82
244,5	3593	48,4	9,68	7,66	3,85
254,5	3521	48,7	9,55	7,58	3,78
264,5	3406	49,7	9,44	7,55	3,68
274,5	3573	48,1	9,55	7,54	3,82
284,5	3568	48,8	9,7	7,71	3,83
294,5	3428	50	9,57	7,68	3,71
304,5	3777	47,8	10,04	7,91	4,03
314,5	3796	47,3	9,97	7,83	4,04
324,5	3813	47,5	10,06	7,9	4,06
334,5	3698	47,8	9,82	7,73	3,95
344,5	3828	46,5	9,87	7,69	4,05
354,5	4033	45,2	10,07	7,76	4,22
364,5	4026	45,5	10,12	7,82	4,22
374,5	4040	45,8	10,22	7,92	4,25
384,5	4260	44,6	10,48	8,02	4,44
394,5	3864	44,5	9,47	7,25	4,02
404,5	1958	62,9	7,06	6,1	2,3
414,5	1683	66,5	6,45	5,66	2,01
424,5	1715	67,1	6,64	5,84	2,06
434,5	1812	66,4	6,93	6,08	2,17
444,5	1825	63,9	6,68	5,8	2,15
454,5	1890	62,5	6,76	5,83	2,21
464,5	1923	63,1	6,95	6,01	2,26
474,5	2047	59,6	6,95	5,91	2,35
484,5	1706	67	6,59	5,8	2,05
494,5	1885	62,8	6,78	5,86	2,21
504,5	1802	65,1	6,74	5,88	2,14
514,5	1772	66,9	6,84	6,01	2,12
524,5	1762	65,5	6,64	5,8	2,1
534,5	1753	65,2	6,57	5,73	2,08
544,5	2137	59,1	7,18	6,1	2,45
554,5	1692	69	6,76	5,99	2,05
564,5	5446	49,8	15,14	12,12	5,89
574,5	6968	52,4	20,51	16,71	7,67
584,5	6314	55,3	19,73	16,38	7,07
594,5	5938	57,1	19,22	16,12	6,72
604,5	6504	53,7	19,65	16,15	7,21
614,5	6248	56,3	19,88	16,6	7,04
624,5	5807	57,1	18,79	15,76	6,58
634,5	5628	56,6	18,04	15,09	6,35
644,5	5946	53,8	18,02	14,83	6,6
654,5	5292	56,5	16,94	14,17	5,97
664,5	4979	55,7	15,68	13,06	5,59
674,5	5155	54,2	15,76	13	5,74
684,5	5179	55,9	16,35	13,62	5,82
694,5	4947	56,1	15,69	13,09	5,57
704,5	5347	54,8	16,51	13,67	5,97
714,5	6255	54,1	19,08	15,72	6,96
724,5	5292	59,5	17,92	15,22	6,08
734,5	5856	54,1	17,83	14,69	6,51
744,5	5248	58	17,29	14,58	5,98
754,5	2472	64,9	9,21	8,03	2,93
764,5	2498	60,5	8,61	7,36	2,89
774,5	2264	62	8,03	6,92	2,64
784,5	2384	61,6	8,4	7,22	2,77
794,5	2425	62,7	8,71	7,52	2,84
804,5	2556	61	8,89	7,62	2,96
814,5	2394	63,6	8,74	7,58	2,82
824,5	2496	63,8	9,14	7,93	2,94
834,5	3186	61,5	11,19	9,61	3,7
844,5	3123	64,7	11,62	10,12	3,7
854,5	3239	62,6	11,61	10,02	3,79
864,5	3203	62,9	11,53	9,96	3,75
874,5	3163	63,3	11,47	9,93	3,71
884,5	3151	62,4	11,25	9,71	3,68
894,5	3377	60,1	11,57	9,87	3,89
904,5	3793	55,5	11,89	9,89	4,26
914,5	3267	62,6	11,7	10,09	3,82
924,5	3197	63	11,54	9,98	3,75
934,5	2559	67	9,89	8,7	3,07
944,5	2329	68,8	9,27	8,2	2,82
954,5	2259	70,3	9,2	8,19	2,76
964,5	2144	73,3	9,16	8,23	2,66
974,5	2041	74,7	8,9	8,03	2,56
984,5	2154	71,5	8,94	7,99	2,65
994,5	2077	73,5	8,89	7,99	2,58
1004,5	2194	70,3	8,95	7,96	2,68
1014,5	2564	64,7	9,53	8,3	3,04
1024,5	5103	56,3	16,25	13,58	5,75
1034,5	5037	55,4	15,77	13,1	5,65
1044,5	5032	55,7	15,84	13,18	5,65
1054,5	4821	56,7	15,49	12,97	5,45
1064,5	4603	58,5	15,3	12,94	5,26
1074,5	4569	58,3	15,12	12,77	5,21
1084,5	4579	57,4	14,89	12,51	5,19
1094,5	4716	55,4	14,75	12,25	5,29
1104,5	4299	57,6	14,04	11,82	4,88
1114,5	4234	58,6	14,09	11,92	4,84
1124,5	4195	59	14,07	11,93	4,81
1134,5	4257	58,1	14,04	11,84	4,85
1144,5	4246	59,3	14,32	12,16	4,87
1154,5	4450	57,2	14,43	12,11	5,04
1164,5	4770	56,6	15,27	12,78	5,38
1174,5	4337	57,9	14,25	12,01	4,94
1184,5	3113	63,2	11,27	9,75	3,65
1194,5	2010	71,1	8,29	7,4	2,47
1204,5	2134	67,5	8,31	7,32	2,57
1214,5	1701	78,7	7,86	7,17	2,18
1224,5	2179	68	8,56	7,56	2,63
1234,5	1889	74,3	8,19	7,38	2,36
1244,5	1899	74,6	8,27	7,46	2,38
1254,5	1989	72,4	8,38	7,51	2,46
1264,5	1936	71,9	8,09	7,23	2,39
1274,5	1978	71,7	8,24	7,37	2,44
1284,5	1893	72,2	7,95	7,12	2,34
1294,5	2127	68,5	8,42	7,45	2,57
1304,5	4128	51,1	11,8	9,53	4,5
1314,5	4618	49	12,62	10,04	4,97
1324,5	4705	49,6	13,03	10,42	5,08
1334,5	4403	52,1	12,88	10,48	4,84
1344,5	4488	52,2	13,15	10,71	4,93
1354,5	4349	53,6	13,13	10,79	4,82
1364,5	4166	53,7	12,59	10,36	4,62
1374,5	4143	53,5	12,48	10,25	4,59
1384,5	4257	54,5	13,09	10,82	4,75
1394,5	4271	53	12,72	10,41	4,72
1404,5	4016	54,4	12,32	10,18	4,48
1414,5	4084	53,8	12,37	10,18	4,53
1424,5	4091	54	12,44	10,25	4,55
1434,5	4450	51,7	12,89	10,46	4,87
1444,5	4763	49,4	13,13	10,48	5,14
1454,5	3931	55,3	12,27	10,19	4,4
1464,5	2493	68,5	9,87	8,72	3,02
1474,5	2096	75,3	9,22	8,34	2,63
1484,5	2427	68,6	9,63	8,52	2,94
1494,5	2443	67,3	9,49	8,35	2,94
1504,5	2309	69,4	9,28	8,23	2,81
1514,5	2159	72,6	9,12	8,17	2,67
1524,5	2419	67	9,34	8,21	2,9
1534,5	2148	72	8,99	8,05	2,65
1544,5	2248	69,4	9,03	8,01	2,73
1554,5	2100	71,7	8,75	7,82	2,59
1564,5	2139	69,6	8,63	7,66	2,6
1574,5	2115	70	8,58	7,63	2,58
1584,5	2030	71,8	8,47	7,58	2,5
1594,5	1986	75,1	8,7	7,86	2,49
1604,5	3067	59,7	10,43	8,88	3,53
1614,5	2981	60,6	10,3	8,81	3,45
1624,5	2934	61,4	10,3	8,84	3,41
1634,5	3021	60	10,32	8,8	3,48
1644,5	2831	63,9	10,38	9,01	3,34
1654,5	2857	64	10,49	9,11	3,37
1664,5	2912	62,4	10,4	8,97	3,4
1674,5	2873	61,8	10,14	8,72	3,34
1684,5	2643	64,3	9,77	8,49	3,12
1694,5	2797	63,7	10,21	8,85	3,29
