[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.09.30]
[File start time: 17:03:12]

Time	Number	Size	LDSA	Filter	Diff	
4,5	4717	41,5	10,72	7,96	4,79
14,5	4005	45,8	10,14	7,85	4,21
24,5	4337	43,4	10,36	7,85	4,48
34,5	4366	43,4	10,41	7,88	4,51
44,5	4309	43,4	10,29	7,79	4,45
54,5	4775	39,8	10,35	7,54	4,78
64,5	4725	40,5	10,44	7,67	4,76
74,5	4445	43,2	10,56	7,98	4,58
84,5	4563	41,8	10,44	7,78	4,65
94,5	4709	40,6	10,43	7,66	4,75
104,5	4380	41,8	10,03	7,47	4,46
114,5	4584	41,4	10,38	7,7	4,65
124,5	4609	41	10,31	7,61	4,66
134,5	4855	39,5	10,44	7,58	4,85
144,5	5020	37,9	10,29	7,31	4,93
154,5	5267	37,2	10,6	7,47	5,14
164,5	5783	34,9	10,85	7,4	5,5
174,5	5614	35,9	10,84	7,5	5,4
184,5	5579	36	10,8	7,48	5,37
194,5	5759	35,4	10,95	7,52	5,51
204,5	5770	35	10,85	7,41	5,5
214,5	5285	37	10,55	7,41	5,14
224,5	4442	39,7	9,59	6,97	4,44
234,5	3516	44,9	8,71	6,69	3,67
244,5	3316	47	8,65	6,78	3,52
254,5	3208	47,8	8,52	6,72	3,42
264,5	3159	48,9	8,6	6,83	3,4
274,5	3219	47,9	8,56	6,75	3,44
284,5	3396	46,5	8,76	6,83	3,59
294,5	4261	42	9,81	7,32	4,35
304,5	4383	40,8	9,76	7,18	4,43
314,5	5540	36	10,74	7,44	5,34
324,5	5966	34,6	11,08	7,52	5,66
334,5	5433	36,3	10,64	7,41	5,25
344,5	5242	37,8	10,72	7,61	5,14
354,5	6016	34,6	11,16	7,58	5,7
364,5	6729	32,9	11,8	7,79	6,25
374,5	6558	33,1	11,59	7,68	6,1
384,5	7011	32,1	11,98	7,81	6,44
394,5	7227	31,6	12,11	7,81	6,59
404,5	7065	32,1	12,06	7,86	6,49
414,5	6901	32,7	12,04	7,93	6,39
424,5	3235	50	9,02	7,23	3,5
434,5	2225	61	7,74	6,63	2,58
444,5	2062	63,4	7,5	6,5	2,42
454,5	1890	66,9	7,29	6,41	2,27
464,5	1907	65,3	7,16	6,25	2,27
474,5	2118	59,9	7,23	6,16	2,44
484,5	2222	57,8	7,29	6,15	2,53
494,5	2218	59,5	7,51	6,39	2,55
504,5	6037	43,3	14,37	10,86	6,23
514,5	6198	45,6	15,62	12,07	6,51
524,5	6205	45,1	15,46	11,89	6,49
534,5	6306	45,2	15,73	12,11	6,6
544,5	6166	45,8	15,62	12,1	6,48
554,5	6106	45,8	15,46	11,96	6,42
564,5	5914	46	15,04	11,66	6,22
574,5	6488	44,4	15,9	12,15	6,75
584,5	7594	41,3	17,16	12,7	7,7
594,5	8152	39,2	17,36	12,53	8,11
604,5	6975	40,5	15,42	11,32	7,02
614,5	2122	65,7	8,02	7,01	2,53
624,5	2046	64,6	7,6	6,62	2,42
634,5	2002	65,8	7,59	6,64	2,39
644,5	2196	63,5	8	6,94	2,58
654,5	2335	61,5	8,2	7,04	2,71
664,5	2245	64,6	8,33	7,25	2,66
674,5	2441	63,5	8,88	7,7	2,87
684,5	3490	59,3	11,77	10	4
694,5	4041	57,1	13,08	10,99	4,58
704,5	3495	63,2	12,64	10,94	4,1
714,5	4117	56,7	13,22	11,07	4,65
724,5	3331	66	12,65	11,07	3,97
734,5	3425	63,5	12,47	10,8	4,03
744,5	3283	64,2	12,11	10,52	3,88
754,5	3372	61,5	11,85	10,18	3,92
764,5	3513	60,4	12,1	10,33	4,06
774,5	3531	62,4	12,61	10,87	4,13
784,5	3525	62,5	12,61	10,87	4,12
794,5	3490	62,5	12,49	10,77	4,08
804,5	3535	61,7	12,46	10,71	4,11
814,5	4081	57	13,18	11,05	4,62
824,5	4376	54,7	13,51	11,18	4,89
834,5	4219	55,9	13,34	11,12	4,75
844,5	3967	57,9	13,04	11	4,52
854,5	3750	59,7	12,75	10,85	4,31
864,5	5238	47,1	13,7	10,73	5,56
874,5	3414	63,9	12,51	10,86	4,02
884,5	3543	64,3	13,08	11,37	4,18
894,5	4183	67,3	16,24	14,29	5,02
904,5	5045	64,2	18,59	16,15	5,95
914,5	5346	68,4	21,12	18,65	6,46
924,5	5506	68,8	21,92	19,39	6,67
934,5	4653	70,4	18,98	16,88	5,68
944,5	4819	67,6	18,8	16,56	5,8
954,5	6262	66,3	23,91	20,93	7,48
964,5	5537	68,4	21,9	19,33	6,69
974,5	5081	69,7	20,5	18,18	6,18
984,5	4737	69,6	19,09	16,93	5,76
994,5	4777	70,3	19,48	17,32	5,84
1004,5	5056	66,5	19,36	16,97	6,04
1014,5	4694	70,6	19,22	17,11	5,74
1024,5	5884	63,9	21,56	18,7	6,93
1034,5	6552	68,5	25,93	22,89	7,92
1044,5	7601	68,4	30,05	26,51	9,18
1054,5	9634	66,2	36,74	32,13	11,49
1064,5	8960	71,4	37,17	33,12	11,01
1074,5	8337	71	34,33	30,56	10,22
1084,5	2892	103,6	18,14	17,33	4,22
1094,5	1015	97,1	5,93	5,62	1,43
1104,5	1398	78,6	6,45	5,89	1,79
1114,5	255	0	4,67	6,2	-0,64
1124,5	1417	87,6	7,37	6,87	1,9
1134,5	1482	83,8	7,34	6,78	1,95
1144,5	1420	85,3	7,17	6,65	1,88
1154,5	1308	87,9	6,83	6,37	1,76
1164,5	1545	75,6	6,82	6,17	1,94
1174,5	1185	90,5	6,39	5,99	1,62
1184,5	1130	92,5	6,25	5,88	1,56
1194,5	963	99,6	5,78	5,5	1,38
1204,5	960	90,1	5,16	4,83	1,31
1214,5	2960	44,2	7,21	5,5	3,08
1224,5	3444	42,9	8,11	6,1	3,54
1234,5	3452	42,1	7,97	5,95	3,53
1244,5	3778	40,6	8,37	6,15	3,81
1254,5	3486	43,2	8,27	6,25	3,59
1264,5	2763	50,5	7,81	6,28	3
1274,5	2675	54,8	8,28	6,86	2,99
1284,5	2705	55,7	8,52	7,1	3,04
1294,5	2690	54,6	8,28	6,85	3
1304,5	2602	54,1	7,92	6,53	2,89
1314,5	3027	47	7,9	6,18	3,21
1324,5	2828	48,6	7,66	6,08	3,04
