STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211001,094022,16717,12.09,19.48,24.89,25.98,18.9,58.3,66.80,88.72,96.04,97.28,97.50,0.75,0,0,3.56,14.9,74.1,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20211001,094023,17793,16.88,39.76,57.50,61.04,18.9,58.3,63.44,109.76,133.26,137.29,137.96,1.18,0,0,3.56,14.9,74.1,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20211001,094024,18870,16.17,35.16,49.78,52.71,19.0,58.2,67.73,108.44,127.86,131.18,131.74,1.14,0,0,3.56,15.0,74.0,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20211001,094025,19938,16.44,37.30,53.42,56.64,19.0,58.1,65.22,108.55,129.93,133.59,134.20,1.18,0,0,3.55,15.0,73.9,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20211001,094026,21007,15.72,32.57,45.47,48.05,19.0,58.0,69.74,107.29,124.46,127.39,127.89,1.09,0,0,3.55,15.0,73.7,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20211001,094028,22076,15.52,31.81,44.27,46.76,19.0,57.8,69.63,106.28,122.87,125.71,126.18,1.09,0,0,3.55,15.0,73.5,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20211001,094029,23151,15.21,30.37,41.92,44.24,19.0,57.8,70.18,105.09,120.49,123.12,123.56,1.07,0,0,3.55,15.0,73.4,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20211001,094030,24220,15.15,30.59,42.39,44.74,19.0,57.6,69.06,104.26,119.97,122.65,123.10,1.06,0,0,3.55,15.0,73.2,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20211001,094031,25289,15.11,31.04,43.22,45.66,19.1,57.5,67.63,103.40,119.61,122.39,122.85,1.05,0,0,3.55,15.1,73.1,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20211001,094032,26364,14.77,29.36,40.48,42.70,19.1,57.4,68.43,102.16,116.98,119.52,119.94,1.02,0,0,3.55,15.1,73.0,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20211001,094033,27432,14.64,29.06,40.05,42.25,19.1,57.3,67.93,101.32,115.97,118.47,118.89,1.02,0,0,3.55,15.1,72.8,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20211001,094034,28501,14.70,30.05,41.78,44.13,19.1,57.2,66.17,100.78,116.40,119.07,119.52,1.04,0,0,3.55,15.1,72.7,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20211001,094035,29577,14.54,29.56,41.05,43.34,19.1,57.1,65.77,99.81,115.10,117.71,118.15,1.04,0,0,3.55,15.1,72.6,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20211001,094036,30645,14.13,28.29,39.10,41.27,19.1,57.1,64.94,97.48,111.88,114.34,114.76,1.03,0,0,3.55,15.1,72.5,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20211001,094038,31713,13.95,27.80,38.37,40.48,19.1,57.0,64.42,96.37,110.45,112.86,113.26,1.03,0,0,3.55,15.1,72.4,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,20211001,094039,32781,13.79,27.74,38.40,40.53,19.2,57.0,63.07,94.98,109.17,111.60,112.01,1.03,0,0,3.55,15.2,72.4,5A1
