STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211001,160929,16727,54.88,63.25,67.47,68.31,18.7,65.3,363.06,431.09,437.69,438.77,439.00,0.68,0,0,3.41,14.7,83.1,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20211001,160930,17803,37.51,41.41,42.83,43.11,18.7,65.2,252.44,296.67,299.25,299.67,299.77,0.64,0,0,3.41,14.7,82.9,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20211001,160931,18875,37.41,40.97,42.11,42.34,18.6,65.1,252.55,296.24,298.47,298.82,298.91,0.61,0,0,3.41,14.6,82.7,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20211001,160932,19950,37.54,41.58,43.10,43.40,18.7,64.9,252.29,296.71,299.44,299.88,299.99,0.63,0,0,3.41,14.7,82.6,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20211001,160933,21024,37.59,41.94,43.71,44.06,18.7,64.8,251.97,296.84,299.89,300.38,300.50,0.65,0,0,3.41,14.7,82.4,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20211001,160933,22094,37.64,41.76,43.34,43.65,18.7,64.7,252.84,297.47,300.28,300.73,300.84,0.63,0,0,3.41,14.7,82.3,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20211001,160935,23168,37.73,41.43,42.67,42.92,18.7,64.6,254.47,298.68,301.04,301.41,301.51,0.62,0,0,3.41,14.7,82.1,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20211001,160936,24243,37.89,41.51,42.67,42.91,18.7,64.4,255.77,300.04,302.31,302.66,302.76,0.62,0,0,3.41,14.7,81.9,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20211001,160937,25318,37.97,41.53,42.65,42.87,18.7,64.3,256.48,300.76,302.97,303.31,303.41,0.62,0,0,3.41,14.7,81.8,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20211001,160938,26389,37.94,41.49,42.61,42.83,18.7,64.2,256.26,300.50,302.70,303.05,303.14,0.62,0,0,3.41,14.7,81.6,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20211001,160939,27464,37.96,41.52,42.63,42.85,18.8,64.1,256.40,300.66,302.87,303.21,303.31,0.62,0,0,3.41,14.8,81.4,5A1
