[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.10.01]
[File start time: 11:38:31]

Time	Number	Size	LDSA	Filter	Diff	
4,5	4043	49,1	11,07	8,81	4,35
14,5	4675	44,5	11,48	8,79	4,87
24,5	3371	56,3	10,73	8,97	3,8
34,5	3241	55,9	10,24	8,53	3,64
44,5	3521	53,4	10,57	8,68	3,9
54,5	3633	52,2	10,65	8,68	3,99
64,5	3497	54,3	10,7	8,84	3,89
74,5	3553	54,6	10,95	9,06	3,96
84,5	3615	53,5	10,89	8,94	4,01
94,5	3311	56,3	10,54	8,8	3,73
104,5	3376	54,8	10,43	8,64	3,77
114,5	3485	54,3	10,67	8,81	3,88
124,5	3744	51,9	10,9	8,86	4,11
134,5	3385	55,8	10,67	8,89	3,8
144,5	3452	55	10,71	8,88	3,86
154,5	3039	59,3	10,26	8,72	3,49
164,5	1301	73,4	5,56	5	1,62
174,5	1468	62,9	5,29	4,57	1,72
184,5	1578	62,1	5,61	4,83	1,84
194,5	1702	63,8	6,23	5,41	2,01
204,5	1662	64,3	6,13	5,34	1,96
214,5	1665	60,9	5,78	4,95	1,93
224,5	1505	64	5,53	4,8	1,77
234,5	1431	66,1	5,45	4,78	1,71
244,5	1173	74,3	5,09	4,59	1,47
254,5	3147	48,7	8,53	6,77	3,38
264,5	3593	49,4	9,9	7,9	3,88
274,5	3574	50,9	10,17	8,2	3,89
284,5	3496	50,6	9,9	7,97	3,8
294,5	3795	48,9	10,34	8,22	4,08
304,5	3452	51,8	10,02	8,14	3,78
314,5	3415	52,2	10	8,14	3,75
324,5	3416	52,2	10,01	8,15	3,75
334,5	3398	51,8	9,88	8,02	3,73
344,5	4499	47,7	11,93	9,4	4,8
354,5	3887	51,2	11,14	9,01	4,24
364,5	3821	50,5	10,78	8,67	4,15
374,5	3709	50,3	10,43	8,38	4,03
384,5	3806	50,3	10,69	8,58	4,13
394,5	3912	50,7	11,09	8,93	4,26
404,5	3808	50,7	10,79	8,69	4,14
414,5	3775	50,5	10,67	8,58	4,1
424,5	3444	54	10,47	8,63	3,83
434,5	586	115,1	4,13	4	0,91
444,5	935	72,4	3,94	3,54	1,16
454,5	1104	65,4	4,16	3,63	1,31
464,5	1062	66,3	4,06	3,56	1,27
474,5	1208	64,5	4,47	3,89	1,43
484,5	1225	61,8	4,33	3,73	1,43
494,5	1242	62,3	4,43	3,82	1,45
504,5	1092	65	4,08	3,56	1,3
514,5	1270	56,8	4,09	3,43	1,44
524,5	1182	60,1	4,05	3,45	1,36
534,5	994	69,1	3,97	3,52	1,21
544,5	928	70,2	3,78	3,36	1,13
554,5	1033	63,7	3,78	3,28	1,22
564,5	1091	64,7	4,06	3,53	1,29
574,5	3205	51,2	9,18	7,43	3,5
584,5	2927	56,8	9,41	7,89	3,31
594,5	3171	54,2	9,68	7,98	3,53
604,5	2875	57,7	9,42	7,93	3,27
614,5	2674	59,9	9,12	7,77	3,08
624,5	2951	55,9	9,32	7,77	3,32
634,5	3116	56,9	10,03	8,41	3,52
644,5	3191	55,1	9,93	8,24	3,57
654,5	3017	57	9,75	8,18	3,42
664,5	3086	55,5	9,67	8,04	3,46
674,5	4664	48,9	12,71	10,1	5,01
684,5	4812	49,5	13,29	10,61	5,19
694,5	4920	48,9	13,39	10,64	5,29
704,5	5751	43,5	13,75	10,41	5,94
714,5	4698	49,6	13,01	10,4	5,08
724,5	4048	52,3	11,88	9,68	4,45
734,5	4436	50,1	12,41	9,96	4,81
744,5	3954	52,2	11,59	9,44	4,35
754,5	3263	55,3	10,2	8,48	3,66
764,5	3054	56	9,68	8,08	3,44
774,5	3722	51,7	10,78	8,75	4,08
784,5	3860	51,3	11,1	8,98	4,22
794,5	3801	51,8	11,03	8,96	4,17
804,5	3301	55,1	10,27	8,52	3,69
814,5	2532	60,2	8,69	7,41	2,92
824,5	2646	58,7	8,82	7,47	3,03
834,5	2709	57,2	8,79	7,38	3,07
844,5	2770	58	9,12	7,69	3,15
854,5	2624	59,2	8,85	7,51	3,01
864,5	2381	62,5	8,52	7,35	2,78
874,5	2360	61	8,22	7,04	2,74
884,5	2737	55,3	8,54	7,09	3,07
894,5	2901	55,5	9,1	7,58	3,26
904,5	3973	46,9	10,34	8,08	4,21
914,5	3910	47,9	10,41	8,21	4,18
924,5	3537	50,6	10	8,05	3,85
934,5	3124	55	9,7	8,04	3,49
944,5	3412	51,9	9,93	8,07	3,74
954,5	3174	54,6	9,77	8,08	3,54
964,5	3397	52,1	9,93	8,08	3,73
974,5	3311	53,9	10,04	8,27	3,68
984,5	3170	55,5	9,94	8,27	3,56
994,5	3205	54,6	9,87	8,17	3,58
1004,5	3219	54	9,79	8,07	3,58
1014,5	3329	53,2	9,96	8,16	3,68
1024,5	3117	55,5	9,76	8,12	3,5
1034,5	2955	57,1	9,56	8,02	3,35
1044,5	3288	53,6	9,92	8,16	3,65
1054,5	3291	54,6	10,13	8,38	3,67
1064,5	3138	55,8	9,9	8,25	3,53
1074,5	3125	56,5	9,99	8,36	3,53
1084,5	1973	67,7	7,71	6,8	2,38
1094,5	1898	66,5	7,27	6,38	2,27
1104,5	1880	66,9	7,25	6,37	2,25
1114,5	1856	66,4	7,1	6,22	2,22
1124,5	1858	65,9	7,05	6,17	2,22
1134,5	2026	65,1	7,59	6,62	2,41
1144,5	2386	61,4	8,37	7,18	2,77
1154,5	2099	64,5	7,78	6,77	2,48
1164,5	2621	56,9	8,44	7,08	2,97
1174,5	3379	54,5	10,39	8,59	3,77
1184,5	3391	55,3	10,58	8,79	3,8
1194,5	3405	55,1	10,59	8,79	3,81
1204,5	4656	42,9	10,96	8,25	4,79
1214,5	4155	49,9	11,57	9,26	4,5
1224,5	4021	51,5	11,6	9,4	4,4
1234,5	3969	52,7	11,74	9,6	4,38
1244,5	3943	51,1	11,29	9,12	4,3
1254,5	3676	53,6	11,08	9,11	4,08
1264,5	3776	52,6	11,15	9,1	4,16
1274,5	3425	55,5	10,73	8,92	3,84
