[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.10.01]
[File start time: 17:26:08]

Time	Number	Size	LDSA	Filter	Diff	
4,5	6812	51,3	19,56	15,82	7,44
14,5	6734	51,3	19,36	15,66	7,36
24,5	6592	51,6	19,07	15,46	7,21
34,5	7494	46,3	19,22	14,94	7,91
44,5	6965	50,6	19,69	15,84	7,57
54,5	7070	50,4	19,93	16,01	7,68
64,5	6642	51,7	19,25	15,62	7,27
74,5	6418	52,8	19,02	15,54	7,08
84,5	6855	50,6	19,41	15,62	7,45
94,5	7091	51	20,22	16,31	7,73
104,5	6397	52,6	18,89	15,42	7,05
114,5	6510	51,6	18,83	15,26	7,12
124,5	6782	51,1	19,38	15,65	7,4
134,5	6815	51,3	19,57	15,82	7,44
144,5	6918	50,7	19,61	15,79	7,52
154,5	6852	51	19,53	15,76	7,47
164,5	6705	51,4	19,29	15,61	7,33
174,5	3510	60,4	12,09	10,33	4,05
184,5	2527	59,5	8,56	7,29	2,9
194,5	1891	66	7,19	6,29	2,26
204,5	1797	63,9	6,59	5,72	2,12
214,5	1744	64,4	6,45	5,62	2,06
224,5	1977	61,6	6,96	5,98	2,3
234,5	1923	62,2	6,84	5,9	2,25
244,5	1897	62,9	6,83	5,9	2,22
254,5	1973	62,1	7	6,03	2,3
264,5	7021	46,6	18,1	14,11	7,42
274,5	7809	48,4	21,02	16,62	8,36
284,5	7695	48,7	20,88	16,57	8,26
294,5	7616	48,9	20,73	16,47	8,18
304,5	8181	48,3	21,99	17,38	8,76
314,5	7752	49,4	21,35	17,02	8,36
324,5	8602	48,6	23,26	18,43	9,22
334,5	8623	49	23,56	18,73	9,27
344,5	8704	48,8	23,64	18,76	9,34
354,5	4538	56,9	14,64	12,27	5,14
364,5	4070	55,9	12,86	10,72	4,58
374,5	3245	60,3	11,14	9,51	3,74
384,5	3043	60,9	10,58	9,06	3,53
394,5	3728	58,2	12,31	10,4	4,25
404,5	3798	58,1	12,53	10,57	4,33
414,5	3357	60,3	11,53	9,84	3,87
424,5	3156	60,8	10,94	9,36	3,65
434,5	3070	58,8	10,26	8,69	3,51
444,5	2680	61,7	9,44	8,12	3,12
454,5	2981	58,7	9,94	8,42	3,41
464,5	3204	55,4	10,02	8,33	3,59
474,5	3235	55	10,04	8,33	3,62
484,5	3425	53,3	10,27	8,43	3,79
494,5	3150	56,8	10,13	8,49	3,56
504,5	3272	54,9	10,13	8,4	3,66
514,5	3246	54,7	10	8,28	3,62
524,5	3232	54,6	9,94	8,22	3,6
534,5	3342	53,5	10,05	8,25	3,7
544,5	3351	54	10,2	8,41	3,73
554,5	3256	55,7	10,24	8,53	3,66
564,5	3007	59,5	10,18	8,66	3,45
574,5	2917	59,9	9,94	8,47	3,36
584,5	2504	65,2	9,38	8,18	2,97
594,5	2664	60,8	9,25	7,92	3,09
604,5	2538	62	9	7,75	2,96
614,5	2431	62,9	8,76	7,57	2,85
624,5	2362	63,1	8,54	7,39	2,77
634,5	2398	62,4	8,56	7,38	2,8
644,5	2376	62,2	8,46	7,29	2,77
654,5	2410	61,5	8,47	7,28	2,8
664,5	2470	59,7	8,4	7,15	2,84
674,5	2323	61,5	8,16	7,01	2,7
684,5	2929	54,2	8,94	7,38	3,26
694,5	3660	48,7	9,93	7,89	3,93
704,5	3574	49,5	9,86	7,88	3,86
714,5	3648	49,5	10,06	8,04	3,94
724,5	3518	50,8	10	8,07	3,83
734,5	3583	49,4	9,87	7,88	3,87
744,5	3444	50,9	9,8	7,91	3,75
754,5	3289	51,7	9,54	7,75	3,6
764,5	3508	48,7	9,51	7,55	3,77
774,5	3774	46,8	9,79	7,65	4
784,5	3346	51,1	9,56	7,72	3,65
794,5	3435	51,7	9,96	8,08	3,76
804,5	2807	61,2	9,81	8,41	3,26
814,5	2534	65,2	9,5	8,29	3,01
824,5	2407	65,8	9,12	7,98	2,87
834,5	2624	61,8	9,27	7,98	3,06
844,5	2641	60,7	9,14	7,82	3,06
854,5	2654	60,8	9,2	7,87	3,07
864,5	2555	61,9	9,04	7,78	2,98
874,5	2609	60,2	8,96	7,65	3,01
884,5	2522	61,2	8,81	7,56	2,93
894,5	2493	61,8	8,81	7,58	2,9
904,5	2638	58,7	8,81	7,46	3,02
914,5	2992	54,4	9,17	7,58	3,33
924,5	4017	46,1	10,24	7,95	4,23
934,5	4194	46,1	10,69	8,3	4,42
944,5	4163	47,4	10,95	8,59	4,43
954,5	4983	46,8	12,93	10,11	5,28
964,5	4779	47,7	12,65	9,95	5,09
974,5	4579	47,7	12,13	9,55	4,88
984,5	3942	49	10,76	8,56	4,24
994,5	3796	49,2	10,41	8,29	4,09
1004,5	3803	49,5	10,51	8,39	4,11
1014,5	3723	49,3	10,23	8,16	4,01
1024,5	3831	50	10,7	8,58	4,15
1034,5	4264	48,5	11,51	9,12	4,57
1044,5	6840	35,3	12,97	8,89	6,54
1054,5	21946	21,7	24,21	12,25	16,53
1064,5	13107	27,9	19,17	11,5	11,29
1074,5	10297	40,8	22,93	16,86	10,39
1084,5	7674	43,6	18,42	13,97	7,93
1094,5	4256	49,9	11,85	9,49	4,61
1104,5	4581	48,2	12,28	9,7	4,9
1114,5	4346	49,1	11,9	9,47	4,68
1124,5	4330	48,6	11,72	9,29	4,65
1134,5	6100	48,3	16,37	12,94	6,53
1144,5	4759	57,2	15,42	12,94	5,39
1154,5	4139	48	11,04	8,71	4,42
1164,5	3851	49,7	10,68	8,54	4,16
1174,5	4441	48,1	11,89	9,39	4,75
1184,5	3450	53,4	10,35	8,5	3,82
1194,5	2245	62,9	8,09	7	2,63
1204,5	2246	62,7	8,07	6,97	2,63
1214,5	2208	62,6	7,91	6,83	2,58
1224,5	2184	61,8	7,72	6,64	2,54
1234,5	2399	58,8	8,03	6,8	2,75
1244,5	2331	60	7,96	6,79	2,69
1254,5	2340	59,7	7,96	6,78	2,69
1264,5	2320	60,2	7,96	6,79	2,68
1274,5	2363	59,1	7,94	6,73	2,71
1284,5	2196	61	7,65	6,56	2,55
1294,5	2271	59,4	7,67	6,52	2,61
1304,5	2283	60,2	7,83	6,68	2,63
1314,5	3434	50,7	9,74	7,85	3,74
1324,5	3666	50,4	10,32	8,3	3,98
1334,5	3311	52,4	9,75	7,95	3,64
1344,5	3472	50,5	9,79	7,88	3,77
1354,5	3233	53	9,63	7,89	3,57
1364,5	3335	51,6	9,65	7,83	3,65
1374,5	3436	52,3	10,08	8,22	3,78
1384,5	3265	53,2	9,76	8	3,61
1394,5	3726	53	11,11	9,1	4,12
1404,5	3348	53,9	10,16	8,36	3,72
1414,5	3577	53,7	10,81	8,89	3,97
1424,5	3289	55,3	10,27	8,54	3,69
1434,5	3084	55,2	9,62	7,98	3,45
1444,5	2952	55,3	9,21	7,65	3,31
1454,5	3231	54,2	9,86	8,13	3,6
1464,5	3462	53,7	10,46	8,6	3,84
1474,5	3502	51,4	10,09	8,18	3,83
1484,5	3432	50,9	9,78	7,89	3,74
1494,5	4161	45,8	10,53	8,16	4,37
1504,5	4089	47,1	10,67	8,36	4,34
1514,5	4344	51,8	12,62	10,25	4,76
1524,5	3594	51,1	10,28	8,31	3,92
1534,5	3445	52	10,05	8,17	3,78
1544,5	3493	51,7	10,11	8,21	3,83
1554,5	3749	47	9,77	7,64	3,98
1564,5	1503	67,3	5,83	5,14	1,81
1574,5	1453	67,7	5,68	5,01	1,75
1584,5	1576	62,7	5,66	4,89	1,85
1594,5	1364	64,4	5,04	4,39	1,61
1604,5	374	108,6	2,47	2,38	0,56
1614,5	331	0	1,76	1,65	0,45
1624,5	425	79,2	1,98	1,81	0,55
1634,5	438	85,4	2,22	2,06	0,58
