STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211006,161017,16743,13.62,43.26,66.62,71.29,21.4,63.0,24.55,76.40,106.85,112.13,113.03,1.23,0,0,3.55,17.4,79.7,286
1,0.000000,0.000000,0,-1.0,0.0,0,20211006,161018,17812,14.54,22.85,28.90,30.11,21.4,62.9,82.09,107.40,115.54,116.94,117.19,0.85,0,0,3.55,17.4,79.6,286
2,0.000000,0.000000,0,-1.0,0.0,0,20211006,161019,18889,14.45,23.68,30.47,31.83,21.4,62.9,79.32,105.71,114.82,116.38,116.65,0.94,0,0,3.55,17.4,79.5,286
3,0.000000,0.000000,0,-1.0,0.0,0,20211006,161020,19957,14.48,22.71,28.70,29.90,21.4,62.9,81.87,107.01,115.07,116.46,116.70,0.87,0,0,3.55,17.4,79.5,286
4,0.000000,0.000000,0,-1.0,0.0,0,20211006,161021,21025,14.32,23.85,30.90,32.31,21.4,62.8,77.61,104.27,113.70,115.32,115.60,0.88,0,0,3.55,17.4,79.5,286
5,0.000000,0.000000,0,-1.0,0.0,0,20211006,161023,22093,14.13,25.41,33.88,35.57,21.5,62.8,72.12,100.83,112.09,114.03,114.37,0.91,0,0,3.55,17.5,79.4,286
6,0.000000,0.000000,0,-1.0,0.0,0,20211006,161024,23168,14.05,25.66,34.40,36.14,21.5,62.7,70.80,99.86,111.46,113.46,113.80,0.91,0,0,3.55,17.5,79.4,286
7,0.000000,0.000000,0,-1.0,0.0,0,20211006,161025,24235,13.98,25.52,34.21,35.95,21.4,62.6,70.42,99.32,110.86,112.85,113.19,0.91,0,0,3.55,17.4,79.2,286
8,0.000000,0.000000,0,-1.0,0.0,0,20211006,161026,25302,13.91,25.03,33.38,35.05,21.5,62.6,70.95,99.23,110.33,112.24,112.57,0.91,0,0,3.55,17.5,79.2,286
9,0.000000,0.000000,0,-1.0,0.0,0,20211006,161027,26376,13.84,24.26,32.04,33.60,21.5,62.6,72.17,99.49,109.86,111.64,111.95,0.90,0,0,3.55,17.5,79.2,286
10,0.000000,0.000000,0,-1.0,0.0,0,20211006,161028,27443,13.78,23.64,30.98,32.45,21.5,62.6,73.03,99.57,109.37,111.05,111.35,0.88,0,0,3.55,17.5,79.2,286
11,0.000000,0.000000,0,-1.0,0.0,0,20211006,161029,28511,13.73,23.16,30.15,31.55,21.5,62.7,73.74,99.67,109.01,110.62,110.90,0.87,0,0,3.55,17.5,79.3,286
12,0.000000,0.000000,0,-1.0,0.0,0,20211006,161030,29586,13.60,23.44,30.78,32.24,21.5,62.7,71.84,98.18,107.96,109.64,109.93,0.90,0,0,3.55,17.5,79.3,286
13,0.000000,0.000000,0,-1.0,0.0,0,20211006,161031,30655,13.38,23.44,30.96,32.46,21.6,62.7,69.81,96.21,106.22,107.94,108.24,0.90,0,0,3.55,17.6,79.3,286
14,0.000000,0.000000,0,-1.0,0.0,0,20211006,161032,31724,13.23,23.89,31.91,33.51,21.6,62.6,67.28,94.30,104.95,106.78,107.10,0.92,0,0,3.55,17.6,79.2,286
15,0.000000,0.000000,0,-1.0,0.0,0,20211006,161033,32792,13.11,23.58,31.44,33.01,21.6,62.5,66.93,93.58,104.03,105.83,106.14,0.92,0,0,3.55,17.6,79.1,286
