STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211006,161026,16694,17.83,40.62,58.25,61.77,21.9,61.8,69.22,116.99,140.85,145.06,145.76,1.06,0,0,3.71,17.9,78.0,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20211006,161027,17770,16.26,36.10,51.39,54.45,21.9,61.8,65.52,107.85,128.57,132.23,132.84,1.23,0,0,3.72,17.9,78.1,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20211006,161028,18837,15.77,28.85,38.70,40.68,22.0,61.9,78.57,111.61,125.06,127.43,127.83,1.08,0,0,3.71,18.0,78.2,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20211006,161029,19907,15.92,31.96,44.21,46.65,22.0,62.0,72.40,109.45,126.09,129.03,129.51,1.14,0,0,3.72,18.0,78.3,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20211006,161030,20976,15.72,30.07,40.96,43.14,22.0,62.0,75.07,109.71,124.55,127.16,127.60,1.10,0,0,3.72,18.0,78.3,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20211006,161030,22045,15.55,29.37,39.82,41.91,22.0,61.9,75.27,109.04,123.29,125.81,126.23,1.09,0,0,3.72,18.0,78.3,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20211006,161032,23122,15.37,28.76,38.88,40.90,22.0,61.9,75.05,108.08,121.88,124.31,124.71,1.08,0,0,3.72,18.0,78.2,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20211006,161033,24192,15.34,30.20,41.52,43.78,22.0,61.8,71.20,106.12,121.52,124.24,124.69,1.12,0,0,3.72,18.0,78.1,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20211006,161034,25262,15.15,29.15,39.78,41.91,22.0,61.8,72.00,105.60,120.08,122.63,123.05,1.10,0,0,3.72,18.0,78.0,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20211006,161035,26339,15.02,29.01,39.63,41.75,22.1,61.7,71.12,104.58,119.04,121.59,122.01,1.10,0,0,3.72,18.1,78.0,31A
10,0.000000,0.000000,0,-1.0,0.0,0,20211006,161036,27409,14.80,28.41,38.75,40.81,22.1,61.7,70.46,103.20,117.27,119.76,120.17,1.09,0,0,3.72,18.1,78.0,31A
