STM32_v0.2,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211006,162044,16834,6.25,16.05,23.69,25.22,20.7,70.2,19.87,39.00,49.26,51.09,51.39,1.24,0,0,3.82,16.7,89.0,1D6
1,0.000000,0.000000,0,-1.0,0.0,0,20211006,162045,17909,11.33,19.13,24.92,26.07,20.7,70.4,60.41,82.08,89.97,91.37,91.61,0.77,0,0,3.82,16.7,89.1,1D6
2,0.000000,0.000000,0,-1.0,0.0,0,20211006,162046,18981,11.14,17.98,23.00,24.00,20.7,70.3,61.44,81.65,88.52,89.74,89.95,0.78,0,0,3.82,16.7,89.1,1D6
3,0.000000,0.000000,0,-1.0,0.0,0,20211006,162047,20056,10.76,15.47,18.77,19.43,20.7,70.5,63.97,81.01,85.61,86.42,86.56,0.74,0,0,3.82,16.7,89.3,1D6
4,0.000000,0.000000,0,-1.0,0.0,0,20211006,162048,21131,10.69,15.21,18.36,18.99,20.7,70.7,63.98,80.70,85.10,85.87,86.01,0.75,0,0,3.82,16.7,89.6,1D6
5,0.000000,0.000000,0,-1.0,0.0,0,20211006,162049,22206,10.62,15.19,18.39,19.03,20.7,70.8,63.35,80.07,84.53,85.31,85.45,0.76,0,0,3.81,16.7,89.7,1D6
6,0.000000,0.000000,0,-1.0,0.0,0,20211006,162051,23276,10.45,14.46,17.23,17.78,20.8,70.9,63.45,79.28,83.15,83.83,83.95,0.74,0,0,3.82,16.8,89.8,1D6
7,0.000000,0.000000,0,-1.0,0.0,0,20211006,162052,24351,10.40,14.70,17.70,18.30,20.8,71.1,62.45,78.60,82.78,83.52,83.65,0.77,0,0,3.82,16.8,90.1,1D6
8,0.000000,0.000000,0,-1.0,0.0,0,20211006,162053,25425,10.41,15.15,18.50,19.17,20.8,71.6,61.39,78.12,82.78,83.60,83.74,0.80,0,0,3.81,16.8,90.6,1D6
9,0.000000,0.000000,0,-1.0,0.0,0,20211006,162054,26495,10.31,14.91,18.16,18.81,20.8,72.0,61.04,77.49,82.00,82.80,82.93,0.80,0,0,3.82,16.8,91.2,1D6
10,0.000000,0.000000,0,-1.0,0.0,0,20211006,162055,27569,10.29,15.16,18.62,19.32,20.8,72.1,60.25,77.03,81.83,82.67,82.82,0.81,0,0,3.82,16.8,91.3,1D6
11,0.000000,0.000000,0,-1.0,0.0,0,20211006,162056,28644,10.16,14.98,18.40,19.08,20.8,72.2,59.51,76.09,80.83,81.67,81.81,0.81,0,0,3.81,16.8,91.4,1D6
12,0.000000,0.000000,0,-1.0,0.0,0,20211006,162057,29719,9.96,14.69,18.05,18.73,20.8,72.1,58.33,74.60,79.25,80.08,80.22,0.81,0,0,3.81,16.8,91.3,1D6
13,0.000000,0.000000,0,-1.0,0.0,0,20211006,162058,30789,9.86,14.54,17.87,18.54,20.8,71.9,57.71,73.81,78.42,79.24,79.38,0.82,0,0,3.82,16.8,91.0,1D6
14,0.000000,0.000000,0,-1.0,0.0,0,20211006,162059,31864,9.77,14.46,17.80,18.47,20.9,71.8,57.05,73.07,77.69,78.51,78.65,0.82,0,0,3.81,16.9,90.9,1D6
15,0.000000,0.000000,0,-1.0,0.0,0,20211006,162100,32939,9.78,14.79,18.38,19.10,20.8,71.7,56.35,72.79,77.76,78.64,78.79,0.84,0,0,3.82,16.8,90.8,1D6
16,0.000000,0.000000,0,-1.0,0.0,0,20211006,162101,34010,9.70,14.59,18.09,18.80,20.9,71.5,56.07,72.28,77.12,77.98,78.13,0.84,0,0,3.81,16.9,90.5,1D6
17,0.000000,0.000000,0,-1.0,0.0,0,20211006,162102,35084,9.72,14.86,18.56,19.30,20.8,71.2,55.66,72.21,77.31,78.21,78.37,0.85,0,0,3.82,16.8,90.2,1D6
18,0.000000,0.000000,0,-1.0,0.0,0,20211006,162104,36159,9.71,14.94,18.73,19.48,20.9,70.9,55.31,71.98,77.19,78.11,78.27,0.86,0,0,3.82,16.9,89.8,1D6
19,0.000000,0.000000,0,-1.0,0.0,0,20211006,162105,37234,9.67,14.87,18.62,19.38,20.9,70.7,55.10,71.68,76.85,77.77,77.93,0.86,0,0,3.81,16.9,89.6,1D6
20,0.000000,0.000000,0,-1.0,0.0,0,20211006,162106,38304,9.67,15.01,18.89,19.67,20.9,70.7,54.73,71.50,76.84,77.78,77.95,0.87,0,0,3.81,16.9,89.5,1D6
21,0.000000,0.000000,0,-1.0,0.0,0,20211006,162107,39378,9.57,14.69,18.39,19.13,20.9,70.8,54.59,70.97,76.07,76.97,77.12,0.86,0,0,3.82,16.9,89.6,1D6
22,0.000000,0.000000,0,-1.0,0.0,0,20211006,162108,40453,9.49,14.58,18.25,18.98,20.9,70.8,54.17,70.42,75.48,76.37,76.53,0.86,0,0,3.82,16.9,89.6,1D6
23,0.000000,0.000000,0,-1.0,0.0,0,20211006,162109,41523,9.36,14.33,17.92,18.64,21.0,70.7,53.48,69.45,74.40,75.28,75.43,0.86,0,0,3.81,17.0,89.6,1D6
24,0.000000,0.000000,0,-1.0,0.0,0,20211006,162110,42597,9.27,14.19,17.75,18.46,20.9,70.7,52.98,68.79,73.69,74.56,74.71,0.86,0,0,3.81,16.9,89.5,1D6
25,0.000000,0.000000,0,-1.0,0.0,0,20211006,162111,43671,9.26,14.11,17.60,18.30,21.0,70.7,53.11,68.82,73.63,74.48,74.63,0.85,0,0,3.81,17.0,89.5,1D6
26,0.000000,0.000000,0,-1.0,0.0,0,20211006,162112,44746,9.25,14.02,17.46,18.15,21.0,70.8,53.18,68.78,73.52,74.36,74.50,0.85,0,0,3.82,17.0,89.7,1D6
27,0.000000,0.000000,0,-1.0,0.0,0,20211006,162113,45817,9.24,14.09,17.59,18.29,21.0,71.0,52.96,68.65,73.47,74.33,74.48,0.86,0,0,3.82,17.0,89.9,1D6
28,0.000000,0.000000,0,-1.0,0.0,0,20211006,162114,46892,9.20,14.01,17.47,18.16,21.0,71.2,52.82,68.41,73.18,74.03,74.17,0.85,0,0,3.81,17.0,90.1,1D6
29,0.000000,0.000000,0,-1.0,0.0,0,20211006,162115,47967,9.17,13.91,17.33,18.01,21.0,71.4,52.68,68.16,72.87,73.71,73.85,0.85,0,0,3.82,17.0,90.4,1D6
30,0.000000,0.000000,0,-1.0,0.0,0,20211006,162117,49038,9.12,13.83,17.22,17.90,21.1,71.7,52.45,67.84,72.52,73.35,73.49,0.85,0,0,3.81,17.1,90.8,1D6
