STM32_v0.10,,,SPS30_SN:3C91C21B8BAF1A7A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211007,140715,16683,16.49,38.96,56.38,59.86,21.4,59.2,60.67,106.66,130.21,134.37,135.06,1.19,0,0,3.68,17.4,74.9,A7A
1,0.000000,0.000000,0,-1.0,0.0,0,20211007,140716,17753,7.88,19.20,28.00,29.76,21.4,59.2,27.57,50.31,62.20,64.30,64.64,1.16,0,0,3.69,17.4,74.9,A7A
2,0.000000,0.000000,0,-1.0,0.0,0,20211007,140717,18824,7.97,14.12,18.74,19.66,21.4,59.2,40.82,56.92,63.23,64.34,64.52,0.96,0,0,3.69,17.4,74.8,A7A
3,0.000000,0.000000,0,-1.0,0.0,0,20211007,140719,19898,8.03,15.19,20.62,21.70,21.4,59.1,38.79,56.27,63.66,64.96,65.18,1.02,0,0,3.68,17.4,74.8,A7A
4,0.000000,0.000000,0,-1.0,0.0,0,20211007,140720,20972,8.14,16.75,23.34,24.65,21.4,59.1,36.03,55.50,64.44,66.02,66.28,1.06,0,0,3.68,17.4,74.7,A7A
5,0.000000,0.000000,0,-1.0,0.0,0,20211007,140720,22046,8.30,18.15,25.74,27.26,21.4,59.0,34.12,55.38,65.66,67.47,67.77,1.07,0,0,3.68,17.4,74.7,A7A
6,0.000000,0.000000,0,-1.0,0.0,0,20211007,140722,23116,8.45,18.11,25.53,27.01,21.5,59.1,35.67,56.82,66.88,68.65,68.95,1.05,0,0,3.68,17.5,74.7,A7A
7,0.000000,0.000000,0,-1.0,0.0,0,20211007,140723,24190,8.63,17.37,24.04,25.38,21.5,59.1,39.12,59.26,68.33,69.93,70.19,1.00,0,0,3.68,17.5,74.7,A7A
8,0.000000,0.000000,0,-1.0,0.0,0,20211007,140724,25264,8.85,18.15,25.27,26.69,21.4,59.0,39.29,60.38,70.05,71.75,72.04,1.00,0,0,3.68,17.4,74.6,A7A
9,0.000000,0.000000,0,-1.0,0.0,0,20211007,140725,26334,9.02,18.93,26.54,28.06,21.4,58.8,38.98,61.04,71.36,73.19,73.49,1.01,0,0,3.68,17.4,74.3,A7A
10,0.000000,0.000000,0,-1.0,0.0,0,20211007,140726,27408,9.20,19.60,27.60,29.19,21.4,58.5,39.08,61.97,72.80,74.72,75.03,1.02,0,0,3.68,17.4,74.0,A7A
11,0.000000,0.000000,0,-1.0,0.0,0,20211007,140727,28483,9.40,19.28,26.83,28.35,21.5,58.3,41.79,64.19,74.45,76.26,76.56,0.99,0,0,3.68,17.5,73.7,A7A
12,0.000000,0.000000,0,-1.0,0.0,0,20211007,140728,29558,9.78,19.42,26.78,28.25,21.4,58.1,44.94,67.43,77.42,79.19,79.48,0.98,0,0,3.68,17.4,73.5,A7A
13,0.000000,0.000000,0,-1.0,0.0,0,20211007,140729,30630,9.92,19.53,26.85,28.31,21.5,57.9,46.01,68.59,78.55,80.30,80.60,0.98,0,0,3.68,17.5,73.2,A7A
14,0.000000,0.000000,0,-1.0,0.0,0,20211007,140730,31706,10.01,19.80,27.25,28.74,21.5,57.8,46.29,69.19,79.33,81.12,81.41,0.98,0,0,3.68,17.5,73.2,A7A
15,0.000000,0.000000,0,-1.0,0.0,0,20211007,140731,32782,10.05,19.80,27.22,28.70,21.5,57.8,46.66,69.55,79.64,81.42,81.72,0.98,0,0,3.68,17.5,73.1,A7A
16,0.000000,0.000000,0,-1.0,0.0,0,20211007,140732,33854,10.08,19.89,27.36,28.85,21.4,57.7,46.73,69.73,79.88,81.68,81.97,0.99,0,0,3.67,17.4,73.0,A7A
17,0.000000,0.000000,0,-1.0,0.0,0,20211007,140733,34930,10.09,19.61,26.85,28.30,21.5,57.6,47.46,70.10,79.95,81.69,81.98,0.98,0,0,3.68,17.5,72.9,A7A
18,0.000000,0.000000,0,-1.0,0.0,0,20211007,140735,36006,10.05,19.38,26.46,27.87,21.5,57.6,47.67,70.01,79.65,81.35,81.63,0.97,0,0,3.68,17.5,72.9,A7A
19,0.000000,0.000000,0,-1.0,0.0,0,20211007,140736,37082,10.01,19.14,26.07,27.46,21.5,57.6,47.81,69.86,79.30,80.96,81.24,0.98,0,0,3.67,17.5,72.9,A7A
