STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211008,052717,16692,6.70,8.42,9.49,9.71,20.7,47.5,42.88,51.82,53.37,53.62,53.68,0.57,0,0,3.67,16.7,60.1,488
1,0.000000,0.000000,0,-1.0,0.0,0,20211008,052718,17763,8.44,8.93,8.93,8.93,20.7,47.8,58.09,67.20,67.39,67.42,67.43,0.54,0,0,3.67,16.7,60.5,488
2,0.000000,0.000000,0,-1.0,0.0,0,20211008,052719,18830,8.77,11.58,13.45,13.83,20.8,47.8,54.78,67.21,69.83,70.27,70.36,0.69,0,0,3.67,16.8,60.5,488
3,0.000000,0.000000,0,-1.0,0.0,0,20211008,052720,19903,8.71,11.72,13.75,14.16,20.7,47.6,53.92,66.55,69.37,69.85,69.94,0.73,0,0,3.67,16.7,60.3,488
4,0.000000,0.000000,0,-1.0,0.0,0,20211008,052721,20977,8.52,10.71,12.08,12.35,20.6,47.3,54.55,65.93,67.90,68.23,68.29,0.66,0,0,3.67,16.6,60.0,488
5,0.000000,0.000000,0,-1.0,0.0,0,20211008,052722,22051,8.35,10.02,10.98,11.17,20.6,47.1,54.61,65.14,66.57,66.81,66.86,0.63,0,0,3.67,16.6,59.7,488
6,0.000000,0.000000,0,-1.0,0.0,0,20211008,052724,23121,8.20,9.64,10.42,10.57,20.6,46.9,54.10,64.18,65.38,65.58,65.62,0.61,0,0,3.67,16.6,59.4,488
7,0.000000,0.000000,0,-1.0,0.0,0,20211008,052725,24194,8.06,9.29,9.91,10.04,20.6,46.7,53.60,63.28,64.27,64.43,64.47,0.57,0,0,3.67,16.6,59.2,488
8,0.000000,0.000000,0,-1.0,0.0,0,20211008,052726,25265,7.81,8.26,8.26,8.26,20.6,46.6,53.75,62.17,62.35,62.37,62.39,0.54,0,0,3.67,16.6,59.0,488
9,0.000000,0.000000,0,-1.0,0.0,0,20211008,052727,26342,7.81,9.20,9.96,10.11,20.6,46.5,51.48,61.11,62.27,62.46,62.50,0.57,0,0,3.67,16.6,58.9,488
10,0.000000,0.000000,0,-1.0,0.0,0,20211008,052728,27413,7.54,7.97,7.97,7.97,20.5,46.3,51.86,59.99,60.17,60.19,60.20,0.56,0,0,3.67,16.5,58.7,488
11,0.000000,0.000000,0,-1.0,0.0,0,20211008,052729,28484,7.43,7.86,7.86,7.86,20.6,46.2,51.12,59.13,59.31,59.32,59.34,0.53,0,0,3.67,16.6,58.6,488
12,0.000000,0.000000,0,-1.0,0.0,0,20211008,052730,29555,7.33,7.76,7.76,7.76,20.5,46.2,50.45,58.36,58.53,58.55,58.56,0.52,0,0,3.67,16.5,58.5,488
13,0.000000,0.000000,0,-1.0,0.0,0,20211008,052731,30622,7.16,7.58,7.58,7.58,20.5,46.1,49.29,57.01,57.18,57.20,57.21,0.51,0,0,3.67,16.5,58.4,488
14,0.000000,0.000000,0,-1.0,0.0,0,20211008,052732,31693,7.11,7.52,7.52,7.52,20.4,46.1,48.90,56.57,56.73,56.75,56.76,0.52,0,0,3.67,16.4,58.4,488
15,0.000000,0.000000,0,-1.0,0.0,0,20211008,052733,32764,7.06,7.46,7.46,7.46,20.5,46.0,48.55,56.16,56.32,56.34,56.35,0.52,0,0,3.67,16.5,58.3,488
16,0.000000,0.000000,0,-1.0,0.0,0,20211008,052734,33831,7.02,7.43,7.43,7.43,20.5,46.0,48.31,55.89,56.05,56.07,56.08,0.52,0,0,3.67,16.5,58.3,488
17,0.000000,0.000000,0,-1.0,0.0,0,20211008,052735,34902,6.96,7.36,7.36,7.36,20.5,46.0,47.91,55.42,55.58,55.60,55.61,0.52,0,0,3.67,16.5,58.3,488
18,0.000000,0.000000,0,-1.0,0.0,0,20211008,052735,35973,6.89,7.29,7.29,7.29,20.5,46.0,47.41,54.84,55.00,55.02,55.03,0.52,0,0,3.67,16.5,58.3,488
19,0.000000,0.000000,0,-1.0,0.0,0,20211008,052737,37049,6.84,7.24,7.24,7.24,20.5,46.0,47.07,54.45,54.61,54.63,54.64,0.52,0,0,3.66,16.5,58.3,488
20,0.000000,0.000000,0,-1.0,0.0,0,20211008,052738,38116,6.78,7.17,7.17,7.17,20.5,45.9,46.64,53.95,54.11,54.12,54.13,0.52,0,0,3.67,16.5,58.2,488
21,0.000000,0.000000,0,-1.0,0.0,0,20211008,052739,39187,6.72,7.11,7.11,7.11,20.5,45.9,46.22,53.47,53.63,53.64,53.65,0.53,0,0,3.67,16.5,58.2,488
22,0.000000,0.000000,0,-1.0,0.0,0,20211008,052741,40258,6.64,7.02,7.02,7.02,20.6,45.9,45.65,52.80,52.96,52.98,52.99,0.53,0,0,3.66,16.6,58.2,488
23,0.000000,0.000000,0,-1.0,0.0,0,20211008,052742,41329,6.55,6.93,6.93,6.93,20.5,46.0,45.08,52.15,52.30,52.32,52.33,0.53,0,0,3.66,16.5,58.2,488
24,0.000000,0.000000,0,-1.0,0.0,0,20211008,052743,42406,6.45,6.82,6.82,6.82,20.5,46.0,44.35,51.31,51.46,51.47,51.48,0.52,0,0,3.67,16.5,58.2,488
25,0.000000,0.000000,0,-1.0,0.0,0,20211008,052744,43477,6.34,6.70,6.70,6.70,20.5,46.0,43.59,50.42,50.57,50.59,50.59,0.52,0,0,3.66,16.5,58.2,488
26,0.000000,0.000000,0,-1.0,0.0,0,20211008,052745,44548,6.14,6.49,6.49,6.49,20.5,45.9,42.25,48.88,49.02,49.03,49.04,0.51,0,0,3.67,16.5,58.2,488
27,0.000000,0.000000,0,-1.0,0.0,0,20211008,052746,45615,6.05,6.40,6.40,6.40,20.5,45.9,41.63,48.15,48.29,48.31,48.32,0.51,0,0,3.66,16.5,58.2,488
28,0.000000,0.000000,0,-1.0,0.0,0,20211008,052747,46686,5.94,6.28,6.28,6.28,20.5,45.9,40.84,47.24,47.38,47.39,47.40,0.51,0,0,3.67,16.5,58.2,488
29,0.000000,0.000000,0,-1.0,0.0,0,20211008,052748,47757,5.84,6.18,6.18,6.18,20.5,45.9,40.19,46.49,46.63,46.64,46.65,0.52,0,0,3.66,16.5,58.2,488
30,0.000000,0.000000,0,-1.0,0.0,0,20211008,052748,48828,5.77,6.10,6.10,6.10,20.5,46.0,39.71,45.94,46.07,46.09,46.10,0.52,0,0,3.67,16.5,58.3,488
31,0.000000,0.000000,0,-1.0,0.0,0,20211008,052750,49895,5.71,6.04,6.04,6.04,20.5,46.0,39.29,45.44,45.58,45.59,45.60,0.52,0,0,3.66,16.5,58.4,488
32,0.000000,0.000000,0,-1.0,0.0,0,20211008,052751,50966,5.67,6.00,6.00,6.00,20.5,46.1,39.04,45.16,45.29,45.31,45.31,0.52,0,0,3.66,16.5,58.4,488
33,0.000000,0.000000,0,-1.0,0.0,0,20211008,052752,52038,5.62,5.94,5.94,5.94,20.5,46.1,38.67,44.73,44.86,44.88,44.89,0.52,0,0,3.67,16.5,58.4,488
34,0.000000,0.000000,0,-1.0,0.0,0,20211008,052753,53106,5.56,5.88,5.88,5.88,20.5,46.2,38.26,44.25,44.38,44.40,44.40,0.53,0,0,3.66,16.5,58.5,488
