STM32_v0.10,,,SPS30_SN:3C91C21B8BAF1A7A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211008,052716,16625,5.78,8.07,9.65,9.97,19.7,48.0,34.94,43.79,46.02,46.41,46.47,0.68,0,0,3.64,15.7,60.9,A7A
1,0.000000,0.000000,0,-1.0,0.0,0,20211008,052717,17696,2.17,2.30,2.30,2.30,19.7,48.0,14.94,17.31,17.35,17.36,17.36,0.42,0,0,3.64,15.7,60.9,A7A
2,0.000000,0.000000,0,-1.0,0.0,0,20211008,052718,18763,2.34,3.39,4.14,4.29,19.7,48.0,13.84,17.58,18.62,18.80,18.83,0.65,0,0,3.63,15.7,60.9,A7A
3,0.000000,0.000000,0,-1.0,0.0,0,20211008,052719,19832,2.48,3.47,4.16,4.30,19.7,48.0,14.95,18.76,19.72,19.89,19.92,0.69,0,0,3.64,15.7,60.9,A7A
4,0.000000,0.000000,0,-1.0,0.0,0,20211008,052721,20901,2.56,3.26,3.70,3.79,19.7,48.0,16.22,19.72,20.37,20.48,20.50,0.68,0,0,3.63,15.7,60.9,A7A
5,0.000000,0.000000,0,-1.0,0.0,0,20211008,052721,21970,2.63,3.13,3.42,3.47,19.7,47.9,17.18,20.50,20.94,21.01,21.03,0.65,0,0,3.64,15.7,60.8,A7A
6,0.000000,0.000000,0,-1.0,0.0,0,20211008,052723,23046,2.71,3.25,3.56,3.62,19.7,47.9,17.69,21.14,21.61,21.69,21.70,0.70,0,0,3.64,15.7,60.8,A7A
7,0.000000,0.000000,0,-1.0,0.0,0,20211008,052724,24115,2.89,3.31,3.52,3.56,19.6,47.9,19.26,22.74,23.07,23.13,23.14,0.66,0,0,3.63,15.6,60.7,A7A
8,0.000000,0.000000,0,-1.0,0.0,0,20211008,052725,25184,2.99,3.45,3.68,3.73,19.6,47.9,19.85,23.48,23.85,23.91,23.92,0.68,0,0,3.63,15.6,60.8,A7A
9,0.000000,0.000000,0,-1.0,0.0,0,20211008,052726,26260,3.06,3.58,3.85,3.90,19.6,47.9,20.24,24.01,24.44,24.51,24.52,0.69,0,0,3.64,15.6,60.7,A7A
10,0.000000,0.000000,0,-1.0,0.0,0,20211008,052727,27329,3.15,3.74,4.06,4.13,19.5,47.8,20.68,24.64,25.14,25.22,25.24,0.68,0,0,3.63,15.5,60.7,A7A
11,0.000000,0.000000,0,-1.0,0.0,0,20211008,052728,28400,3.33,3.89,4.18,4.24,19.5,47.9,21.98,26.09,26.55,26.63,26.64,0.68,0,0,3.63,15.5,60.8,A7A
12,0.000000,0.000000,0,-1.0,0.0,0,20211008,052729,29470,3.51,4.17,4.54,4.62,19.5,47.9,22.97,27.39,27.96,28.05,28.07,0.69,0,0,3.63,15.5,60.8,A7A
13,0.000000,0.000000,0,-1.0,0.0,0,20211008,052730,30547,3.76,4.40,4.74,4.81,19.4,47.9,24.81,29.46,29.99,30.08,30.10,0.67,0,0,3.63,15.4,60.9,A7A
14,0.000000,0.000000,0,-1.0,0.0,0,20211008,052731,31618,3.88,4.42,4.68,4.73,19.4,48.0,25.87,30.51,30.93,31.01,31.02,0.64,0,0,3.63,15.4,60.9,A7A
15,0.000000,0.000000,0,-1.0,0.0,0,20211008,052732,32689,3.95,4.48,4.73,4.78,19.4,48.0,26.39,31.09,31.50,31.56,31.58,0.63,0,0,3.63,15.4,61.0,A7A
16,0.000000,0.000000,0,-1.0,0.0,0,20211008,052733,33760,4.02,4.62,4.91,4.97,19.4,48.1,26.76,31.62,32.09,32.17,32.19,0.66,0,0,3.63,15.4,61.0,A7A
17,0.000000,0.000000,0,-1.0,0.0,0,20211008,052734,34836,4.08,4.62,4.87,4.92,19.5,48.1,27.29,32.14,32.55,32.62,32.64,0.64,0,0,3.63,15.5,61.0,A7A
18,0.000000,0.000000,0,-1.0,0.0,0,20211008,052736,35906,4.13,4.70,4.97,5.02,19.5,48.1,27.57,32.50,32.94,33.01,33.03,0.63,0,0,3.63,15.5,61.1,A7A
19,0.000000,0.000000,0,-1.0,0.0,0,20211008,052737,36976,4.19,4.74,4.99,5.04,19.5,48.1,28.00,32.97,33.39,33.46,33.47,0.63,0,0,3.63,15.5,61.1,A7A
20,0.000000,0.000000,0,-1.0,0.0,0,20211008,052738,38053,4.23,4.79,5.04,5.09,19.5,48.2,28.32,33.34,33.76,33.83,33.85,0.63,0,0,3.63,15.5,61.1,A7A
21,0.000000,0.000000,0,-1.0,0.0,0,20211008,052739,39123,4.27,4.83,5.08,5.13,19.6,48.1,28.60,33.66,34.08,34.15,34.16,0.63,0,0,3.63,15.6,61.1,A7A
22,0.000000,0.000000,0,-1.0,0.0,0,20211008,052740,40193,4.31,4.87,5.13,5.18,19.6,48.2,28.87,33.97,34.39,34.47,34.48,0.63,0,0,3.63,15.6,61.1,A7A
23,0.000000,0.000000,0,-1.0,0.0,0,20211008,052741,41263,4.32,4.90,5.17,5.22,19.6,48.2,28.90,34.04,34.48,34.55,34.57,0.64,0,0,3.63,15.6,61.2,A7A
24,0.000000,0.000000,0,-1.0,0.0,0,20211008,052742,42340,4.35,4.88,5.11,5.16,19.6,48.3,29.23,34.34,34.73,34.80,34.81,0.63,0,0,3.63,15.6,61.3,A7A
25,0.000000,0.000000,0,-1.0,0.0,0,20211008,052743,43411,4.38,4.89,5.10,5.14,19.6,48.3,29.46,34.56,34.93,34.99,35.01,0.63,0,0,3.63,15.6,61.3,A7A
26,0.000000,0.000000,0,-1.0,0.0,0,20211008,052744,44481,4.39,4.86,5.04,5.07,19.6,48.3,29.66,34.73,35.06,35.11,35.12,0.62,0,0,3.63,15.6,61.3,A7A
27,0.000000,0.000000,0,-1.0,0.0,0,20211008,052745,45548,4.39,4.85,5.01,5.04,19.6,48.3,29.66,34.70,35.01,35.06,35.08,0.62,0,0,3.63,15.6,61.3,A7A
28,0.000000,0.000000,0,-1.0,0.0,0,20211008,052746,46619,4.43,4.86,5.00,5.03,19.6,48.3,29.99,35.04,35.32,35.37,35.38,0.61,0,0,3.63,15.6,61.3,A7A
29,0.000000,0.000000,0,-1.0,0.0,0,20211008,052747,47690,4.47,4.90,5.04,5.07,19.6,48.2,30.31,35.41,35.68,35.73,35.74,0.61,0,0,3.63,15.6,61.2,A7A
30,0.000000,0.000000,0,-1.0,0.0,0,20211008,052749,48760,4.52,4.94,5.07,5.10,19.6,48.2,30.68,35.82,36.08,36.12,36.13,0.59,0,0,3.63,15.6,61.2,A7A
31,0.000000,0.000000,0,-1.0,0.0,0,20211008,052750,49827,4.55,4.95,5.07,5.09,19.6,48.2,30.94,36.09,36.33,36.37,36.38,0.59,0,0,3.63,15.6,61.2,A7A
32,0.000000,0.000000,0,-1.0,0.0,0,20211008,052751,50897,4.59,4.99,5.11,5.13,19.6,48.2,31.20,36.39,36.63,36.67,36.68,0.59,0,0,3.63,15.6,61.2,A7A
33,0.000000,0.000000,0,-1.0,0.0,0,20211008,052752,51967,4.60,5.00,5.10,5.12,19.6,48.2,31.32,36.51,36.74,36.78,36.79,0.59,0,0,3.63,15.6,61.2,A7A
