STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,055940,16725,8.41,8.89,8.89,8.89,18.2,63.4,57.76,66.91,67.08,67.10,67.11,0.59,0,0,3.69,14.2,80.7,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,055941,17795,8.97,9.48,9.48,9.48,18.3,63.1,61.61,71.37,71.55,71.58,71.59,0.42,0,0,3.70,14.3,80.3,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,055942,18863,8.94,9.45,9.45,9.45,18.2,62.7,61.41,71.15,71.33,71.35,71.37,0.46,0,0,3.69,14.2,79.8,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,055943,19932,8.89,9.40,9.40,9.40,18.2,62.3,61.11,70.79,70.97,70.99,71.01,0.51,0,0,3.70,14.2,79.2,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,055944,21002,8.83,9.34,9.34,9.34,18.2,61.9,60.67,70.29,70.46,70.49,70.50,0.53,0,0,3.69,14.2,78.8,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,055944,22072,8.72,9.22,9.22,9.22,18.2,61.5,59.94,69.44,69.62,69.64,69.65,0.52,0,0,3.70,14.2,78.3,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,055946,23139,8.62,9.11,9.11,9.11,18.2,61.1,59.21,68.60,68.77,68.79,68.81,0.51,0,0,3.70,14.2,77.8,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,055947,24209,8.51,9.00,9.00,9.00,18.2,60.7,58.45,67.72,67.89,67.91,67.92,0.52,0,0,3.69,14.2,77.3,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20211011,055948,25280,8.42,8.91,8.91,8.91,18.2,60.3,57.87,67.04,67.21,67.23,67.25,0.53,0,0,3.69,14.2,76.8,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20211011,055949,26347,8.39,8.87,8.87,8.87,18.3,60.1,57.63,66.76,66.93,66.95,66.96,0.54,0,0,3.69,14.3,76.5,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20211011,055950,27418,8.34,8.82,8.82,8.82,18.3,60.3,57.32,66.40,66.57,66.59,66.60,0.57,0,0,3.69,14.3,76.7,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20211011,055951,28490,8.29,8.76,8.76,8.76,18.3,60.5,56.95,65.98,66.15,66.17,66.18,0.58,0,0,3.70,14.3,76.9,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,20211011,055953,29563,8.23,8.70,8.70,8.70,18.3,60.6,56.55,65.52,65.68,65.70,65.72,0.60,0,0,3.69,14.3,77.2,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,20211011,055954,30641,8.17,8.64,8.64,8.64,18.3,60.7,56.15,65.05,65.21,65.23,65.25,0.59,0,0,3.69,14.3,77.3,B1F
14,0.000000,0.000000,0,-1.0,0.0,0,20211011,055955,31713,8.17,8.64,8.64,8.64,18.3,60.9,56.14,65.03,65.20,65.22,65.23,0.60,0,0,3.69,14.3,77.5,B1F
15,0.000000,0.000000,0,-1.0,0.0,0,20211011,055956,32783,8.16,8.63,8.63,8.63,18.3,61.2,56.06,64.95,65.12,65.14,65.15,0.60,0,0,3.69,14.3,77.9,B1F
16,0.000000,0.000000,0,-1.0,0.0,0,20211011,055957,33854,8.16,8.63,8.63,8.63,18.4,61.4,56.06,64.95,65.11,65.13,65.15,0.60,0,0,3.69,14.4,78.1,B1F
17,0.000000,0.000000,0,-1.0,0.0,0,20211011,055957,34932,8.14,8.61,8.61,8.61,18.4,61.5,55.96,64.83,65.00,65.02,65.03,0.60,0,0,3.69,14.4,78.3,B1F
18,0.000000,0.000000,0,-1.0,0.0,0,20211011,055959,36002,8.16,8.70,8.75,8.76,18.4,61.8,55.95,64.92,65.16,65.19,65.20,0.61,0,0,3.69,14.4,78.6,B1F
19,0.000000,0.000000,0,-1.0,0.0,0,20211011,060000,37073,8.22,8.77,8.83,8.84,18.4,61.7,56.26,65.31,65.56,65.60,65.61,0.61,0,0,3.69,14.4,78.5,B1F
20,0.000000,0.000000,0,-1.0,0.0,0,20211011,060001,38141,8.26,8.81,8.88,8.89,18.4,61.5,56.54,65.64,65.89,65.93,65.94,0.61,0,0,3.69,14.4,78.2,B1F
