STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,055934,16730,8.58,14.07,18.11,18.92,17.8,60.0,47.06,62.75,68.16,69.09,69.25,0.66,0,0,4.61,13.8,76.4,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,055935,17797,5.46,8.16,10.08,10.47,17.8,60.0,31.84,40.80,43.41,43.86,43.94,0.58,0,0,4.61,13.8,76.4,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,055936,18865,5.48,7.10,8.16,8.37,17.8,60.4,34.56,42.16,43.65,43.90,43.95,0.56,0,0,4.61,13.8,76.9,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,055937,19941,5.51,6.68,7.37,7.51,17.8,60.5,35.89,42.93,43.94,44.11,44.15,0.56,0,0,4.61,13.8,77.0,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,055938,21017,5.56,6.50,7.01,7.12,17.8,60.6,36.71,43.51,44.30,44.42,44.45,0.55,0,0,4.61,13.8,77.1,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,055939,22093,5.61,6.39,6.75,6.83,17.9,60.5,37.52,44.16,44.76,44.86,44.88,0.53,0,0,4.61,13.9,77.1,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,055941,23165,5.66,6.28,6.52,6.57,17.8,60.5,38.19,44.68,45.12,45.19,45.21,0.52,0,0,4.60,13.8,77.0,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,055942,24241,5.71,6.19,6.32,6.34,17.8,60.4,38.87,45.23,45.53,45.57,45.58,0.51,0,0,4.60,13.8,76.9,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211011,055943,25317,5.82,6.43,6.64,6.69,17.9,60.2,39.40,46.03,46.44,46.51,46.52,0.51,0,0,4.61,13.9,76.6,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20211011,055944,26389,5.94,6.28,6.28,6.28,17.9,60.1,40.88,47.28,47.42,47.44,47.45,0.49,0,0,4.61,13.9,76.6,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20211011,055945,27465,6.09,6.44,6.44,6.44,17.9,60.1,41.89,48.46,48.60,48.62,48.63,0.50,0,0,4.61,13.9,76.6,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20211011,055946,28532,6.25,6.74,6.84,6.86,17.9,60.1,42.69,49.60,49.87,49.91,49.93,0.51,0,0,4.61,13.9,76.5,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20211011,055947,29599,6.40,6.77,6.77,6.77,17.9,60.2,44.05,50.95,51.10,51.12,51.13,0.50,0,0,4.61,13.9,76.7,2E4
13,0.000000,0.000000,0,-1.0,0.0,0,20211011,055948,30673,6.73,7.20,7.27,7.29,17.9,60.3,46.09,53.46,53.71,53.74,53.75,0.51,0,0,4.61,13.9,76.8,2E4
14,0.000000,0.000000,0,-1.0,0.0,0,20211011,055949,31740,6.91,7.38,7.44,7.45,17.9,60.3,47.39,54.94,55.18,55.21,55.22,0.52,0,0,4.61,13.9,76.7,2E4
15,0.000000,0.000000,0,-1.0,0.0,0,20211011,055950,32807,7.03,7.51,7.56,7.57,17.9,60.2,48.22,55.89,56.13,56.16,56.17,0.51,0,0,4.61,13.9,76.6,2E4
16,0.000000,0.000000,0,-1.0,0.0,0,20211011,055951,33881,7.11,7.52,7.52,7.52,17.9,60.1,48.94,56.61,56.77,56.79,56.80,0.51,0,0,4.61,13.9,76.5,2E4
17,0.000000,0.000000,0,-1.0,0.0,0,20211011,055952,34948,7.19,7.61,7.61,7.61,17.9,60.0,49.48,57.24,57.41,57.43,57.44,0.51,0,0,4.61,13.9,76.4,2E4
18,0.000000,0.000000,0,-1.0,0.0,0,20211011,055954,36025,7.25,7.66,7.66,7.66,17.9,60.0,49.86,57.68,57.85,57.87,57.88,0.51,0,0,4.60,13.9,76.3,2E4
19,0.000000,0.000000,0,-1.0,0.0,0,20211011,055955,37102,7.30,7.72,7.72,7.72,18.0,59.8,50.21,58.08,58.25,58.27,58.28,0.49,0,0,4.61,14.0,76.1,2E4
20,0.000000,0.000000,0,-1.0,0.0,0,20211011,055956,38175,7.36,7.78,7.78,7.78,18.0,59.7,50.63,58.56,58.73,58.75,58.76,0.49,0,0,4.61,14.0,76.0,2E4
21,0.000000,0.000000,0,-1.0,0.0,0,20211011,055957,39252,7.43,7.86,7.86,7.86,18.0,59.6,51.10,59.12,59.29,59.31,59.32,0.49,0,0,4.61,14.0,75.8,2E4
22,0.000000,0.000000,0,-1.0,0.0,0,20211011,055958,40329,7.50,7.94,7.94,7.94,18.0,59.4,51.62,59.71,59.89,59.91,59.92,0.49,0,0,4.61,14.0,75.6,2E4
23,0.000000,0.000000,0,-1.0,0.0,0,20211011,055959,41406,7.54,7.98,7.98,7.98,18.0,59.1,51.90,60.04,60.21,60.23,60.24,0.50,0,0,4.61,14.0,75.2,2E4
24,0.000000,0.000000,0,-1.0,0.0,0,20211011,060000,42479,7.60,8.03,8.03,8.03,18.0,58.8,52.25,60.44,60.62,60.64,60.65,0.50,0,0,4.61,14.0,74.9,2E4
25,0.000000,0.000000,0,-1.0,0.0,0,20211011,060001,43546,7.63,8.07,8.07,8.07,18.0,58.6,52.49,60.72,60.90,60.92,60.93,0.50,0,0,4.61,14.0,74.6,2E4
26,0.000000,0.000000,0,-1.0,0.0,0,20211011,060002,44613,7.66,8.10,8.10,8.10,18.0,58.3,52.70,60.96,61.14,61.16,61.17,0.50,0,0,4.61,14.0,74.3,2E4
27,0.000000,0.000000,0,-1.0,0.0,0,20211011,060003,45687,7.71,8.15,8.15,8.15,18.0,58.0,53.01,61.32,61.50,61.52,61.53,0.50,0,0,4.61,14.0,73.9,2E4
28,0.000000,0.000000,0,-1.0,0.0,0,20211011,060004,46754,7.75,8.19,8.19,8.19,18.0,57.8,53.30,61.66,61.84,61.86,61.87,0.50,0,0,4.61,14.0,73.6,2E4
29,0.000000,0.000000,0,-1.0,0.0,0,20211011,060005,47821,7.77,8.21,8.21,8.21,18.0,57.6,53.44,61.81,62.00,62.02,62.03,0.50,0,0,4.61,14.0,73.3,2E4
30,0.000000,0.000000,0,-1.0,0.0,0,20211011,060007,48888,7.82,8.26,8.26,8.26,18.1,57.6,53.76,62.19,62.37,62.39,62.40,0.50,0,0,4.61,14.1,73.3,2E4
31,0.000000,0.000000,0,-1.0,0.0,0,20211011,060008,49961,7.85,8.30,8.30,8.30,18.1,57.8,53.97,62.43,62.61,62.63,62.64,0.50,0,0,4.61,14.1,73.5,2E4
32,0.000000,0.000000,0,-1.0,0.0,0,20211011,060009,51038,7.87,8.32,8.32,8.32,18.1,57.8,54.13,62.62,62.80,62.82,62.84,0.50,0,0,4.61,14.1,73.6,2E4
33,0.000000,0.000000,0,-1.0,0.0,0,20211011,060010,52115,7.91,8.37,8.37,8.37,18.1,57.8,54.42,62.95,63.14,63.16,63.17,0.50,0,0,4.61,14.1,73.5,2E4
34,0.000000,0.000000,0,-1.0,0.0,0,20211011,060011,53188,7.94,8.39,8.39,8.39,18.1,57.8,54.59,63.15,63.34,63.36,63.37,0.51,0,0,4.61,14.1,73.6,2E4
35,0.000000,0.000000,0,-1.0,0.0,0,20211011,060012,54265,7.94,8.40,8.40,8.40,18.1,58.3,54.62,63.18,63.36,63.38,63.40,0.51,0,0,4.61,14.1,74.3,2E4
36,0.000000,0.000000,0,-1.0,0.0,0,20211011,060013,55342,7.93,8.39,8.39,8.39,18.1,58.9,54.57,63.13,63.31,63.33,63.34,0.51,0,0,4.61,14.1,75.0,2E4
37,0.000000,0.000000,0,-1.0,0.0,0,20211011,060014,56419,7.93,8.38,8.38,8.38,18.1,59.2,54.52,63.07,63.26,63.28,63.29,0.51,0,0,4.61,14.1,75.4,2E4
38,0.000000,0.000000,0,-1.0,0.0,0,20211011,060015,57492,7.89,8.34,8.34,8.34,18.1,59.2,54.26,62.77,62.95,62.97,62.98,0.51,0,0,4.61,14.1,75.4,2E4
39,0.000000,0.000000,0,-1.0,0.0,0,20211011,060016,58559,7.86,8.31,8.31,8.31,18.1,59.1,54.04,62.52,62.70,62.72,62.73,0.51,0,0,4.61,14.1,75.2,2E4
40,0.000000,0.000000,0,-1.0,0.0,0,20211011,060017,59626,7.80,8.25,8.25,8.25,18.1,58.9,53.65,62.06,62.24,62.26,62.27,0.51,0,0,4.61,14.1,75.0,2E4
41,0.000000,0.000000,0,-1.0,0.0,0,20211011,060018,60700,7.77,8.22,8.22,8.22,18.1,58.7,53.48,61.86,62.04,62.06,62.07,0.50,0,0,4.61,14.1,74.8,2E4
42,0.000000,0.000000,0,-1.0,0.0,0,20211011,060020,61767,7.75,8.19,8.19,8.19,18.1,58.5,53.30,61.65,61.83,61.85,61.86,0.50,0,0,4.60,14.1,74.5,2E4
43,0.000000,0.000000,0,-1.0,0.0,0,20211011,060021,62834,7.73,8.17,8.17,8.17,18.1,58.4,53.15,61.49,61.67,61.69,61.70,0.51,0,0,4.61,14.1,74.3,2E4
44,0.000000,0.000000,0,-1.0,0.0,0,20211011,060022,63901,7.70,8.15,8.15,8.15,18.1,58.1,52.99,61.30,61.48,61.50,61.51,0.50,0,0,4.61,14.1,74.0,2E4
45,0.000000,0.000000,0,-1.0,0.0,0,20211011,060023,64974,7.72,8.16,8.16,8.16,18.1,58.0,53.08,61.40,61.58,61.60,61.61,0.51,0,0,4.61,14.1,73.9,2E4
46,0.000000,0.000000,0,-1.0,0.0,0,20211011,060024,66051,7.74,8.19,8.19,8.19,18.2,57.9,53.26,61.61,61.79,61.81,61.82,0.50,0,0,4.61,14.2,73.7,2E4
47,0.000000,0.000000,0,-1.0,0.0,0,20211011,060025,67128,7.83,8.28,8.28,8.28,18.2,57.8,53.84,62.28,62.47,62.49,62.50,0.50,0,0,4.61,14.2,73.5,2E4
48,0.000000,0.000000,0,-1.0,0.0,0,20211011,060026,68201,7.93,8.39,8.39,8.39,18.2,57.8,54.58,63.13,63.32,63.34,63.35,0.51,0,0,4.61,14.2,73.6,2E4
49,0.000000,0.000000,0,-1.0,0.0,0,20211011,060027,69278,8.00,8.46,8.46,8.46,18.2,57.9,55.06,63.69,63.87,63.89,63.91,0.51,0,0,4.61,14.2,73.7,2E4
50,0.000000,0.000000,0,-1.0,0.0,0,20211011,060028,70355,8.05,8.51,8.51,8.51,18.2,58.0,55.38,64.06,64.25,64.27,64.28,0.51,0,0,4.61,14.2,73.8,2E4
51,0.000000,0.000000,0,-1.0,0.0,0,20211011,060029,71432,8.08,8.55,8.55,8.55,18.3,58.2,55.61,64.33,64.52,64.55,64.56,0.51,0,0,4.61,14.3,74.1,2E4
52,0.000000,0.000000,0,-1.0,0.0,0,20211011,060030,72506,8.09,8.56,8.56,8.56,18.3,58.5,55.62,64.35,64.54,64.56,64.57,0.51,0,0,4.61,14.3,74.4,2E4
53,0.000000,0.000000,0,-1.0,0.0,0,20211011,060031,73573,8.05,8.52,8.52,8.52,18.3,58.7,55.34,64.03,64.22,64.24,64.25,0.51,0,0,4.61,14.3,74.7,2E4
54,0.000000,0.000000,0,-1.0,0.0,0,20211011,060033,74640,7.86,8.32,8.33,8.33,18.3,58.8,54.04,62.53,62.72,62.75,62.76,0.52,0,0,4.61,14.3,74.8,2E4
55,0.000000,0.000000,0,-1.0,0.0,0,20211011,060034,75707,7.78,8.24,8.25,8.25,18.3,59.1,53.49,61.90,62.09,62.11,62.12,0.52,0,0,4.61,14.3,75.2,2E4
56,0.000000,0.000000,0,-1.0,0.0,0,20211011,060035,76781,7.75,8.21,8.22,8.22,18.3,59.3,53.31,61.69,61.88,61.91,61.92,0.52,0,0,4.61,14.3,75.5,2E4
57,0.000000,0.000000,0,-1.0,0.0,0,20211011,060036,77848,7.71,8.17,8.18,8.18,18.3,59.5,53.01,61.34,61.53,61.56,61.57,0.52,0,0,4.61,14.3,75.7,2E4
58,0.000000,0.000000,0,-1.0,0.0,0,20211011,060037,78915,7.67,8.12,8.14,8.14,18.3,59.5,52.71,61.00,61.20,61.22,61.23,0.53,0,0,4.61,14.3,75.8,2E4
59,0.000000,0.000000,0,-1.0,0.0,0,20211011,060038,79988,7.61,8.07,8.08,8.08,18.3,59.5,52.32,60.55,60.74,60.77,60.78,0.52,0,0,4.61,14.3,75.7,2E4
60,0.000000,0.000000,0,-1.0,0.0,0,20211011,060039,81065,7.58,8.04,8.05,8.06,18.4,59.4,52.12,60.32,60.52,60.54,60.55,0.52,0,0,4.61,14.4,75.5,2E4
61,0.000000,0.000000,0,-1.0,0.0,0,20211011,060040,82142,7.54,7.99,8.01,8.01,18.3,59.3,51.81,59.97,60.16,60.19,60.20,0.52,0,0,4.61,14.3,75.4,2E4
62,0.000000,0.000000,0,-1.0,0.0,0,20211011,060041,83219,7.49,7.94,7.96,7.96,18.3,59.2,51.47,59.58,59.77,59.80,59.81,0.52,0,0,4.61,14.3,75.3,2E4
63,0.000000,0.000000,0,-1.0,0.0,0,20211011,060042,84292,7.48,7.93,7.95,7.95,18.4,59.1,51.38,59.47,59.67,59.69,59.70,0.53,0,0,4.61,14.4,75.2,2E4
64,0.000000,0.000000,0,-1.0,0.0,0,20211011,060043,85369,7.48,7.94,7.96,7.96,18.4,59.2,51.43,59.53,59.73,59.76,59.77,0.53,0,0,4.61,14.4,75.3,2E4
65,0.000000,0.000000,0,-1.0,0.0,0,20211011,060044,86446,7.50,7.96,7.98,7.98,18.4,59.4,51.55,59.67,59.87,59.89,59.91,0.53,0,0,4.61,14.4,75.5,2E4
66,0.000000,0.000000,0,-1.0,0.0,0,20211011,060044,87520,7.51,7.97,7.99,8.00,18.4,59.5,51.60,59.74,59.94,59.97,59.98,0.53,0,0,4.61,14.4,75.7,2E4
67,0.000000,0.000000,0,-1.0,0.0,0,20211011,060046,88587,7.50,7.96,7.98,7.98,18.4,59.6,51.51,59.63,59.84,59.86,59.87,0.53,0,0,4.61,14.4,75.8,2E4
68,0.000000,0.000000,0,-1.0,0.0,0,20211011,060047,89654,7.40,7.86,7.88,7.89,18.4,59.7,50.84,58.86,59.07,59.09,59.10,0.53,0,0,4.61,14.4,75.9,2E4
69,0.000000,0.000000,0,-1.0,0.0,0,20211011,060048,90721,7.33,7.79,7.81,7.82,18.4,59.6,50.37,58.32,58.52,58.55,58.56,0.53,0,0,4.61,14.4,75.8,2E4
70,0.000000,0.000000,0,-1.0,0.0,0,20211011,060050,91795,7.28,7.73,7.75,7.76,18.5,59.4,49.97,57.86,58.06,58.09,58.10,0.53,0,0,4.61,14.5,75.6,2E4
71,0.000000,0.000000,0,-1.0,0.0,0,20211011,060051,92862,7.22,7.67,7.69,7.70,18.4,59.2,49.57,57.40,57.60,57.63,57.64,0.54,0,0,4.61,14.4,75.3,2E4
72,0.000000,0.000000,0,-1.0,0.0,0,20211011,060052,93939,7.22,7.67,7.70,7.71,18.5,58.9,49.61,57.44,57.65,57.67,57.69,0.54,0,0,4.61,14.5,74.9,2E4
73,0.000000,0.000000,0,-1.0,0.0,0,20211011,060053,95012,7.25,7.70,7.73,7.74,18.5,58.6,49.79,57.65,57.86,57.88,57.89,0.54,0,0,4.61,14.5,74.5,2E4
74,0.000000,0.000000,0,-1.0,0.0,0,20211011,060054,96089,7.25,7.71,7.74,7.74,18.5,58.3,49.81,57.68,57.88,57.91,57.92,0.53,0,0,4.61,14.5,74.2,2E4
75,0.000000,0.000000,0,-1.0,0.0,0,20211011,060055,97166,7.28,7.74,7.77,7.78,18.5,58.3,50.02,57.92,58.13,58.16,58.17,0.53,0,0,4.61,14.5,74.1,2E4
76,0.000000,0.000000,0,-1.0,0.0,0,20211011,060056,98243,7.31,7.76,7.79,7.80,18.5,58.2,50.17,58.10,58.31,58.34,58.35,0.53,0,0,4.61,14.5,74.0,2E4
77,0.000000,0.000000,0,-1.0,0.0,0,20211011,060057,99316,7.34,7.80,7.83,7.83,18.5,58.1,50.39,58.35,58.56,58.58,58.60,0.53,0,0,4.61,14.5,73.9,2E4
78,0.000000,0.000000,0,-1.0,0.0,0,20211011,060057,100393,7.37,7.83,7.86,7.87,18.5,58.0,50.59,58.58,58.79,58.82,58.83,0.53,0,0,4.61,14.5,73.7,2E4
79,0.000000,0.000000,0,-1.0,0.0,0,20211011,060059,101461,7.42,7.88,7.91,7.92,18.6,57.8,50.94,58.99,59.21,59.23,59.24,0.53,0,0,4.61,14.6,73.6,2E4
80,0.000000,0.000000,0,-1.0,0.0,0,20211011,060100,102536,7.43,7.90,7.93,7.94,18.6,57.7,51.04,59.11,59.32,59.35,59.36,0.53,0,0,4.61,14.6,73.4,2E4
81,0.000000,0.000000,0,-1.0,0.0,0,20211011,060101,103604,7.39,7.86,7.89,7.90,18.5,57.6,50.77,58.80,59.01,59.03,59.05,0.53,0,0,4.61,14.5,73.2,2E4
82,0.000000,0.000000,0,-1.0,0.0,0,20211011,060102,104672,7.41,7.87,7.91,7.91,18.5,57.5,50.87,58.91,59.13,59.15,59.16,0.53,0,0,4.61,14.5,73.1,2E4
