STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,145552,16681,17.99,49.62,74.38,79.33,20.8,53.2,50.42,109.21,141.58,147.18,148.14,1.26,0,0,4.61,16.8,67.3,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,145553,17757,13.28,31.06,44.83,47.58,20.9,53.3,50.60,86.83,104.91,108.03,108.57,1.12,0,0,4.61,16.9,67.4,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,145554,18828,13.27,31.13,44.97,47.73,20.9,53.6,50.29,86.62,104.78,107.92,108.46,1.12,0,0,4.61,16.9,67.8,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,145555,19902,13.22,26.24,36.17,38.15,20.9,53.9,61.56,91.60,104.72,106.98,107.37,0.98,0,0,4.61,16.9,68.3,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,145556,20976,13.15,26.70,37.04,39.11,20.9,54.3,59.85,90.50,104.15,106.51,106.92,1.02,0,0,4.61,16.9,68.7,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,145557,22050,13.13,27.45,38.42,40.62,20.9,54.5,57.86,89.48,103.94,106.44,106.87,1.06,0,0,4.61,16.9,69.0,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,145559,23120,13.19,27.74,38.90,41.14,20.9,54.4,57.66,89.65,104.36,106.90,107.33,1.08,0,0,4.61,16.9,68.9,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,145600,24194,13.25,27.31,38.07,40.22,20.9,54.2,59.25,90.66,104.86,107.31,107.73,1.05,0,0,4.61,16.9,68.6,2E4
8,59.342725,18.047825,1,0.8,39.6,5,20211011,145601,25268,13.27,28.17,39.62,41.91,20.9,53.9,57.36,89.88,104.96,107.56,108.01,1.07,0,0,4.61,16.9,68.3,2E4
9,59.342725,18.047825,1,0.3,39.5,5,20211011,145602,26341,13.33,27.77,38.84,41.05,21.0,53.7,58.89,90.87,105.47,107.99,108.42,1.07,0,0,4.61,17.0,68.0,2E4
10,59.342725,18.047821,1,1.7,39.2,5,20211011,145603,27418,13.46,27.42,38.09,40.23,20.9,53.5,60.99,92.48,106.56,108.99,109.41,1.05,0,0,4.61,16.9,67.7,2E4
