STM32_v0.10,,,SPS30_SN:3234639E241C990E
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,060352,16635,11.65,18.40,23.31,24.30,18.0,50.5,65.18,85.79,92.58,93.77,93.98,0.67,0,0,4.60,14.0,64.3,90E
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,060353,17705,13.76,14.55,14.55,14.55,18.0,50.5,94.57,109.57,109.84,109.88,109.90,0.51,0,0,4.61,14.0,64.3,90E
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,060355,18778,13.77,14.56,14.56,14.56,18.0,50.5,94.62,109.62,109.89,109.93,109.95,0.44,0,0,4.61,14.0,64.3,90E
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,060356,19854,13.70,14.49,14.49,14.49,18.0,50.5,94.14,109.06,109.34,109.37,109.39,0.47,0,0,4.61,14.0,64.3,90E
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,060357,20928,13.59,14.37,14.37,14.37,18.0,50.5,93.41,108.21,108.49,108.52,108.54,0.51,0,0,4.61,14.0,64.3,90E
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,060358,22001,13.47,14.24,14.24,14.24,18.0,50.5,92.53,107.20,107.47,107.50,107.52,0.53,0,0,4.61,14.0,64.3,90E
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,060359,23071,13.41,14.56,14.86,14.92,18.0,50.5,91.26,106.36,107.04,107.14,107.17,0.55,0,0,4.61,14.0,64.3,90E
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,060359,24144,13.35,14.58,14.96,15.04,18.0,50.5,90.58,105.73,106.51,106.63,106.66,0.56,0,0,4.61,14.0,64.3,90E
8,0.000000,0.000000,0,-1.0,0.0,0,20211011,060400,25217,13.24,14.38,14.69,14.76,18.0,50.5,90.01,104.93,105.61,105.72,105.75,0.56,0,0,4.61,14.0,64.3,90E
9,0.000000,0.000000,0,-1.0,0.0,0,20211011,060402,26287,13.14,14.27,14.58,14.64,18.0,50.5,89.34,104.14,104.82,104.93,104.96,0.55,0,0,4.61,14.0,64.3,90E
10,0.000000,0.000000,0,-1.0,0.0,0,20211011,060403,27360,13.05,14.22,14.55,14.62,18.0,50.4,88.66,103.42,104.13,104.24,104.28,0.56,0,0,4.61,14.0,64.2,90E
11,0.000000,0.000000,0,-1.0,0.0,0,20211011,060404,28434,13.00,14.28,14.71,14.79,18.0,50.4,88.06,102.91,103.74,103.87,103.91,0.58,0,0,4.61,14.0,64.2,90E
12,0.000000,0.000000,0,-1.0,0.0,0,20211011,060405,29505,12.85,14.04,14.40,14.47,18.0,50.4,87.20,101.78,102.53,102.64,102.68,0.58,0,0,4.61,14.0,64.2,90E
13,0.000000,0.000000,0,-1.0,0.0,0,20211011,060406,30579,12.70,13.85,14.19,14.26,18.0,50.3,86.23,100.61,101.32,101.44,101.47,0.58,0,0,4.61,14.0,64.1,90E
