STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211013,065211,16717,1.52,3.58,5.17,5.49,19.8,50.1,5.75,9.93,12.02,12.38,12.44,0.68,0,0,3.43,15.8,63.6,286
1,0.000000,0.000000,0,-1.0,0.0,0,20211013,065215,21707,1.20,7.14,11.89,12.84,19.5,42.3,0.00,3.05,9.21,10.28,10.46,1.63,0,0,3.43,15.5,53.7,286
2,0.000000,0.000000,0,-1.0,0.0,0,20211013,065217,22783,1.55,3.52,5.05,5.35,19.6,40.8,6.11,10.21,12.21,12.56,12.62,1.15,0,0,3.43,15.6,51.9,286
3,0.000000,0.000000,0,-1.0,0.0,0,20211013,065218,23851,1.60,2.96,3.99,4.19,19.6,39.6,7.98,11.34,12.70,12.93,12.97,0.97,0,0,3.43,15.6,50.2,286
4,0.000000,0.000000,0,-1.0,0.0,0,20211013,065219,24919,1.59,3.06,4.18,4.41,19.5,38.4,7.60,11.10,12.58,12.83,12.88,1.01,0,0,3.43,15.5,48.8,286
5,0.000000,0.000000,0,-1.0,0.0,0,20211013,065220,25987,1.57,3.03,4.13,4.35,19.5,37.4,7.51,10.96,12.42,12.68,12.72,1.01,0,0,3.43,15.5,47.5,286
6,0.000000,0.000000,0,-1.0,0.0,0,20211013,065221,27063,1.54,2.96,4.05,4.27,19.5,36.6,7.36,10.74,12.18,12.42,12.47,1.01,0,0,3.43,15.5,46.5,286
7,0.000000,0.000000,0,-1.0,0.0,0,20211013,065222,28132,1.50,2.89,3.94,4.15,19.5,36.0,7.16,10.46,11.85,12.09,12.14,1.01,0,0,3.43,15.5,45.7,286
8,0.000000,0.000000,0,-1.0,0.0,0,20211013,065223,29201,1.47,2.81,3.82,4.03,19.5,35.6,7.07,10.27,11.61,11.85,11.89,1.06,0,0,3.43,15.5,45.1,286
9,0.000000,0.000000,0,-1.0,0.0,0,20211013,065224,30277,1.42,2.84,3.92,4.14,19.5,35.1,6.59,9.84,11.27,11.52,11.56,1.08,0,0,3.43,15.5,44.6,286
10,0.000000,0.000000,0,-1.0,0.0,0,20211013,065225,31345,1.38,2.76,3.81,4.02,19.5,34.8,6.40,9.56,10.95,11.19,11.23,1.08,0,0,3.43,15.5,44.2,286
11,0.000000,0.000000,0,-1.0,0.0,0,20211013,065226,32414,1.34,2.67,3.68,3.89,19.5,34.6,6.18,9.24,10.58,10.81,10.85,1.08,0,0,3.42,15.5,43.9,286
12,0.000000,0.000000,0,-1.0,0.0,0,20211013,065227,33483,1.28,2.69,3.77,3.98,19.5,34.4,5.63,8.73,10.15,10.40,10.44,1.11,0,0,3.43,15.5,43.6,286
13,0.000000,0.000000,0,-1.0,0.0,0,20211013,065228,34558,1.23,2.59,3.63,3.83,19.4,34.0,5.42,8.40,9.77,10.01,10.05,1.11,0,0,3.43,15.4,43.2,286
14,0.000000,0.000000,0,-1.0,0.0,0,20211013,065230,35625,1.13,2.37,3.32,3.51,19.3,33.8,4.96,7.70,8.95,9.16,9.20,1.11,0,0,3.42,15.3,42.9,286
15,0.000000,0.000000,0,-1.0,0.0,0,20211013,065231,36701,1.09,2.24,3.13,3.31,19.2,33.5,4.85,7.43,8.60,8.80,8.84,1.13,0,0,3.42,15.2,42.6,286
16,0.000000,0.000000,0,-1.0,0.0,0,20211013,065232,37777,1.08,1.84,2.40,2.52,19.2,33.3,5.79,7.85,8.60,8.73,8.75,0.96,0,0,3.43,15.2,42.3,286
17,0.000000,0.000000,0,-1.0,0.0,0,20211013,065233,38849,1.06,1.68,2.12,2.21,19.2,33.1,5.99,7.85,8.45,8.55,8.57,0.90,0,0,3.42,15.2,42.1,286
18,0.000000,0.000000,0,-1.0,0.0,0,20211013,065234,39924,1.03,1.62,2.05,2.14,19.1,33.0,5.79,7.59,8.17,8.27,8.28,0.90,0,0,3.42,15.1,41.9,286
19,0.000000,0.000000,0,-1.0,0.0,0,20211013,065235,41000,1.00,1.48,1.83,1.89,19.1,32.8,5.90,7.52,7.99,8.07,8.08,0.84,0,0,3.42,15.1,41.7,286
