STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,0,000000,16737,2.04,6.73,10.44,11.18,27.4,42.3,2.83,11.01,15.99,16.87,17.02,1.63,0,0,3.69,23.4,52.9,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,0,000000,19716,0.56,0.59,0.59,0.59,27.3,41.7,3.85,4.46,4.47,4.47,4.47,0.28,0,0,3.70,23.3,52.2,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,0,000000,20793,0.55,0.59,0.59,0.59,27.4,42.1,3.81,4.42,4.43,4.43,4.43,0.28,0,0,3.70,23.4,52.7,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,0,000000,21862,0.54,0.58,0.58,0.58,27.3,42.3,3.74,4.34,4.35,4.35,4.35,0.28,0,0,3.69,23.3,53.0,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,0,000000,22931,0.53,0.56,0.56,0.56,27.4,42.1,3.65,4.23,4.24,4.24,4.24,0.28,0,0,3.70,23.4,52.6,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,0,000000,24000,0.51,0.54,0.54,0.54,27.4,41.9,3.54,4.10,4.11,4.11,4.11,0.28,0,0,3.69,23.4,52.4,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,0,000000,25076,0.50,0.52,0.52,0.52,27.4,42.1,3.41,3.95,3.96,3.96,3.96,0.28,0,0,3.69,23.4,52.7,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,0,000000,26145,0.48,0.50,0.50,0.50,27.4,42.4,3.27,3.79,3.80,3.80,3.80,0.28,0,0,3.69,23.4,53.0,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,0,000000,27214,0.46,0.48,0.48,0.48,27.4,40.7,3.13,3.63,3.64,3.64,3.64,0.28,0,0,3.69,23.4,51.0,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,0,000000,28283,0.43,0.46,0.46,0.46,27.4,38.6,2.98,3.46,3.47,3.47,3.47,0.28,0,0,3.69,23.4,48.3,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,0,000000,29359,0.41,0.44,0.44,0.44,27.3,36.8,2.83,3.28,3.29,3.29,3.29,0.28,0,0,3.70,23.3,46.0,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,0,000000,30429,0.39,0.41,0.41,0.41,27.3,35.3,2.69,3.11,3.12,3.12,3.12,0.28,0,0,3.69,23.3,44.2,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,0,151720,31499,0.37,0.39,0.39,0.39,27.3,34.2,2.54,2.94,2.95,2.95,2.95,0.28,0,0,3.70,23.3,42.8,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,0,151721,32569,0.48,1.11,1.60,1.69,27.3,33.3,1.79,3.09,3.75,3.87,3.89,0.68,0,0,3.69,23.3,41.7,B1F
14,0.000000,0.000000,0,-1.0,0.0,0,0,151722,33646,0.45,1.06,1.52,1.62,27.2,32.6,1.71,2.95,3.58,3.69,3.71,0.68,0,0,3.69,23.2,40.8,B1F
15,0.000000,0.000000,0,-1.0,0.0,0,0,151723,34716,0.41,0.95,1.37,1.46,27.2,32.1,1.54,2.66,3.23,3.33,3.35,0.68,0,0,3.69,23.2,40.2,B1F
16,0.000000,0.000000,0,-1.0,0.0,0,0,151725,35786,0.39,0.90,1.30,1.38,27.3,31.8,1.46,2.52,3.06,3.15,3.17,0.68,0,0,3.69,23.3,39.8,B1F
17,0.000000,0.000000,0,-1.0,0.0,0,0,151726,36857,0.41,1.10,1.64,1.75,27.3,31.6,1.20,2.52,3.24,3.37,3.39,0.95,0,0,3.69,23.3,39.6,B1F
