STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,0,000000,16710,1.32,4.84,7.63,8.19,26.1,33.7,0.84,6.63,10.30,10.93,11.03,1.63,0,0,3.78,22.1,42.3,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,0,000000,18732,1.32,4.84,7.63,8.19,26.1,33.8,0.84,6.63,10.30,10.93,11.03,1.63,0,0,3.78,22.1,42.4,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,0,000000,19801,1.31,4.79,7.56,8.11,26.1,33.4,0.83,6.56,10.19,10.82,10.92,1.63,0,0,3.78,22.1,41.9,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,0,000000,20873,1.28,4.71,7.42,7.96,26.1,33.1,0.81,6.44,10.01,10.62,10.72,1.63,0,0,3.78,22.1,41.5,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,0,000000,21945,1.25,4.59,7.23,7.76,26.1,33.3,0.79,6.28,9.76,10.36,10.45,1.63,0,0,3.78,22.1,41.8,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,0,000000,23016,1.21,4.45,7.01,7.52,26.1,33.4,0.77,6.09,9.46,10.04,10.13,1.63,0,0,3.78,22.1,41.9,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,0,000000,24083,1.14,4.01,6.28,6.73,26.1,33.8,1.14,5.93,8.91,9.42,9.51,1.63,0,0,3.78,22.1,42.3,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,0,000000,25152,1.12,3.92,6.14,6.58,26.1,33.7,1.12,5.80,8.72,9.22,9.30,1.63,0,0,3.78,22.1,42.3,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,0,000000,26221,1.08,3.81,5.97,6.40,26.1,33.3,1.09,5.64,8.48,8.97,9.05,1.63,0,0,3.78,22.1,41.8,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,0,000000,27290,1.05,3.69,5.77,6.19,26.1,33.3,1.05,5.45,8.20,8.67,8.75,1.63,0,0,3.78,22.1,41.8,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,0,000000,28366,0.87,2.52,3.82,4.08,26.1,33.8,2.12,5.10,6.81,7.10,7.15,1.20,0,0,3.78,22.1,42.4,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,0,000000,29436,0.88,2.69,4.11,4.40,26.1,34.2,1.86,5.04,6.92,7.24,7.29,1.28,0,0,3.78,22.1,42.9,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,0,000000,30506,0.86,2.62,4.01,4.29,26.1,34.6,1.81,4.91,6.74,7.05,7.11,1.28,0,0,3.78,22.1,43.4,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,0,000000,31576,0.83,2.54,3.88,4.15,26.1,34.6,1.75,4.76,6.53,6.83,6.88,1.28,0,0,3.77,22.1,43.4,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,0,000000,32653,0.77,2.35,3.59,3.84,26.2,34.6,1.62,4.40,6.04,6.32,6.37,1.28,0,0,3.77,22.2,43.4,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,0,000000,33723,0.74,2.24,3.43,3.67,26.1,34.9,1.55,4.21,5.77,6.04,6.08,1.28,0,0,3.77,22.1,43.8,5A1
