STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211004,061114,16750,21.98,42.60,58.27,61.40,21.3,58.3,104.81,153.44,174.16,177.74,178.36,1.07,0,0,3.71,17.3,73.7,286
1,0.000000,0.000000,0,-1.0,0.0,0,20211004,061115,17826,23.30,38.21,49.19,51.39,21.3,58.3,127.74,170.34,185.06,187.58,188.03,0.80,0,0,3.71,17.3,73.8,286
2,0.000000,0.000000,0,-1.0,0.0,0,20211004,061116,18898,23.61,34.25,41.77,43.28,21.3,58.3,140.13,177.55,187.80,189.55,189.87,0.78,0,0,3.70,17.3,73.8,286
3,0.000000,0.000000,0,-1.0,0.0,0,20211004,061117,19973,23.53,33.78,40.97,42.41,21.3,58.3,140.56,177.38,187.22,188.90,189.20,0.76,0,0,3.70,17.3,73.7,286
4,0.000000,0.000000,0,-1.0,0.0,0,20211004,061118,21048,23.58,31.83,37.40,38.52,21.3,58.2,145.72,180.02,187.77,189.08,189.32,0.74,0,0,3.71,17.3,73.7,286
5,0.000000,0.000000,0,-1.0,0.0,0,20211004,061118,22119,23.44,31.89,37.63,38.78,21.3,58.2,144.27,178.69,186.64,187.99,188.24,0.74,0,0,3.71,17.3,73.6,286
6,0.000000,0.000000,0,-1.0,0.0,0,20211004,061120,23194,23.34,31.09,36.28,37.32,21.3,58.1,145.17,178.60,185.84,187.06,187.29,0.72,0,0,3.70,17.3,73.5,286
7,0.000000,0.000000,0,-1.0,0.0,0,20211004,061121,24270,23.29,30.20,34.71,35.61,21.3,58.1,146.85,179.14,185.50,186.58,186.78,0.69,0,0,3.70,17.3,73.5,286
8,0.000000,0.000000,0,-1.0,0.0,0,20211004,061122,25345,23.12,29.99,34.48,35.38,21.3,58.1,145.74,177.81,184.14,185.21,185.41,0.69,0,0,3.70,17.3,73.5,286
9,0.000000,0.000000,0,-1.0,0.0,0,20211004,061123,26417,22.94,29.54,33.81,34.66,21.3,58.1,145.17,176.71,182.75,183.77,183.96,0.69,0,0,3.70,17.3,73.5,286
10,0.000000,0.000000,0,-1.0,0.0,0,20211004,061124,27492,22.83,28.77,32.51,33.26,21.3,58.1,145.95,176.52,181.88,182.78,182.96,0.67,0,0,3.70,17.3,73.5,286
11,0.000000,0.000000,0,-1.0,0.0,0,20211004,061125,28569,22.65,28.58,32.33,33.08,21.3,58.1,144.74,175.13,180.49,181.39,181.56,0.68,0,0,3.71,17.3,73.5,286
12,0.000000,0.000000,0,-1.0,0.0,0,20211004,061126,29641,22.53,29.03,33.24,34.08,21.4,58.1,142.51,173.50,179.46,180.46,180.66,0.70,0,0,3.70,17.4,73.5,286
13,0.000000,0.000000,0,-1.0,0.0,0,20211004,061128,30717,22.49,29.19,33.57,34.45,21.4,58.1,141.72,172.94,179.11,180.15,180.35,0.70,0,0,3.70,17.4,73.5,286
14,0.000000,0.000000,0,-1.0,0.0,0,20211004,061129,31793,22.43,29.17,33.59,34.47,21.4,58.1,141.20,172.42,178.64,179.69,179.88,0.70,0,0,3.70,17.4,73.5,286
15,0.000000,0.000000,0,-1.0,0.0,0,20211004,061130,32869,22.37,28.67,32.74,33.55,21.4,58.0,141.82,172.41,178.17,179.14,179.33,0.69,0,0,3.70,17.4,73.4,286
16,0.000000,0.000000,0,-1.0,0.0,0,20211004,061131,33941,22.32,28.42,32.32,33.10,21.4,58.0,142.00,172.27,177.82,178.76,178.94,0.68,0,0,3.70,17.4,73.4,286
17,0.000000,0.000000,0,-1.0,0.0,0,20211004,061131,35017,22.23,28.21,32.02,32.78,21.4,57.9,141.64,171.67,177.10,178.01,178.19,0.68,0,0,3.70,17.4,73.2,286
18,0.000000,0.000000,0,-1.0,0.0,0,20211004,061133,36093,22.20,27.84,31.38,32.08,21.4,57.8,142.26,171.83,176.90,177.75,177.92,0.68,0,0,3.70,17.4,73.1,286
19,0.000000,0.000000,0,-1.0,0.0,0,20211004,061134,37165,22.14,27.77,31.29,31.99,21.4,57.8,141.89,171.38,176.44,177.28,177.45,0.68,0,0,3.70,17.4,73.1,286
20,0.000000,0.000000,0,-1.0,0.0,0,20211004,061135,38242,22.15,27.78,31.30,32.01,21.5,57.8,141.90,171.40,176.46,177.31,177.48,0.68,0,0,3.70,17.5,73.1,286
21,0.000000,0.000000,0,-1.0,0.0,0,20211004,061136,39319,22.15,27.80,31.34,32.05,21.5,57.8,141.89,171.41,176.50,177.35,177.51,0.68,0,0,3.70,17.5,73.1,286
22,0.000000,0.000000,0,-1.0,0.0,0,20211004,061137,40392,22.05,27.69,31.23,31.93,21.5,57.8,141.20,170.60,175.68,176.53,176.70,0.68,0,0,3.70,17.5,73.1,286
23,0.000000,0.000000,0,-1.0,0.0,0,20211004,061138,41469,21.93,27.54,31.06,31.76,21.5,57.7,140.42,169.67,174.72,175.57,175.73,0.68,0,0,3.70,17.5,73.0,286
24,0.000000,0.000000,0,-1.0,0.0,0,20211004,061139,42545,21.81,27.39,30.88,31.58,21.5,57.8,139.68,168.77,173.79,174.63,174.79,0.68,0,0,3.70,17.5,73.1,286
25,0.000000,0.000000,0,-1.0,0.0,0,20211004,061140,43621,21.61,27.13,30.59,31.28,21.5,57.8,138.38,167.19,172.16,173.00,173.16,0.68,0,0,3.70,17.5,73.1,286
26,0.000000,0.000000,0,-1.0,0.0,0,20211004,061141,44693,21.43,26.88,30.30,30.98,21.5,57.8,137.30,165.85,170.76,171.58,171.74,0.67,0,0,3.70,17.5,73.1,286
27,0.000000,0.000000,0,-1.0,0.0,0,20211004,061144,45769,21.29,26.68,30.04,30.72,21.5,57.7,136.48,164.80,169.64,170.45,170.61,0.66,0,0,3.70,17.5,73.0,286
28,0.000000,0.000000,0,-1.0,0.0,0,20211004,061145,46845,21.27,26.61,29.95,30.62,21.5,57.7,136.44,164.69,169.49,170.29,170.45,0.67,0,0,3.70,17.5,73.0,286
29,0.000000,0.000000,0,-1.0,0.0,0,20211004,061145,47917,21.25,26.56,29.87,30.53,21.5,57.7,136.37,164.55,169.32,170.12,170.27,0.67,0,0,3.70,17.5,72.9,286
30,0.000000,0.000000,0,-1.0,0.0,0,20211004,061147,48993,21.17,26.43,29.70,30.36,21.5,57.6,135.93,163.97,168.68,169.47,169.63,0.67,0,0,3.70,17.5,72.9,286
31,0.000000,0.000000,0,-1.0,0.0,0,20211004,061148,50069,21.06,26.26,29.50,30.15,21.5,57.6,135.29,163.14,167.80,168.58,168.74,0.67,0,0,3.70,17.5,72.8,286
32,0.000000,0.000000,0,-1.0,0.0,0,20211004,061149,51142,20.85,25.97,29.15,29.78,21.5,57.6,134.03,161.57,166.15,166.92,167.06,0.66,0,0,3.70,17.5,72.8,286
33,0.000000,0.000000,0,-1.0,0.0,0,20211004,061150,52219,20.67,25.71,28.83,29.45,21.5,57.6,132.98,160.24,164.74,165.49,165.64,0.66,0,0,3.70,17.5,72.8,286
34,0.000000,0.000000,0,-1.0,0.0,0,20211004,061151,53296,20.44,25.38,28.42,29.03,21.5,57.5,131.59,158.48,162.89,163.62,163.77,0.65,0,0,3.70,17.5,72.7,286
35,0.000000,0.000000,0,-1.0,0.0,0,20211004,061152,54373,20.21,25.05,28.03,28.63,21.6,57.5,130.23,156.77,161.08,161.80,161.94,0.65,0,0,3.70,17.6,72.7,286
36,0.000000,0.000000,0,-1.0,0.0,0,20211004,061153,55446,19.99,24.73,27.64,28.22,21.6,57.5,128.87,155.05,159.27,159.97,160.11,0.66,0,0,3.70,17.6,72.7,286
37,0.000000,0.000000,0,-1.0,0.0,0,20211004,061154,56523,19.79,24.44,27.29,27.86,21.6,57.6,127.74,153.61,157.74,158.43,158.56,0.65,0,0,3.70,17.6,72.8,286
38,0.000000,0.000000,0,-1.0,0.0,0,20211004,061155,57600,19.34,23.80,26.51,27.05,21.6,57.6,124.98,150.15,154.10,154.76,154.89,0.66,0,0,3.70,17.6,72.8,286
39,0.000000,0.000000,0,-1.0,0.0,0,20211004,061156,58672,19.16,23.55,26.21,26.74,21.6,57.6,123.94,148.84,152.72,153.37,153.50,0.66,0,0,3.70,17.6,72.8,286
40,0.000000,0.000000,0,-1.0,0.0,0,20211004,061158,59748,19.01,23.34,25.95,26.47,21.7,57.6,123.06,147.72,151.54,152.17,152.30,0.66,0,0,3.70,17.7,72.9,286
41,0.000000,0.000000,0,-1.0,0.0,0,20211004,061158,60824,18.86,23.12,25.69,26.20,21.6,57.6,122.14,146.57,150.32,150.95,151.07,0.67,0,0,3.70,17.6,72.9,286
42,0.000000,0.000000,0,-1.0,0.0,0,20211004,061200,61896,18.66,22.83,25.35,25.85,21.7,57.6,120.91,145.02,148.70,149.31,149.43,0.66,0,0,3.70,17.7,72.8,286
43,0.000000,0.000000,0,-1.0,0.0,0,20211004,061201,62972,18.53,22.65,25.13,25.62,21.7,57.6,120.14,144.06,147.69,148.29,148.41,0.66,0,0,3.70,17.7,72.8,286
44,0.000000,0.000000,0,-1.0,0.0,0,20211004,061202,64048,18.38,22.44,24.87,25.36,21.7,57.6,119.27,142.96,146.52,147.11,147.23,0.66,0,0,3.70,17.7,72.8,286
