STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,145553,16691,21.94,33.15,41.20,42.81,21.1,53.6,127.13,163.60,174.49,176.36,176.69,0.81,0,0,3.64,17.1,67.9,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,145554,17767,17.20,18.19,18.19,18.19,21.1,54.2,118.31,136.85,137.26,137.30,137.32,0.52,0,0,3.64,17.1,68.6,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,145555,18839,17.82,23.19,26.71,27.42,21.1,54.7,112.15,136.96,141.92,142.75,142.91,0.64,0,0,3.64,17.1,69.3,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,145556,19914,18.38,27.69,34.38,35.71,21.1,55.1,106.65,137.11,146.16,147.70,147.98,0.78,0,0,3.64,17.1,69.8,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,145557,20989,18.28,27.57,34.24,35.58,21.1,55.3,106.00,136.33,145.36,146.90,147.18,0.82,0,0,3.64,17.1,69.9,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,145558,22060,18.45,29.09,36.85,38.41,21.1,55.2,103.92,136.16,146.60,148.39,148.71,0.86,0,0,3.64,17.1,69.9,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,145600,23135,18.41,29.45,37.53,39.15,21.1,54.9,102.73,135.44,146.29,148.15,148.48,0.87,0,0,3.64,17.1,69.5,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,145601,24210,18.40,30.08,38.69,40.41,21.1,54.6,101.10,134.63,146.15,148.13,148.48,0.89,0,0,3.63,17.1,69.1,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20211011,145602,25285,18.35,30.58,39.63,41.44,21.1,54.3,99.42,133.60,145.70,147.78,148.15,0.89,0,0,3.64,17.1,68.7,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20211011,145603,26355,18.33,31.23,40.82,42.74,21.1,54.0,97.68,132.70,145.50,147.70,148.09,0.91,0,0,3.64,17.1,68.3,1ED
