STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,0,061114,16720,20.33,21.50,21.50,21.50,21.0,60.0,139.72,161.88,162.28,162.34,162.37,0.55,0,0,3.72,17.0,76.0,31A
1,0.000000,0.000000,0,-1.0,0.0,0,0,061114,17790,16.10,24.11,29.84,30.99,21.0,60.0,93.27,120.03,128.00,129.40,129.64,0.87,0,0,3.72,17.0,75.9,31A
2,0.000000,0.000000,0,-1.0,0.0,0,0,061116,18860,15.92,22.53,27.13,28.05,21.0,59.9,95.49,120.25,126.71,127.84,128.04,0.86,0,0,3.72,17.0,75.9,31A
3,0.000000,0.000000,0,-1.0,0.0,0,0,061117,19933,15.72,21.43,25.33,26.11,21.0,59.9,96.21,119.61,125.12,126.08,126.25,0.81,0,0,3.72,17.0,75.9,31A
4,0.000000,0.000000,0,-1.0,0.0,0,0,061118,21006,15.63,21.72,25.92,26.76,21.0,59.9,94.70,118.49,124.40,125.44,125.62,0.81,0,0,3.72,17.0,75.8,31A
5,0.000000,0.000000,0,-1.0,0.0,0,0,061119,22079,15.49,20.38,23.62,24.27,21.0,59.9,96.65,118.74,123.37,124.17,124.32,0.74,0,0,3.71,17.0,75.8,31A
6,0.000000,0.000000,0,-1.0,0.0,0,0,061120,23148,15.38,19.13,21.45,21.92,21.0,59.8,98.68,119.18,122.58,123.16,123.28,0.71,0,0,3.72,17.0,75.8,31A
7,0.000000,0.000000,0,-1.0,0.0,0,0,061120,24221,15.37,19.09,21.39,21.85,21.1,59.8,98.66,119.10,122.48,123.06,123.17,0.74,0,0,3.72,17.1,75.7,31A
8,0.000000,0.000000,0,-1.0,0.0,0,0,061122,25294,15.41,18.78,20.79,21.19,21.1,59.8,99.79,119.81,122.80,123.32,123.42,0.71,0,0,3.72,17.1,75.7,31A
9,0.000000,0.000000,0,-1.0,0.0,0,0,061123,26363,15.51,19.01,21.11,21.54,21.1,59.8,100.21,120.50,123.63,124.16,124.27,0.71,0,0,3.71,17.1,75.7,31A
10,0.000000,0.000000,0,-1.0,0.0,0,0,061124,27437,15.54,18.92,20.94,21.35,21.2,59.8,100.65,120.83,123.83,124.35,124.45,0.70,0,0,3.72,17.2,75.6,31A
11,0.000000,0.000000,0,-1.0,0.0,0,0,061125,28512,15.53,19.30,21.62,22.09,21.1,59.7,99.69,120.35,123.76,124.35,124.46,0.72,0,0,3.72,17.1,75.6,31A
12,0.000000,0.000000,0,-1.0,0.0,0,0,061126,29586,15.45,19.36,21.81,22.30,21.1,59.7,98.76,119.54,123.11,123.73,123.85,0.72,0,0,3.71,17.1,75.5,31A
13,0.000000,0.000000,0,-1.0,0.0,0,0,061127,30656,15.34,19.36,21.90,22.41,21.1,59.7,97.73,118.53,122.23,122.87,122.99,0.73,0,0,3.72,17.1,75.5,31A
14,0.000000,0.000000,0,-1.0,0.0,0,0,061129,31730,15.09,18.97,21.41,21.90,21.1,59.6,96.28,116.64,120.20,120.81,120.93,0.72,0,0,3.72,17.1,75.5,31A
15,0.000000,0.000000,0,-1.0,0.0,0,0,061130,32804,14.95,18.62,20.90,21.35,21.2,59.6,95.86,115.81,119.15,119.72,119.83,0.72,0,0,3.72,17.2,75.4,31A
16,0.000000,0.000000,0,-1.0,0.0,0,20211004,061131,33874,14.80,18.47,20.76,21.21,21.2,59.6,94.82,114.62,117.96,118.54,118.65,0.72,0,0,3.72,17.2,75.4,31A
17,0.000000,0.000000,0,-1.0,0.0,0,20211004,061132,34944,14.68,18.38,20.70,21.17,21.2,59.5,93.83,113.55,116.94,117.53,117.64,0.72,0,0,3.72,17.2,75.3,31A
18,0.000000,0.000000,0,-1.0,0.0,0,20211004,061133,36014,14.56,18.13,20.35,20.79,21.2,59.5,93.34,112.76,116.01,116.57,116.68,0.72,0,0,3.72,17.2,75.3,31A
19,0.000000,0.000000,0,-1.0,0.0,0,20211004,061133,37084,14.47,18.10,20.36,20.81,21.2,59.5,92.56,111.96,115.27,115.85,115.95,0.71,0,0,3.72,17.2,75.2,31A
20,0.000000,0.000000,0,-1.0,0.0,0,20211004,061135,38161,14.37,18.07,20.39,20.86,21.3,59.4,91.74,111.14,114.53,115.11,115.22,0.71,0,0,3.72,17.3,75.2,31A
21,0.000000,0.000000,0,-1.0,0.0,0,20211004,061136,39231,14.30,17.99,20.30,20.77,21.3,59.4,91.26,110.57,113.95,114.53,114.64,0.72,0,0,3.72,17.3,75.1,31A
22,0.000000,0.000000,0,-1.0,0.0,0,20211004,061137,40301,14.25,18.09,20.53,21.02,21.2,59.3,90.57,110.03,113.57,114.18,114.29,0.72,0,0,3.72,17.2,75.1,31A
23,0.000000,0.000000,0,-1.0,0.0,0,20211004,061138,41378,14.20,18.00,20.43,20.91,21.3,59.3,90.21,109.58,113.09,113.70,113.82,0.73,0,0,3.72,17.3,75.0,31A
24,0.000000,0.000000,0,-1.0,0.0,0,20211004,061139,42448,14.08,17.82,20.18,20.65,21.3,59.3,89.63,108.78,112.22,112.81,112.92,0.73,0,0,3.72,17.3,75.0,31A
25,0.000000,0.000000,0,-1.0,0.0,0,20211004,061139,43518,13.95,17.65,19.99,20.46,21.3,59.2,88.80,107.77,111.17,111.76,111.87,0.73,0,0,3.72,17.3,74.9,31A
26,0.000000,0.000000,0,-1.0,0.0,0,20211004,061140,44595,13.80,17.45,19.76,20.22,21.3,59.2,87.87,106.62,109.98,110.56,110.67,0.72,0,0,3.72,17.3,74.9,31A
27,0.000000,0.000000,0,-1.0,0.0,0,20211004,061142,45665,13.57,17.11,19.36,19.80,21.3,59.2,86.43,104.82,108.08,108.65,108.75,0.71,0,0,3.72,17.3,74.9,31A
28,0.000000,0.000000,0,-1.0,0.0,0,20211004,061143,46735,13.43,16.93,19.14,19.58,21.3,59.1,85.64,103.83,107.04,107.60,107.70,0.72,0,0,3.72,17.3,74.8,31A
29,0.000000,0.000000,0,-1.0,0.0,0,20211004,061144,47805,13.30,16.74,18.91,19.35,21.3,59.1,84.81,102.79,105.95,106.50,106.60,0.71,0,0,3.72,17.3,74.8,31A
30,0.000000,0.000000,0,-1.0,0.0,0,20211004,061145,48882,13.21,16.62,18.76,19.19,21.3,59.1,84.30,102.15,105.27,105.81,105.91,0.72,0,0,3.72,17.3,74.8,31A
31,0.000000,0.000000,0,-1.0,0.0,0,20211004,061146,49952,13.10,16.46,18.58,19.00,21.3,59.0,83.62,101.29,104.37,104.91,105.01,0.72,0,0,3.72,17.3,74.7,31A
32,0.000000,0.000000,0,-1.0,0.0,0,20211004,061148,51022,12.97,16.28,18.36,18.78,21.4,59.0,82.81,100.28,103.32,103.84,103.94,0.71,0,0,3.72,17.4,74.7,31A
33,0.000000,0.000000,0,-1.0,0.0,0,20211004,061149,52099,12.87,16.14,18.19,18.60,21.4,59.0,82.21,99.53,102.52,103.04,103.13,0.71,0,0,3.72,17.4,74.6,31A
34,0.000000,0.000000,0,-1.0,0.0,0,20211004,061150,53168,12.77,15.99,18.01,18.41,21.4,59.0,81.62,98.78,101.72,102.23,102.33,0.71,0,0,3.72,17.4,74.6,31A
35,0.000000,0.000000,0,-1.0,0.0,0,20211004,061151,54237,12.67,15.85,17.84,18.23,21.4,58.9,81.09,98.09,100.99,101.49,101.58,0.71,0,0,3.72,17.4,74.5,31A
36,0.000000,0.000000,0,-1.0,0.0,0,20211004,061152,55306,12.59,15.72,17.68,18.07,21.4,58.8,80.60,97.45,100.31,100.80,100.90,0.71,0,0,3.72,17.4,74.4,31A
37,0.000000,0.000000,0,-1.0,0.0,0,20211004,061152,56382,12.47,15.55,17.47,17.85,21.4,58.8,79.89,96.55,99.36,99.84,99.93,0.71,0,0,3.72,17.4,74.4,31A
38,0.000000,0.000000,0,-1.0,0.0,0,20211004,061153,57459,12.32,15.35,17.22,17.60,21.4,58.8,79.00,95.45,98.20,98.67,98.76,0.71,0,0,3.72,17.4,74.3,31A
39,0.000000,0.000000,0,-1.0,0.0,0,20211004,061155,58526,12.16,15.13,16.96,17.32,21.5,58.8,78.04,94.24,96.93,97.39,97.48,0.70,0,0,3.72,17.5,74.3,31A
40,0.000000,0.000000,0,-1.0,0.0,0,20211004,061156,59599,11.97,14.87,16.65,17.01,21.4,58.7,76.88,92.80,95.42,95.87,95.96,0.71,0,0,3.72,17.4,74.2,31A
41,0.000000,0.000000,0,-1.0,0.0,0,20211004,061157,60666,11.55,14.30,15.98,16.32,21.5,58.7,74.26,89.55,92.03,92.46,92.54,0.70,0,0,3.72,17.5,74.2,31A
42,0.000000,0.000000,0,-1.0,0.0,0,20211004,061158,61733,11.31,13.98,15.61,15.94,21.5,58.7,72.76,87.71,90.12,90.53,90.61,0.71,0,0,3.72,17.5,74.2,31A
43,0.000000,0.000000,0,-1.0,0.0,0,20211004,061159,62800,11.03,13.62,15.20,15.51,21.5,58.6,71.02,85.58,87.91,88.31,88.39,0.70,0,0,3.72,17.5,74.1,31A
44,59.308911,18.075747,1,0.0,46.1,8,20211004,061201,63873,10.76,13.26,14.79,15.09,21.5,58.6,69.33,83.50,85.75,86.14,86.22,0.70,0,0,3.72,17.5,74.1,31A
45,59.308911,18.075747,1,0.1,46.1,8,20211004,061202,64942,10.49,12.91,14.38,14.68,21.5,58.5,67.67,81.47,83.64,84.01,84.09,0.70,0,0,3.72,17.5,74.0,31A
46,59.308911,18.075745,1,0.0,46.2,8,20211004,061203,66011,10.22,12.56,13.97,14.26,21.5,58.5,65.96,79.38,81.47,81.83,81.90,0.70,0,0,3.72,17.5,74.0,31A
47,59.308911,18.075745,1,0.1,46.3,8,20211004,061204,67087,9.96,12.22,13.58,13.85,21.6,58.4,64.33,77.37,79.39,79.74,79.81,0.69,0,0,3.72,17.6,73.9,31A
48,59.308911,18.075747,1,0.0,46.7,8,20211004,061205,68155,9.70,11.88,13.19,13.45,21.6,58.4,62.67,75.35,77.29,77.63,77.69,0.70,0,0,3.72,17.6,73.8,31A
49,59.308911,18.075747,1,0.0,46.7,8,20211004,061205,69222,9.48,11.59,12.86,13.11,21.6,58.4,61.29,73.65,75.53,75.86,75.92,0.69,0,0,3.72,17.6,73.8,31A
50,59.308911,18.075747,1,0.2,47.1,8,20211004,061206,70296,9.26,11.30,12.53,12.77,21.6,58.4,59.91,71.97,73.79,74.10,74.16,0.70,0,0,3.72,17.6,73.8,31A
51,59.308911,18.075749,1,0.7,47.5,8,20211004,061208,71363,9.02,11.00,12.18,12.41,21.6,58.3,58.43,70.15,71.91,72.21,72.27,0.69,0,0,3.72,17.6,73.7,31A
52,59.308919,18.075724,1,0.4,48.1,8,20211004,061209,72440,8.73,10.63,11.75,11.98,21.6,58.3,56.59,67.91,69.59,69.88,69.94,0.69,0,0,3.72,17.6,73.7,31A
53,59.308919,18.075726,1,4.9,48.0,8,20211004,061210,73508,8.49,10.31,11.39,11.61,21.6,58.2,55.04,66.03,67.65,67.92,67.98,0.69,0,0,3.72,17.6,73.5,31A
54,59.308919,18.075718,1,0.0,47.3,8,20211004,061211,74583,8.18,9.93,10.96,11.17,21.6,58.2,53.12,63.70,65.24,65.50,65.55,0.69,0,0,3.72,17.6,73.6,31A
55,59.308919,18.075718,1,0.0,47.3,8,20211004,061212,75660,7.58,9.17,10.10,10.29,21.6,58.2,49.26,59.02,60.42,60.66,60.70,0.69,0,0,3.72,17.6,73.5,31A
56,59.308919,18.075718,1,0.0,47.3,8,20211004,061214,76738,7.34,8.87,9.76,9.94,21.7,58.1,47.76,57.19,58.53,58.76,58.81,0.69,0,0,3.72,17.7,73.5,31A
57,59.308919,18.075720,1,0.0,47.1,8,20211004,061215,77809,7.09,8.55,9.40,9.57,21.7,58.1,46.14,55.24,56.52,56.74,56.78,0.69,0,0,3.72,17.7,73.5,31A
58,59.308919,18.075720,1,0.0,47.1,8,20211004,061215,78884,6.84,8.24,9.05,9.22,21.7,58.1,44.57,53.33,54.55,54.76,54.80,0.69,0,0,3.72,17.7,73.4,31A
59,59.308919,18.075720,1,0.0,47.0,8,20211004,061216,79959,6.63,7.98,8.76,8.91,21.7,58.1,43.23,51.71,52.88,53.08,53.12,0.69,0,0,3.72,17.7,73.4,31A
60,59.308919,18.075720,1,0.0,46.8,8,20211004,061217,81034,6.43,7.73,8.48,8.63,21.7,58.1,41.93,50.15,51.27,51.47,51.51,0.69,0,0,3.72,17.7,73.4,31A
61,59.308919,18.075720,1,0.0,46.7,8,20211004,061218,82104,6.30,7.56,8.29,8.43,21.7,58.0,41.09,49.13,50.22,50.41,50.45,0.69,0,0,3.72,17.7,73.3,31A
62,59.308919,18.075720,1,0.0,46.5,8,20211004,061219,83179,6.22,7.46,8.17,8.31,21.7,58.0,40.58,48.50,49.58,49.76,49.80,0.69,0,0,3.72,17.7,73.3,31A
