STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211013,072400,6337,12.36,24.11,33.04,34.82,19.2,44.6,58.57,86.11,97.93,99.96,100.31,1.00,0,0,3.67,15.2,56.7,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211013,072401,7404,12.36,24.11,33.04,34.82,19.2,44.9,58.57,86.11,97.93,99.96,100.31,1.00,0,0,3.67,15.2,57.1,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211013,072402,8477,12.36,24.11,33.04,34.82,19.2,45.0,58.57,86.11,97.93,99.96,100.31,1.00,0,0,3.67,15.2,57.1,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211013,072403,9553,12.36,24.11,33.04,34.82,19.2,44.7,58.57,86.11,97.93,99.96,100.31,1.00,0,0,3.68,15.2,56.8,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211013,072405,10629,12.36,24.11,33.04,34.82,19.2,44.5,58.57,86.11,97.93,99.96,100.31,1.00,0,0,3.67,15.2,56.5,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211013,072406,11706,12.36,24.11,33.04,34.82,19.3,44.2,58.57,86.11,97.93,99.96,100.31,1.00,0,0,3.67,15.3,56.2,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211013,072407,12779,12.36,24.11,33.04,34.82,19.3,44.0,58.57,86.11,97.93,99.96,100.31,1.00,0,0,3.66,15.3,55.9,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211013,072408,13856,12.36,24.11,33.04,34.82,19.3,44.1,58.57,86.11,97.93,99.96,100.31,1.00,0,0,3.67,15.3,56.1,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211013,072409,14933,12.36,24.11,33.04,34.82,19.3,44.4,58.57,86.11,97.93,99.96,100.31,1.00,0,0,3.66,15.3,56.4,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20211013,072410,16007,11.79,23.01,31.54,33.25,19.3,44.5,55.83,82.12,93.40,95.35,95.68,1.00,0,0,3.67,15.3,56.5,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20211013,072411,17084,11.19,21.85,29.96,31.58,19.3,44.5,52.94,77.91,88.63,90.48,90.80,1.00,0,0,3.67,15.3,56.5,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20211013,072412,18161,10.67,20.84,28.57,30.12,19.3,44.4,50.46,74.27,84.50,86.26,86.57,1.00,0,0,3.67,15.3,56.4,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20211013,072413,19228,10.14,19.81,27.16,28.64,19.3,44.3,47.96,70.60,80.33,82.00,82.29,1.00,0,0,3.66,15.3,56.3,2E4
13,0.000000,0.000000,0,-1.0,0.0,0,20211013,072414,20302,9.65,18.86,25.86,27.26,19.3,44.2,45.65,67.20,76.46,78.05,78.33,1.00,0,0,3.67,15.3,56.2,2E4
14,0.000000,0.000000,0,-1.0,0.0,0,20211013,072415,21379,9.28,18.13,24.87,26.21,19.3,44.1,43.88,64.60,73.50,75.04,75.30,1.00,0,0,3.66,15.3,56.0,2E4
15,0.000000,0.000000,0,-1.0,0.0,0,20211013,072416,22455,8.52,16.64,22.81,24.05,19.3,44.0,40.29,59.30,67.46,68.87,69.12,1.00,0,0,3.66,15.3,55.9,2E4
16,0.000000,0.000000,0,-1.0,0.0,0,20211013,072418,23526,8.15,15.92,21.83,23.01,19.3,43.9,38.54,56.73,64.55,65.89,66.13,1.00,0,0,3.66,15.3,55.8,2E4
17,0.000000,0.000000,0,-1.0,0.0,0,20211013,072419,24601,7.85,15.34,21.03,22.17,19.3,43.8,37.15,54.68,62.20,63.50,63.73,1.00,0,0,3.66,15.3,55.7,2E4
18,0.000000,0.000000,0,-1.0,0.0,0,20211013,072420,25676,7.55,14.74,20.21,21.31,19.3,43.8,35.73,52.58,59.81,61.06,61.28,1.00,0,0,3.66,15.3,55.6,2E4
19,0.000000,0.000000,0,-1.0,0.0,0,20211013,072421,26752,7.28,14.22,19.49,20.54,19.3,43.8,34.48,50.73,57.70,58.90,59.11,1.00,0,0,3.66,15.3,55.6,2E4
20,0.000000,0.000000,0,-1.0,0.0,0,20211013,072422,27823,7.00,13.65,18.71,19.73,19.3,44.0,33.13,48.73,55.43,56.58,56.78,1.00,0,0,3.66,15.3,55.8,2E4
21,0.000000,0.000000,0,-1.0,0.0,0,20211013,072423,28899,6.76,13.18,18.06,19.04,19.3,44.2,32.04,47.10,53.55,54.67,54.86,1.00,0,0,3.67,15.3,56.1,2E4
22,0.000000,0.000000,0,-1.0,0.0,0,20211013,072424,29975,6.50,12.66,17.35,18.28,19.3,44.3,30.84,45.31,51.50,52.57,52.76,1.00,0,0,3.67,15.3,56.2,2E4
23,0.000000,0.000000,0,-1.0,0.0,0,20211013,072425,31047,6.24,12.14,16.63,17.53,19.4,44.3,29.60,43.47,49.40,50.43,50.60,1.00,0,0,3.67,15.4,56.2,2E4
24,0.000000,0.000000,0,-1.0,0.0,0,20211013,072426,32123,5.95,11.58,15.86,16.72,19.3,44.3,28.26,41.48,47.15,48.12,48.29,1.00,0,0,3.66,15.3,56.3,2E4
25,0.000000,0.000000,0,-1.0,0.0,0,20211013,072427,33199,5.72,11.13,15.25,16.07,19.4,44.4,27.16,39.87,45.32,46.26,46.42,1.00,0,0,3.66,15.4,56.3,2E4
26,0.000000,0.000000,0,-1.0,0.0,0,20211013,072428,34275,5.50,10.70,14.66,15.45,19.4,44.3,26.11,38.34,43.57,44.47,44.63,1.00,0,0,3.67,15.4,56.2,2E4
27,0.000000,0.000000,0,-1.0,0.0,0,20211013,072429,35346,5.31,10.34,14.16,14.92,19.4,44.2,25.23,37.04,42.09,42.96,43.11,1.00,0,0,3.66,15.4,56.1,2E4
28,0.000000,0.000000,0,-1.0,0.0,0,20211013,072431,36422,4.94,9.61,13.16,13.87,19.4,44.1,23.48,34.46,39.16,39.97,40.11,1.00,0,0,3.66,15.4,56.0,2E4
29,0.000000,0.000000,0,-1.0,0.0,0,20211013,072432,37496,4.76,9.26,12.68,13.37,19.4,44.1,22.63,33.21,37.73,38.51,38.64,1.00,0,0,3.67,15.4,56.0,2E4
30,0.000000,0.000000,0,-1.0,0.0,0,20211013,072433,38566,4.59,8.93,12.22,12.88,19.4,44.2,21.83,32.02,36.38,37.13,37.26,1.00,0,0,3.67,15.4,56.1,2E4
31,0.000000,0.000000,0,-1.0,0.0,0,20211013,072434,39640,4.43,8.61,11.79,12.43,19.4,44.2,21.07,30.91,35.11,35.83,35.96,1.00,0,0,3.67,15.4,56.2,2E4
32,0.000000,0.000000,0,-1.0,0.0,0,20211013,072435,40714,4.26,8.29,11.34,11.95,19.4,44.2,20.29,29.75,33.79,34.49,34.61,1.00,0,0,3.66,15.4,56.1,2E4
33,0.000000,0.000000,0,-1.0,0.0,0,20211013,072436,41788,4.10,7.97,10.90,11.49,19.4,44.2,19.53,28.62,32.51,33.18,33.30,1.00,0,0,3.66,15.4,56.1,2E4
34,0.000000,0.000000,0,-1.0,0.0,0,20211013,072437,42856,3.96,7.69,10.53,11.10,19.4,44.1,18.86,27.64,31.39,32.04,32.15,1.00,0,0,3.67,15.4,56.0,2E4
35,0.000000,0.000000,0,-1.0,0.0,0,20211013,072438,43930,3.85,7.47,10.22,10.77,19.4,44.1,18.32,26.84,30.48,31.11,31.22,1.00,0,0,3.67,15.4,56.0,2E4
36,0.000000,0.000000,0,-1.0,0.0,0,20211013,072439,45004,3.75,7.29,9.97,10.50,19.4,44.0,17.89,26.20,29.75,30.36,30.47,1.00,0,0,3.66,15.4,55.8,2E4
37,0.000000,0.000000,0,-1.0,0.0,0,20211013,072440,46073,3.66,7.09,9.70,10.22,19.4,44.1,17.44,25.54,28.99,29.58,29.68,0.99,0,0,3.67,15.4,56.0,2E4
38,0.000000,0.000000,0,-1.0,0.0,0,20211013,072441,47146,3.59,6.95,9.50,10.01,19.4,44.1,17.15,25.07,28.45,29.03,29.13,0.98,0,0,3.67,15.4,56.0,2E4
39,0.000000,0.000000,0,-1.0,0.0,0,20211013,072442,48219,3.51,6.78,9.26,9.75,19.4,44.1,16.77,24.50,27.79,28.35,28.45,0.98,0,0,3.67,15.4,56.0,2E4
40,0.000000,0.000000,0,-1.0,0.0,0,20211013,072444,49291,3.41,6.58,8.99,9.47,19.4,44.0,16.34,23.85,27.04,27.59,27.68,0.99,0,0,3.66,15.4,55.9,2E4
41,0.000000,0.000000,0,-1.0,0.0,0,20211013,072445,50359,3.31,6.38,8.71,9.17,19.4,43.9,15.87,23.14,26.22,26.75,26.85,0.99,0,0,3.66,15.4,55.8,2E4
42,0.000000,0.000000,0,-1.0,0.0,0,20211013,072446,51431,3.12,5.99,8.17,8.61,19.4,43.7,14.98,21.81,24.69,25.19,25.28,0.98,0,0,3.66,15.4,55.5,2E4
43,0.000000,0.000000,0,-1.0,0.0,0,20211013,072447,52502,3.04,5.84,7.97,8.39,19.4,43.5,14.65,21.31,24.12,24.60,24.69,0.98,0,0,3.67,15.4,55.3,2E4
44,0.000000,0.000000,0,-1.0,0.0,0,20211013,072448,53569,2.97,5.69,7.76,8.17,19.5,43.4,14.31,20.80,23.53,24.00,24.08,0.98,0,0,3.66,15.5,55.1,2E4
45,0.000000,0.000000,0,-1.0,0.0,0,20211013,072449,54640,2.89,5.53,7.53,7.94,19.5,43.3,13.93,20.23,22.88,23.34,23.42,0.98,0,0,3.66,15.5,55.0,2E4
46,0.000000,0.000000,0,-1.0,0.0,0,20211013,072450,55711,2.79,5.34,7.28,7.66,19.5,43.3,13.48,19.57,22.13,22.57,22.65,0.98,0,0,3.67,15.5,55.0,2E4
47,0.000000,0.000000,0,-1.0,0.0,0,20211013,072451,56782,2.71,5.18,7.05,7.43,19.5,43.3,13.10,19.01,21.48,21.91,21.99,0.98,0,0,3.67,15.5,54.9,2E4
48,0.000000,0.000000,0,-1.0,0.0,0,20211013,072452,57849,2.64,5.04,6.86,7.22,19.5,43.2,12.79,18.53,20.93,21.35,21.42,0.98,0,0,3.66,15.5,54.9,2E4
49,0.000000,0.000000,0,-1.0,0.0,0,20211013,072453,58920,2.59,4.93,6.71,7.06,19.5,43.2,12.55,18.17,20.52,20.93,21.00,0.98,0,0,3.66,15.5,54.9,2E4
50,0.000000,0.000000,0,-1.0,0.0,0,20211013,072454,59992,2.54,4.83,6.56,6.91,19.5,43.2,12.31,17.81,20.11,20.51,20.57,0.98,0,0,3.66,15.5,54.8,2E4
51,0.000000,0.000000,0,-1.0,0.0,0,20211013,072455,61060,2.52,4.78,6.50,6.85,19.5,43.2,12.22,17.67,19.95,20.34,20.41,0.98,0,0,3.66,15.5,54.8,2E4
52,0.000000,0.000000,0,-1.0,0.0,0,20211013,072457,62132,2.50,4.75,6.45,6.79,19.5,43.1,12.14,17.54,19.80,20.19,20.25,0.98,0,0,3.67,15.5,54.7,2E4
53,0.000000,0.000000,0,-1.0,0.0,0,20211013,072458,63204,2.46,4.67,6.34,6.68,19.5,43.0,11.95,17.27,19.48,19.86,19.93,0.98,0,0,3.67,15.5,54.6,2E4
54,0.000000,0.000000,0,-1.0,0.0,0,20211013,072459,64276,2.43,4.62,6.27,6.60,19.5,43.0,11.83,17.09,19.28,19.65,19.72,0.98,0,0,3.66,15.5,54.5,2E4
55,0.000000,0.000000,0,-1.0,0.0,0,20211013,072500,65344,2.41,4.57,6.20,6.53,19.5,42.9,11.74,16.94,19.10,19.48,19.54,0.98,0,0,3.66,15.5,54.5,2E4
56,0.000000,0.000000,0,-1.0,0.0,0,20211013,072501,66416,2.36,4.47,6.07,6.38,19.5,42.8,11.51,16.60,18.71,19.08,19.14,0.98,0,0,3.66,15.5,54.4,2E4
57,0.000000,0.000000,0,-1.0,0.0,0,20211013,072502,67488,2.33,4.40,5.97,6.29,19.5,43.0,11.36,16.37,18.45,18.81,18.87,0.98,0,0,3.66,15.5,54.6,2E4
58,0.000000,0.000000,0,-1.0,0.0,0,20211013,072503,68555,2.30,4.35,5.90,6.21,19.6,43.5,11.24,16.19,18.24,18.60,18.66,0.97,0,0,3.66,15.6,55.2,2E4
59,0.000000,0.000000,0,-1.0,0.0,0,20211013,072504,69626,2.26,4.26,5.78,6.08,19.6,44.0,11.03,15.88,17.89,18.23,18.29,0.97,0,0,3.67,15.6,55.8,2E4
60,0.000000,0.000000,0,-1.0,0.0,0,20211013,072505,70697,2.23,4.21,5.70,6.00,19.6,44.2,10.90,15.69,17.67,18.01,18.07,0.98,0,0,3.66,15.6,56.1,2E4
