STM32_v0.10,,,SPS30_SN:3234639E241C990E
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,59.346842,18.066243,1,0.0,37.7,8,20210621,080631,16645,38.47,50.01,57.57,59.08,27.6,63.2,241.50,295.56,306.41,308.29,308.64,0.70,0,0,4.61,23.6,79.0,90E
1,59.346842,18.066243,1,0.0,38.1,8,20210621,080632,17719,21.27,22.49,22.49,22.49,27.6,62.4,146.16,169.33,169.76,169.81,169.85,0.53,0,0,4.61,23.6,78.0,90E
2,59.346842,18.066243,1,0.0,38.2,8,20210621,080633,18786,22.13,28.74,33.06,33.92,27.6,60.7,139.01,170.07,176.27,177.35,177.55,0.64,0,0,4.61,23.6,76.0,90E
3,59.346842,18.066241,1,0.0,38.5,8,20210621,080634,19855,22.23,29.67,34.66,35.66,27.6,59.1,137.68,169.92,177.02,178.25,178.48,0.71,0,0,4.61,23.6,73.9,90E
4,59.346842,18.066237,1,0.0,38.8,8,20210621,080635,20924,22.24,29.98,35.21,36.26,27.6,57.7,137.00,169.64,177.06,178.36,178.59,0.76,0,0,4.61,23.6,72.2,90E
5,59.346842,18.066233,1,0.0,39.2,8,20210621,080636,22001,21.91,28.21,32.29,33.11,27.6,57.4,138.19,168.62,174.50,175.52,175.71,0.73,0,0,4.61,23.6,71.9,90E
6,59.346842,18.066229,1,0.0,39.5,8,20210621,080638,23078,21.95,28.90,33.51,34.43,27.6,57.2,136.91,168.24,174.82,175.96,176.17,0.74,0,0,4.61,23.6,71.6,90E
7,59.346842,18.066227,1,0.0,39.8,8,20210621,080639,24155,21.84,28.53,32.93,33.81,27.6,56.8,136.78,167.66,173.96,175.06,175.26,0.74,0,0,4.61,23.6,71.0,90E
8,59.346842,18.066221,1,0.0,40.2,8,20210621,080640,25232,21.66,27.83,31.82,32.61,27.6,56.3,136.75,166.76,172.51,173.51,173.69,0.74,0,0,4.61,23.6,70.4,90E
9,59.346851,18.066219,1,0.0,40.2,8,20210621,080641,26307,21.66,28.00,32.13,32.95,27.6,56.7,136.34,166.57,172.51,173.54,173.73,0.74,0,0,4.61,23.6,70.9,90E
