STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210930,140709,16737,21.44,35.59,46.05,48.14,19.3,56.4,116.55,156.31,170.30,172.70,173.12,0.74,0,0,3.64,15.3,71.7,488
1,0.000000,0.000000,0,-1.0,0.0,0,20210930,140710,17808,17.55,27.21,34.22,35.62,19.3,56.5,99.98,130.05,139.50,141.12,141.41,0.65,0,0,3.64,15.3,71.8,488
2,0.000000,0.000000,0,-1.0,0.0,0,20210930,140711,18885,17.74,28.25,35.93,37.47,19.3,56.7,99.29,130.65,140.98,142.75,143.06,0.79,0,0,3.64,15.3,72.0,488
3,0.000000,0.000000,0,-1.0,0.0,0,20210930,140712,19954,18.03,29.26,37.52,39.17,19.3,56.8,99.57,132.15,143.22,145.12,145.46,0.81,0,0,3.64,15.3,72.1,488
4,0.000000,0.000000,0,-1.0,0.0,0,20210930,140713,21022,18.13,28.96,36.89,38.47,19.4,56.8,101.24,133.39,144.04,145.87,146.19,0.82,0,0,3.64,15.4,72.1,488
5,0.000000,0.000000,0,-1.0,0.0,0,20210930,140715,22092,18.29,29.16,37.10,38.69,19.4,56.7,102.33,134.69,145.37,147.20,147.52,0.81,0,0,3.65,15.4,72.0,488
6,0.000000,0.000000,0,-1.0,0.0,0,20210930,140716,23168,18.49,29.66,37.83,39.47,19.4,56.6,102.98,135.93,146.92,148.80,149.13,0.84,0,0,3.64,15.4,71.8,488
7,0.000000,0.000000,0,-1.0,0.0,0,20210930,140717,24237,18.75,30.52,39.17,40.90,19.4,56.5,103.34,137.33,148.93,150.93,151.28,0.85,0,0,3.64,15.4,71.7,488
8,0.000000,0.000000,0,-1.0,0.0,0,20210930,140718,25306,18.97,30.93,39.73,41.49,19.4,56.3,104.47,138.93,150.72,152.75,153.10,0.86,0,0,3.64,15.4,71.5,488
9,0.000000,0.000000,0,-1.0,0.0,0,20210930,140719,26382,19.11,30.72,39.23,40.93,19.4,56.2,106.30,140.45,151.87,153.83,154.18,0.86,0,0,3.64,15.4,71.4,488
10,0.000000,0.000000,0,-1.0,0.0,0,20210930,140720,27451,19.33,30.87,39.32,41.01,19.4,56.1,107.99,142.27,153.62,155.56,155.91,0.86,0,0,3.64,15.4,71.3,488
11,0.000000,0.000000,0,-1.0,0.0,0,20210930,140721,28521,19.56,30.57,38.57,40.17,19.4,56.1,110.88,144.70,155.48,157.32,157.65,0.85,0,0,3.64,15.4,71.2,488
12,0.000000,0.000000,0,-1.0,0.0,0,20210930,140722,29598,19.98,31.51,39.91,41.59,19.4,56.0,112.58,147.50,158.80,160.74,161.08,0.85,0,0,3.64,15.4,71.2,488
13,0.000000,0.000000,0,-1.0,0.0,0,20210930,140723,30667,20.49,31.66,39.75,41.37,19.4,55.9,117.01,151.98,162.89,164.76,165.10,0.83,0,0,3.64,15.4,71.0,488
14,0.000000,0.000000,0,-1.0,0.0,0,20210930,140724,31737,20.78,32.12,40.34,41.98,19.4,55.8,118.59,154.07,165.15,167.05,167.39,0.83,0,0,3.64,15.4,70.9,488
15,0.000000,0.000000,0,-1.0,0.0,0,20210930,140725,32807,20.97,32.41,40.70,42.36,19.4,55.7,119.72,155.51,166.69,168.61,168.95,0.83,0,0,3.64,15.4,70.7,488
16,0.000000,0.000000,0,-1.0,0.0,0,20210930,140726,33884,21.09,32.60,40.94,42.60,19.5,55.6,120.42,156.43,167.68,169.60,169.95,0.83,0,0,3.64,15.5,70.6,488
17,0.000000,0.000000,0,-1.0,0.0,0,20210930,140728,34954,21.15,32.67,41.02,42.69,19.5,55.5,120.77,156.86,168.12,170.05,170.39,0.82,0,0,3.64,15.5,70.5,488
18,0.000000,0.000000,0,-1.0,0.0,0,20210930,140729,36024,21.23,32.76,41.10,42.77,19.6,55.5,121.33,157.50,168.77,170.70,171.04,0.82,0,0,3.63,15.6,70.4,488
19,59.341203,18.057849,1,-1.0,11.1,8,20210930,140730,37101,21.33,32.88,41.24,42.91,19.5,55.4,121.97,158.27,169.56,171.49,171.83,0.82,0,0,3.64,15.5,70.3,488
20,59.341195,18.057849,1,0.1,11.1,8,20210930,140731,38176,21.35,32.87,41.19,42.86,19.5,55.4,122.23,158.51,169.75,171.67,172.02,0.81,0,0,3.64,15.5,70.3,488
21,59.341195,18.057847,1,0.1,11.1,8,20210930,140732,39250,21.35,32.82,41.11,42.77,19.6,55.4,122.30,158.52,169.71,171.63,171.97,0.82,0,0,3.63,15.6,70.3,488
22,59.341195,18.057845,1,0.0,11.2,8,20210930,140733,40319,21.34,32.76,41.02,42.67,19.5,55.4,122.35,158.50,169.64,171.55,171.89,0.82,0,0,3.64,15.5,70.3,488
23,59.341195,18.057843,1,0.1,11.2,8,20210930,140734,41392,21.33,32.72,40.94,42.58,19.6,55.5,122.37,158.46,169.57,171.47,171.81,0.83,0,0,3.63,15.6,70.5,488
24,59.341187,18.057835,1,0.3,11.8,8,20210930,140735,42465,21.30,32.60,40.76,42.39,19.6,55.5,122.35,158.29,169.32,171.21,171.54,0.82,0,0,3.63,15.6,70.5,488
25,59.341187,18.057835,1,1.4,12.1,8,20210930,140736,43538,21.25,32.46,40.55,42.16,19.6,55.4,122.25,158.03,168.96,170.83,171.16,0.81,0,0,3.64,15.6,70.4,488
26,59.341187,18.057833,1,0.0,12.2,8,20210930,140737,44607,21.14,32.12,40.03,41.61,19.6,55.5,121.99,157.37,168.07,169.90,170.22,0.81,0,0,3.63,15.6,70.4,488
27,59.341187,18.057833,1,0.0,12.3,8,20210930,140738,45680,21.11,32.00,39.83,41.40,19.7,55.5,122.00,157.23,167.83,169.64,169.97,0.80,0,0,3.64,15.7,70.4,488
28,59.341187,18.057831,1,0.1,12.3,8,20210930,140739,46753,21.15,31.98,39.76,41.32,19.7,55.5,122.48,157.67,168.20,170.01,170.33,0.80,0,0,3.64,15.7,70.4,488
29,59.341187,18.057831,1,0.0,12.4,8,20210930,140741,47822,21.25,32.02,39.75,41.29,19.7,55.7,123.27,158.48,168.95,170.74,171.06,0.80,0,0,3.63,15.7,70.7,488
30,59.341187,18.057831,1,0.0,12.5,8,20210930,140742,48895,21.26,31.95,39.61,41.14,19.7,55.8,123.57,158.69,169.07,170.85,171.16,0.79,0,0,3.63,15.7,70.8,488
31,59.341187,18.057831,1,0.0,12.5,8,20210930,140743,49968,21.25,31.85,39.43,40.95,19.7,55.7,123.69,158.68,168.96,170.72,171.04,0.79,0,0,3.63,15.7,70.6,488
32,59.341195,18.057833,1,0.0,12.5,8,20210930,140744,51037,21.16,31.63,39.12,40.62,19.7,55.6,123.38,158.12,168.28,170.01,170.32,0.80,0,0,3.64,15.7,70.6,488
33,59.341195,18.057835,1,0.0,12.4,8,20210930,140745,52110,21.11,31.47,38.88,40.36,19.7,55.5,123.25,157.80,167.85,169.57,169.88,0.79,0,0,3.64,15.7,70.4,488
34,59.341195,18.057833,1,0.0,12.4,8,20210930,140746,53183,21.05,31.33,38.67,40.14,19.7,55.6,123.03,157.42,167.38,169.09,169.39,0.80,0,0,3.64,15.7,70.5,488
35,59.341195,18.057833,1,0.0,12.4,8,20210930,140747,54252,21.01,31.21,38.49,39.95,19.8,55.6,122.95,157.19,167.08,168.77,169.07,0.80,0,0,3.63,15.8,70.6,488
