STM32_v0.10,,,SPS30_SN:71508A49351A556A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,0,000000,16701,1.19,4.25,6.67,7.16,24.6,32.8,1.10,6.22,9.34,9.87,9.96,1.63,0,0,3.76,20.6,41.2,56A
1,0.000000,0.000000,0,-1.0,0.0,0,0,000000,17776,2.39,8.51,13.35,14.32,24.7,32.6,2.20,12.44,18.68,19.74,19.92,1.63,0,0,3.77,20.7,41.0,56A
2,0.000000,0.000000,0,-1.0,0.0,0,0,000000,18848,2.37,8.42,13.21,14.17,24.7,32.4,2.18,12.32,18.49,19.55,19.72,1.63,0,0,3.77,20.7,40.8,56A
3,0.000000,0.000000,0,-1.0,0.0,0,0,000000,19923,2.32,8.27,12.97,13.91,24.7,32.3,2.14,12.09,18.16,19.19,19.36,1.63,0,0,3.77,20.7,40.6,56A
4,0.000000,0.000000,0,-1.0,0.0,0,0,000000,20998,2.28,8.10,12.72,13.64,24.7,32.1,2.10,11.85,17.80,18.81,18.97,1.63,0,0,3.77,20.7,40.4,56A
5,0.000000,0.000000,0,-1.0,0.0,0,0,000000,22073,2.23,7.93,12.45,13.35,24.7,32.1,2.05,11.60,17.42,18.41,18.57,1.63,0,0,3.76,20.7,40.4,56A
6,0.000000,0.000000,0,-1.0,0.0,0,0,000000,23144,2.17,7.71,12.10,12.98,24.7,32.1,1.99,11.28,16.94,17.90,18.06,1.63,0,0,3.76,20.7,40.4,56A
7,0.000000,0.000000,0,-1.0,0.0,0,0,000000,24219,2.10,7.46,11.71,12.55,24.7,32.0,1.93,10.91,16.38,17.32,17.47,1.63,0,0,3.77,20.7,40.3,56A
8,0.000000,0.000000,0,-1.0,0.0,0,0,000000,25294,2.02,7.18,11.27,12.08,24.7,32.0,1.86,10.50,15.77,16.67,16.81,1.63,0,0,3.77,20.7,40.3,56A
9,0.000000,0.000000,0,-1.0,0.0,0,0,000000,26369,1.93,6.88,10.80,11.58,24.7,31.9,1.78,10.07,15.11,15.97,16.11,1.63,0,0,3.76,20.7,40.2,56A
10,0.000000,0.000000,0,-1.0,0.0,0,0,000000,27441,1.85,6.57,10.31,11.06,24.7,31.8,1.70,9.61,14.43,15.25,15.38,1.63,0,0,3.77,20.7,40.0,56A
11,0.000000,0.000000,0,-1.0,0.0,0,0,000000,28516,1.76,6.25,9.81,10.52,24.7,31.6,1.62,9.15,13.73,14.51,14.64,1.63,0,0,3.76,20.7,39.8,56A
12,0.000000,0.000000,0,-1.0,0.0,0,0,000000,29590,1.44,4.52,6.94,7.43,24.8,31.5,2.79,8.18,11.31,11.84,11.93,1.30,0,0,3.76,20.8,39.6,56A
13,0.000000,0.000000,0,-1.0,0.0,0,0,000000,30663,1.37,4.29,6.59,7.05,24.8,31.4,2.65,7.77,10.74,11.25,11.33,1.30,0,0,3.77,20.8,39.5,56A
