STM32_v0.10,,,SPS30_SN:3C91C21B8BAF1A7A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211001,010822,16632,2.12,8.45,13.46,14.47,31.0,34.2,0.00,9.81,16.54,17.73,17.92,1.63,0,0,3.81,27.0,42.5,A7A
1,0.000000,0.000000,0,-1.0,0.0,0,20211001,010823,17699,0.72,0.77,0.77,0.77,30.9,33.8,4.98,5.77,5.78,5.79,5.79,0.28,0,0,3.81,26.9,42.1,A7A
2,0.000000,0.000000,0,-1.0,0.0,0,20211001,010824,18773,0.72,1.65,2.37,2.51,31.0,33.3,2.75,4.69,5.67,5.84,5.87,0.68,0,0,3.81,27.0,41.5,A7A
3,0.000000,0.000000,0,-1.0,0.0,0,20211001,010825,19849,0.71,1.63,2.35,2.49,31.0,32.8,2.72,4.65,5.61,5.78,5.81,0.68,0,0,3.81,27.0,40.8,A7A
4,0.000000,0.000000,0,-1.0,0.0,0,20211001,010826,20925,0.70,1.60,2.30,2.44,31.0,32.4,2.67,4.56,5.51,5.68,5.70,0.68,0,0,3.81,27.0,40.3,A7A
5,0.000000,0.000000,0,-1.0,0.0,0,20211001,010828,22001,0.68,1.56,2.25,2.38,31.0,32.3,2.61,4.45,5.37,5.53,5.56,0.68,0,0,3.81,27.0,40.2,A7A
6,0.000000,0.000000,0,-1.0,0.0,0,20211001,010829,23073,0.66,1.92,2.92,3.11,31.0,32.6,1.56,3.88,5.21,5.45,5.48,0.95,0,0,3.82,27.0,40.6,A7A
7,0.000000,0.000000,0,-1.0,0.0,0,20211001,010830,24149,0.65,1.87,2.84,3.03,31.0,32.8,1.52,3.77,5.07,5.30,5.34,0.95,0,0,3.81,27.0,40.9,A7A
8,0.000000,0.000000,0,-1.0,0.0,0,20211001,010831,25225,0.63,1.70,2.53,2.70,30.9,33.2,1.82,3.86,4.98,5.18,5.21,0.98,0,0,3.81,26.9,41.3,A7A
9,0.000000,0.000000,0,-1.0,0.0,0,20211001,010832,26301,0.62,1.65,2.46,2.63,30.9,33.1,1.77,3.75,4.84,5.04,5.07,0.98,0,0,3.81,26.9,41.2,A7A
10,0.000000,0.000000,0,-1.0,0.0,0,20211001,010833,27373,0.60,1.81,2.76,2.95,30.9,33.2,1.25,3.44,4.72,4.94,4.98,1.10,0,0,3.81,26.9,41.3,A7A
11,0.000000,0.000000,0,-1.0,0.0,0,20211001,010834,28450,0.59,1.92,2.98,3.19,30.9,33.7,0.87,3.21,4.62,4.87,4.91,1.18,0,0,3.81,26.9,41.9,A7A
12,0.000000,0.000000,0,-1.0,0.0,0,20211001,010835,29527,0.58,1.88,2.91,3.11,30.9,34.2,0.85,3.13,4.52,4.76,4.80,1.18,0,0,3.81,26.9,42.6,A7A
13,0.000000,0.000000,0,-1.0,0.0,0,20211001,010836,30600,0.54,1.76,2.73,2.92,30.9,34.4,0.80,2.94,4.24,4.46,4.50,1.18,0,0,3.81,26.9,42.7,A7A
14,0.000000,0.000000,0,-1.0,0.0,0,20211001,010837,31677,0.52,1.69,2.62,2.81,30.9,34.2,0.77,2.83,4.07,4.29,4.33,1.18,0,0,3.81,26.9,42.6,A7A
15,0.000000,0.000000,0,-1.0,0.0,0,20211001,010838,32754,0.51,1.30,1.91,2.04,30.8,34.7,1.68,3.23,4.06,4.20,4.23,1.00,0,0,3.81,26.8,43.2,A7A
16,0.000000,0.000000,0,-1.0,0.0,0,20211001,010839,33831,0.50,1.27,1.87,1.99,30.9,35.0,1.65,3.16,3.97,4.11,4.13,1.00,0,0,3.81,26.9,43.6,A7A
17,0.000000,0.000000,0,-1.0,0.0,0,20211001,010841,34904,0.49,1.24,1.82,1.93,30.8,35.4,1.60,3.07,3.85,3.99,4.01,1.00,0,0,3.81,26.8,44.1,A7A
18,0.000000,0.000000,0,-1.0,0.0,0,20211001,010842,35981,0.47,1.19,1.76,1.87,30.9,35.7,1.54,2.96,3.72,3.86,3.88,1.00,0,0,3.81,26.9,44.4,A7A
19,0.000000,0.000000,0,-1.0,0.0,0,20211001,010843,37058,0.46,1.10,1.59,1.69,30.8,35.9,1.68,2.98,3.65,3.76,3.78,1.02,0,0,3.81,26.8,44.6,A7A
20,0.000000,0.000000,0,-1.0,0.0,0,20211001,010844,38135,0.45,1.07,1.54,1.64,30.9,35.7,1.63,2.89,3.54,3.65,3.67,1.02,0,0,3.81,26.9,44.5,A7A
21,0.000000,0.000000,0,-1.0,0.0,0,20211001,010845,39208,0.44,1.03,1.49,1.59,30.8,35.8,1.63,2.85,3.47,3.58,3.60,1.04,0,0,3.81,26.8,44.6,A7A
22,0.000000,0.000000,0,-1.0,0.0,0,20211001,010846,40285,0.43,1.01,1.46,1.55,30.8,35.6,1.59,2.78,3.39,3.49,3.51,1.04,0,0,3.81,26.8,44.3,A7A
23,0.000000,0.000000,0,-1.0,0.0,0,20211001,010847,41362,0.42,0.98,1.41,1.50,30.8,35.2,1.54,2.69,3.28,3.39,3.40,1.04,0,0,3.81,26.8,43.9,A7A
24,0.000000,0.000000,0,-1.0,0.0,0,20211001,010848,42436,0.42,0.88,1.22,1.29,30.8,34.8,1.86,2.88,3.35,3.43,3.45,0.97,0,0,3.81,26.8,43.3,A7A
25,59.350285,18.001406,1,-1.0,1.7,5,20211001,010849,43503,0.42,0.87,1.22,1.28,30.8,34.5,1.85,2.86,3.33,3.41,3.43,0.97,0,0,3.81,26.8,42.9,A7A
26,59.350277,18.001385,1,5.0,1.8,5,20211001,010850,44572,0.41,0.86,1.20,1.26,30.8,34.6,1.82,2.82,3.28,3.36,3.37,0.97,0,0,3.81,26.8,43.1,A7A
27,0.000000,0.000000,0,-1.0,0.0,0,20211001,010851,45640,0.40,0.84,1.17,1.23,30.7,34.4,1.78,2.75,3.20,3.28,3.29,0.97,0,0,3.81,26.7,42.8,A7A
28,0.000000,0.000000,0,-1.0,0.0,0,20211001,010852,46714,0.40,0.81,1.12,1.18,30.7,34.2,1.81,2.74,3.17,3.24,3.25,0.98,0,0,3.81,26.7,42.6,A7A
29,0.000000,0.000000,0,-1.0,0.0,0,20211001,010852,47781,0.39,0.79,1.10,1.16,30.7,33.8,1.77,2.69,3.10,3.18,3.19,0.98,0,0,3.81,26.7,42.1,A7A
30,0.000000,0.000000,0,-1.0,0.0,0,20211001,010855,48848,0.38,0.77,1.07,1.13,30.7,34.0,1.73,2.62,3.02,3.09,3.11,0.98,0,0,3.81,26.7,42.3,A7A
31,0.000000,0.000000,0,-1.0,0.0,0,20211001,010856,49915,0.38,0.73,1.00,1.06,30.7,34.2,1.77,2.62,2.99,3.05,3.06,0.98,0,0,3.81,26.7,42.5,A7A
32,0.000000,0.000000,0,-1.0,0.0,0,20211001,010857,50989,0.37,0.72,0.98,1.03,30.7,34.2,1.74,2.57,2.93,2.99,3.00,0.98,0,0,3.81,26.7,42.6,A7A
33,0.000000,0.000000,0,-1.0,0.0,0,20211001,010858,52056,0.37,0.75,1.04,1.10,30.7,34.0,1.63,2.50,2.90,2.97,2.98,1.01,0,0,3.81,26.7,42.3,A7A
34,0.000000,0.000000,0,-1.0,0.0,0,20211001,010859,53123,0.36,0.74,1.03,1.09,30.7,33.4,1.60,2.46,2.85,2.92,2.93,1.01,0,0,3.81,26.7,41.5,A7A
35,0.000000,0.000000,0,-1.0,0.0,0,20211001,010900,54197,0.35,0.72,1.00,1.06,30.7,33.2,1.56,2.40,2.78,2.85,2.86,1.01,0,0,3.81,26.7,41.4,A7A
36,0.000000,0.000000,0,-1.0,0.0,0,20211001,010901,55274,0.35,0.70,0.97,1.02,30.7,33.0,1.58,2.40,2.76,2.83,2.84,1.02,0,0,3.81,26.7,41.1,A7A
37,0.000000,0.000000,0,-1.0,0.0,0,20211001,010902,56351,0.34,0.69,0.95,1.01,30.7,32.9,1.56,2.35,2.71,2.78,2.79,1.02,0,0,3.81,26.7,40.9,A7A
38,0.000000,0.000000,0,-1.0,0.0,0,20211001,010903,57428,0.32,0.65,0.90,0.95,30.7,33.2,1.47,2.23,2.57,2.63,2.64,1.02,0,0,3.81,26.7,41.4,A7A
39,0.000000,0.000000,0,-1.0,0.0,0,20211001,010904,58501,0.31,0.63,0.87,0.92,30.7,33.3,1.42,2.15,2.48,2.54,2.55,1.02,0,0,3.81,26.7,41.4,A7A
40,0.000000,0.000000,0,-1.0,0.0,0,20211001,010905,59578,0.30,0.60,0.84,0.88,30.7,33.5,1.36,2.06,2.38,2.44,2.44,1.02,0,0,3.81,26.7,41.7,A7A
41,0.000000,0.000000,0,-1.0,0.0,0,20211001,010905,60645,0.29,0.62,0.87,0.92,30.7,34.3,1.27,1.99,2.33,2.39,2.40,1.05,0,0,3.81,26.7,42.7,A7A
42,0.000000,0.000000,0,-1.0,0.0,0,20211001,010907,61712,0.29,0.61,0.84,0.89,30.7,34.2,1.30,2.00,2.33,2.39,2.39,1.05,0,0,3.81,26.7,42.5,A7A
43,59.350195,17.999650,1,13.0,4.1,5,20211001,010908,62786,0.29,0.60,0.83,0.88,30.7,33.8,1.29,1.98,2.30,2.36,2.37,1.05,0,0,3.81,26.7,42.1,A7A
44,59.350187,17.999548,1,10.0,5.0,5,20211001,010909,63856,0.29,0.59,0.82,0.86,30.7,33.4,1.26,1.94,2.26,2.31,2.32,1.05,0,0,3.81,26.7,41.6,A7A
