STM32_v0.2,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,060352,16836,12.35,16.92,20.05,20.68,18.2,50.0,75.42,93.90,98.30,99.07,99.21,0.68,0,0,3.94,14.2,63.6,1D6
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,060353,17912,5.46,5.78,5.78,5.78,18.1,50.1,37.55,43.49,43.60,43.61,43.62,0.39,0,0,3.92,14.1,63.7,1D6
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,060353,18979,5.73,6.06,6.06,6.06,18.1,50.1,39.38,45.61,45.72,45.74,45.74,0.41,0,0,3.93,14.1,63.8,1D6
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,060355,20049,6.03,6.37,6.37,6.37,18.1,50.1,41.43,47.98,48.10,48.11,48.12,0.43,0,0,3.90,14.1,63.8,1D6
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,060356,21119,6.35,6.71,6.71,6.71,18.0,50.0,43.64,50.55,50.67,50.69,50.70,0.44,0,0,3.92,14.0,63.6,1D6
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,060357,22189,6.55,6.92,6.92,6.92,18.1,50.0,45.00,52.12,52.25,52.26,52.27,0.47,0,0,3.91,14.1,63.7,1D6
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,060358,23266,6.87,7.26,7.26,7.26,18.1,50.0,47.22,54.69,54.83,54.84,54.85,0.45,0,0,3.91,14.1,63.7,1D6
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,060359,24336,7.04,7.45,7.45,7.45,18.2,50.0,48.40,56.05,56.19,56.21,56.22,0.44,0,0,3.94,14.2,63.7,1D6
8,0.000000,0.000000,0,-1.0,0.0,0,20211011,060400,25405,7.17,7.58,7.58,7.58,18.2,50.1,49.26,57.05,57.20,57.21,57.22,0.44,0,0,3.94,14.2,63.7,1D6
9,0.000000,0.000000,0,-1.0,0.0,0,20211011,060402,26481,7.26,7.68,7.68,7.68,18.1,50.0,49.91,57.81,57.96,57.97,57.98,0.45,0,0,4.01,14.1,63.7,1D6
10,0.000000,0.000000,0,-1.0,0.0,0,20211011,060403,27550,7.37,7.79,7.79,7.79,18.1,50.0,50.62,58.63,58.78,58.79,58.80,0.46,0,0,3.94,14.1,63.7,1D6
11,0.000000,0.000000,0,-1.0,0.0,0,20211011,060404,28620,7.55,7.98,7.98,7.98,18.1,50.0,51.89,60.10,60.25,60.26,60.28,0.46,0,0,3.92,14.1,63.7,1D6
12,0.000000,0.000000,0,-1.0,0.0,0,20211011,060405,29690,7.93,8.38,8.38,8.38,18.1,50.0,54.48,63.10,63.26,63.27,63.28,0.45,0,0,3.96,14.1,63.7,1D6
13,0.000000,0.000000,0,-1.0,0.0,0,20211011,060406,30767,8.06,8.52,8.52,8.52,18.0,50.0,55.39,64.16,64.32,64.33,64.34,0.44,0,0,3.92,14.0,63.7,1D6
14,0.000000,0.000000,0,-1.0,0.0,0,20211011,060406,31837,8.20,8.67,8.67,8.67,18.1,50.0,56.33,65.24,65.41,65.42,65.43,0.44,0,0,3.93,14.1,63.6,1D6
15,0.000000,0.000000,0,-1.0,0.0,0,20211011,060408,32908,8.26,8.74,8.74,8.74,18.1,49.9,56.79,65.78,65.94,65.96,65.97,0.44,0,0,3.93,14.1,63.6,1D6
16,0.000000,0.000000,0,-1.0,0.0,0,20211011,060409,33975,8.31,8.78,8.78,8.78,18.0,49.9,57.08,66.12,66.28,66.30,66.31,0.44,0,0,3.93,14.0,63.5,1D6
17,0.000000,0.000000,0,-1.0,0.0,0,20211011,060410,35046,8.40,8.89,8.89,8.89,18.1,49.9,57.77,66.91,67.08,67.09,67.10,0.45,0,0,3.94,14.1,63.5,1D6
18,0.000000,0.000000,0,-1.0,0.0,0,20211011,060411,36117,8.52,9.01,9.01,9.01,18.1,49.9,58.55,67.81,67.98,68.00,68.01,0.45,0,0,3.92,14.1,63.5,1D6
19,0.000000,0.000000,0,-1.0,0.0,0,20211011,060412,37188,8.64,9.14,9.14,9.14,18.1,49.8,59.40,68.80,68.97,68.99,69.00,0.45,0,0,3.90,14.1,63.4,1D6
20,0.000000,0.000000,0,-1.0,0.0,0,20211011,060413,38255,8.75,9.25,9.25,9.25,18.1,49.8,60.14,69.65,69.83,69.85,69.86,0.46,0,0,3.91,14.1,63.4,1D6
21,0.000000,0.000000,0,-1.0,0.0,0,20211011,060415,39326,8.85,9.36,9.36,9.36,18.1,49.8,60.83,70.46,70.64,70.66,70.67,0.46,0,0,3.93,14.1,63.4,1D6
22,0.000000,0.000000,0,-1.0,0.0,0,20211011,060416,40396,8.92,9.44,9.44,9.44,18.1,49.8,61.32,71.03,71.21,71.23,71.24,0.46,0,0,3.91,14.1,63.3,1D6
23,0.000000,0.000000,0,-1.0,0.0,0,20211011,060417,41466,9.02,9.53,9.53,9.53,18.1,49.8,61.97,71.77,71.95,71.97,71.99,0.46,0,0,3.92,14.1,63.4,1D6
24,0.000000,0.000000,0,-1.0,0.0,0,20211011,060418,42543,9.10,9.62,9.62,9.62,18.1,49.8,62.51,72.40,72.59,72.61,72.62,0.46,0,0,3.92,14.1,63.4,1D6
25,0.000000,0.000000,0,-1.0,0.0,0,20211011,060419,43613,9.18,9.70,9.70,9.70,18.1,49.7,63.08,73.06,73.25,73.26,73.28,0.47,0,0,3.92,14.1,63.3,1D6
26,0.000000,0.000000,0,-1.0,0.0,0,20211011,060419,44683,9.29,9.82,9.82,9.82,18.1,49.8,63.83,73.94,74.12,74.14,74.15,0.46,0,0,3.90,14.1,63.4,1D6
27,0.000000,0.000000,0,-1.0,0.0,0,20211011,060421,45760,9.33,9.87,9.87,9.87,18.1,49.8,64.12,74.27,74.46,74.48,74.49,0.46,0,0,3.92,14.1,63.4,1D6
28,0.000000,0.000000,0,-1.0,0.0,0,20211011,060422,46830,9.37,9.91,9.91,9.91,18.2,49.9,64.41,74.61,74.79,74.81,74.83,0.46,0,0,3.94,14.2,63.5,1D6
29,0.000000,0.000000,0,-1.0,0.0,0,20211011,060423,47901,9.40,9.94,9.94,9.94,18.1,49.9,64.59,74.81,75.00,75.02,75.04,0.46,0,0,3.93,14.1,63.5,1D6
30,0.000000,0.000000,0,-1.0,0.0,0,20211011,060424,48972,9.39,9.93,9.93,9.93,18.1,49.9,64.52,74.73,74.92,74.94,74.95,0.46,0,0,3.91,14.1,63.5,1D6
31,0.000000,0.000000,0,-1.0,0.0,0,20211011,060426,50039,9.39,9.93,9.93,9.93,18.1,49.9,64.52,74.73,74.92,74.94,74.95,0.46,0,0,3.93,14.1,63.6,1D6
32,0.000000,0.000000,0,-1.0,0.0,0,20211011,060427,51110,9.39,9.93,9.93,9.93,18.1,50.0,64.51,74.72,74.91,74.93,74.94,0.47,0,0,3.91,14.1,63.6,1D6
33,0.000000,0.000000,0,-1.0,0.0,0,20211011,060429,52181,9.38,9.92,9.92,9.92,18.1,50.0,64.45,74.65,74.84,74.86,74.87,0.46,0,0,3.91,14.1,63.6,1D6
34,0.000000,0.000000,0,-1.0,0.0,0,20211011,060430,53248,9.37,9.91,9.91,9.91,18.1,49.9,64.40,74.60,74.78,74.80,74.82,0.46,0,0,3.91,14.1,63.6,1D6
35,0.000000,0.000000,0,-1.0,0.0,0,20211011,060431,54318,9.39,9.93,9.93,9.93,18.1,50.0,64.53,74.74,74.92,74.94,74.96,0.47,0,0,3.90,14.1,63.6,1D6
36,0.000000,0.000000,0,-1.0,0.0,0,20211011,060432,55388,9.41,9.95,9.95,9.95,18.1,49.9,64.68,74.91,75.10,75.12,75.13,0.47,0,0,3.91,14.1,63.6,1D6
37,0.000000,0.000000,0,-1.0,0.0,0,20211011,060433,56458,9.43,9.98,9.98,9.98,18.2,50.0,64.85,75.11,75.30,75.32,75.33,0.47,0,0,3.90,14.2,63.6,1D6
38,0.000000,0.000000,0,-1.0,0.0,0,20211011,060433,57535,9.50,10.05,10.05,10.05,18.1,49.9,65.30,75.64,75.83,75.85,75.86,0.48,0,0,3.92,14.1,63.5,1D6
39,0.000000,0.000000,0,-1.0,0.0,0,20211011,060435,58609,9.66,10.21,10.21,10.21,18.1,49.9,66.39,76.90,77.09,77.11,77.13,0.48,0,0,3.92,14.1,63.5,1D6
40,0.000000,0.000000,0,-1.0,0.0,0,20211011,060436,59683,9.72,10.28,10.28,10.28,18.1,49.9,66.83,77.41,77.61,77.63,77.64,0.48,0,0,3.91,14.1,63.5,1D6
