STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211214,122041,16733,2.53,2.67,2.67,2.67,19.9,33.9,17.37,20.10,20.16,20.16,20.17,0.42,0,0,3.68,15.9,43.1,286
1,0.000000,0.000000,0,-1.0,0.0,0,20211214,122045,21731,1.52,3.58,5.17,5.49,19.9,33.7,5.75,9.93,12.02,12.38,12.44,0.68,0,0,3.67,15.9,42.8,286
2,0.000000,0.000000,0,-1.0,0.0,0,20211214,122047,22802,1.51,3.54,5.12,5.44,20.0,33.7,5.69,9.83,11.90,12.26,12.32,0.68,0,0,3.68,16.0,42.8,286
3,0.000000,0.000000,0,-1.0,0.0,0,20211214,122048,23876,1.48,3.48,5.03,5.34,19.9,33.7,5.59,9.65,11.68,12.03,12.09,0.68,0,0,3.67,15.9,42.7,286
4,0.000000,0.000000,0,-1.0,0.0,0,20211214,122049,24949,1.44,3.39,4.90,5.20,20.0,33.6,5.45,9.41,11.39,11.73,11.79,0.68,0,0,3.67,16.0,42.6,286
5,0.000000,0.000000,0,-1.0,0.0,0,20211214,122050,26022,1.40,3.29,4.75,5.04,20.0,33.6,5.28,9.12,11.04,11.37,11.43,0.68,0,0,3.67,16.0,42.6,286
6,0.000000,0.000000,0,-1.0,0.0,0,20211214,122051,27091,1.35,3.17,4.58,4.86,20.0,33.6,5.09,8.79,10.64,10.97,11.02,0.68,0,0,3.68,16.0,42.6,286
7,0.000000,0.000000,0,-1.0,0.0,0,20211214,122052,28164,1.29,3.04,4.40,4.67,20.0,33.5,4.89,8.44,10.22,10.53,10.58,0.68,0,0,3.67,16.0,42.5,286
8,0.000000,0.000000,0,-1.0,0.0,0,20211214,122053,29237,1.24,2.91,4.21,4.46,20.0,33.5,4.68,8.07,9.77,10.07,10.12,0.68,0,0,3.67,16.0,42.5,286
9,0.000000,0.000000,0,-1.0,0.0,0,20211214,122055,30309,1.33,1.41,1.41,1.41,20.0,33.5,9.15,10.58,10.61,10.62,10.62,0.43,0,0,3.68,16.0,42.4,286
10,0.000000,0.000000,0,-1.0,0.0,0,20211214,122056,31377,1.28,1.36,1.36,1.36,20.1,33.5,8.84,10.22,10.25,10.26,10.26,0.43,0,0,3.68,16.1,42.4,286
11,0.000000,0.000000,0,-1.0,0.0,0,20211214,122057,32452,1.21,1.75,2.12,2.20,20.1,33.4,7.24,9.15,9.66,9.75,9.76,0.52,0,0,3.67,16.1,42.4,286
12,0.000000,0.000000,0,-1.0,0.0,0,20211214,122058,33522,1.21,1.58,1.82,1.87,20.1,33.4,7.57,9.26,9.60,9.66,9.67,0.61,0,0,3.67,16.1,42.4,286
13,0.000000,0.000000,0,-1.0,0.0,0,20211214,122058,34599,1.19,1.46,1.63,1.66,20.1,33.4,7.71,9.26,9.50,9.54,9.55,0.62,0,0,3.67,16.1,42.3,286
